dealer_id,dealer_class,first_seen_d,last_seen_d,valid_from,valid_to,active_days_struct,n_members_struct,n_tables_struct,grain_key,six_layer_status,ucc_class,admit_to_risk_decision,audit_rn,run_id,snapshot_sync_time
-1,SENTINEL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,138,243025,30,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1004,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,103,43085,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,2,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1007,REAL,2026-03-26,2026-08-04,2026-03-26,2026-08-04,6,3582,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,3,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1017,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,110,48061,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,4,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1060,REAL,2026-04-09,2026-08-05,2026-04-09,2026-08-05,6,3247,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,5,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1078,REAL,2026-03-21,2026-07-02,2026-03-21,2026-07-02,82,31902,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,6,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1087,REAL,2026-03-30,2026-07-30,2026-03-30,2026-07-30,14,4411,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,7,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1094,REAL,2026-03-23,2026-08-06,2026-03-23,2026-08-06,118,48023,8,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,8,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1095,REAL,2026-05-26,2026-07-11,2026-05-26,2026-07-11,2,798,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,9,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1105,REAL,2026-03-21,2026-03-24,2026-03-21,2026-03-24,4,2997,3,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,10,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1108,REAL,2026-03-22,2026-06-11,2026-03-22,2026-06-11,6,2689,3,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,11,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1109,REAL,2026-03-21,2026-07-27,2026-03-21,2026-07-27,111,48392,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,12,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1110,REAL,2026-04-26,2026-07-23,2026-04-26,2026-07-23,11,6321,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,13,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1114,REAL,2026-04-14,2026-07-14,2026-04-14,2026-07-14,10,5204,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,14,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1115,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,115,47297,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,15,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1129,REAL,2026-03-23,2026-07-29,2026-03-23,2026-07-29,10,4323,8,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,16,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1144,REAL,2026-05-01,2026-06-19,2026-05-01,2026-06-19,2,823,2,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,17,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1147,REAL,2026-04-10,2026-06-21,2026-04-10,2026-06-21,3,19,1,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,18,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1148,REAL,2026-04-01,2026-08-06,2026-04-01,2026-08-06,12,4719,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,19,A168_HF9F_20260827_0900,2026-08-27 09:00:00
