bet09_value,commission_value,n_rows,n_both_null,n_null_asym,n_value_diff,pct_value_diff,max_abs_diff,d_min,d_max,sum_abs_diff,n_both_zero,n_b41_zero_vb_pos,n_b41_pos_vb_zero,d_sign_uniform,b41_sum,vb_sum,verdict_stratum,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_hiturn,roi_non_hiturn,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_hiturn,avg_stake_non_hiturn,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_hiturn,hold_rate,hold_rate_hiturn,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_hiturn,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_hiturn,ramp_recent,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
PPair,1,317814,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,0,NO_DIFFERENCE,224931646.00,224931646.00,IDENTICAL_NONZERO,70638490.2147,70638490.2147,7476525.6941,5721465,2959359,-0.10584209,,-0.10584209,-0.10633377,-7476525.6941,70638490.2147,OK,34730.9929,306125.0195,4.0289,95.9711,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,306125.0195,310901.8425,346155.9821,376119.2677,323315.6874,4.028898,4.061162,4.238102,4.758226,4.564361,95.971102,95.938838,95.761898,95.241774,95.435639,4.9921,1662617.7992,1514715.1954,5779176.9020,5927079.5058,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,7170400.6746,67778117.7344,7441794.7012,7135669.6817,271394.0266,0.10535042,0.10101674,306125.0195,7135669.6817,0.10101674,306125.0195,310901.8425,346155.9821,376119.2677,323315.6874,7135669.6817,0.10101674,1662617.7992,1514715.1954,5779176.9020,5927079.5058,0.08181343,0.08390722,0.00384201,12.3462,23.8695,2.5264,53787.9546,60.9135,508190.5771,21290.3525,,12.3462,2.1082,4.2165,10.4704,21.6166,41.0081,129.7286,4.2165,-4.1543,9.725694,30.767086,2.928092,30,294,305237,1,0E-8,0.10584209,,0.00049167,0.042932,1.000000,0.055216,,2026-03-21,2026-08-06,139,122740,4007,139,1.000000,,1.062843,0.744975,3,0.52,0.38,0.38,0.56,0.56,0.47619047619047616,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00108238,E 常规,28,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
BPair,0,5576633,0,0,35,0.00062760,1000.00000000,-1000.00000000,0E-8,2878.00000000,11,35,0,B41_LE_VB_UNIFORM,4413113160.00,4413116038.00,CONDITIONAL,72543341.9102,72543341.9102,7680957.4415,5864616,2996948,-0.10588094,,-0.10588094,-0.10636437,-7680957.4415,72543341.9102,OK,35069.4721,310139.9873,4.0300,95.9700,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,310139.9873,312130.3025,342544.0506,374040.9962,327104.0560,4.029992,4.061662,4.238521,4.750172,4.555864,95.970008,95.938338,95.761479,95.249828,95.444136,4.9923,1665959.3926,1521215.1519,5979928.5768,6124672.8175,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,7370817.4542,69604246.7411,7645887.9694,7335747.9820,275070.5152,0.10539752,0.10112228,310139.9873,7335747.9820,0.10112228,310139.9873,312130.3025,342544.0506,374040.9962,327104.0560,7335747.9820,0.10112228,1665959.3926,1521215.1519,5979928.5768,6124672.8175,0.08243249,0.08442777,0.00379181,12.3697,24.2057,2.5629,55258.6866,62.5424,521894.5461,21560.7770,,12.3697,2.1082,4.2165,10.4704,21.5448,40.3946,129.728,4.2165,-4.1543,9.580177,30.766931,2.933652,30,294,306351,1,0E-8,0.10588094,,0.00048343,0.043189,1.000000,0.056262,,2026-03-21,2026-08-06,139,122812,4007,139,1.000000,,1.044998,0.730711,3,0.56,0.34,0.34,0.6,0.6,0.5238095238095238,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00107557,E 常规,29,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
BPair,1,331954,0,0,1,0.00030120,80.00000000,-80.00000000,0E-8,80.00000000,1,1,0,B41_LE_VB_UNIFORM,225355343.00,225355423.00,CONDITIONAL,72543341.9102,72543341.9102,7680957.4415,5864616,2996948,-0.10588094,,-0.10588094,-0.10636437,-7680957.4415,72543341.9102,OK,35069.4721,310139.9873,4.0300,95.9700,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,310139.9873,312130.3025,342544.0506,374040.9962,327104.0560,4.029992,4.061662,4.238521,4.750172,4.555864,95.970008,95.938338,95.761479,95.249828,95.444136,4.9923,1665959.3926,1521215.1519,5979928.5768,6124672.8175,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,7370817.4542,69604246.7411,7645887.9694,7335747.9820,275070.5152,0.10539752,0.10112228,310139.9873,7335747.9820,0.10112228,310139.9873,312130.3025,342544.0506,374040.9962,327104.0560,7335747.9820,0.10112228,1665959.3926,1521215.1519,5979928.5768,6124672.8175,0.08243249,0.08442777,0.00379181,12.3697,24.2057,2.5629,55258.6866,62.5424,521894.5461,21560.7770,,12.3697,2.1082,4.2165,10.4704,21.5448,40.3946,129.728,4.2165,-4.1543,9.580177,30.766931,2.933652,30,294,306351,1,0E-8,0.10588094,,0.00048343,0.043189,1.000000,0.056262,,2026-03-21,2026-08-06,139,122812,4007,139,1.000000,,1.044998,0.730711,4,0.56,0.34,0.34,0.6,0.6,0.5238095238095238,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00107557,E 常规,30,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Lucky7,0,4078585,0,0,28,0.00068650,2000.00000000,-2000.00000000,0E-8,2913.00000000,3,28,0,B41_LE_VB_UNIFORM,1843163095.00,1843166008.00,CONDITIONAL,62088490.8136,62088490.8136,11402436.0337,4348030,2509806,-0.18364814,,-0.18364814,-0.18442481,-11402436.0337,62088490.8136,OK,48222.0227,471041.7331,4.0606,95.9394,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,471041.7331,481125.3578,534016.9205,553421.4088,452358.0793,4.060630,4.109236,4.254192,4.817647,4.599316,95.939370,95.890764,95.745808,95.182353,95.400684,4.9873,2491963.4996,2260499.8409,8862250.5114,9093714.1701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,10931394.3006,59514045.5517,11354214.0110,10883172.2778,422819.7104,0.18287148,0.17528486,471041.7331,10883172.2778,0.17528486,471041.7331,481125.3578,534016.9205,553421.4088,452358.0793,10883172.2778,0.17528486,2491963.4996,2260499.8409,8862250.5114,9093714.1701,0.14273580,0.14646377,0.00680995,14.2797,24.7384,4.5432,82031.9139,93.1108,446679.7900,18056.1583,,14.2797,2.1082,4.2165,10.5412,25.8178,50.0,166.3617,4.2165,-4.1543,11.858251,39.455166,3.386641,30,293,270154,1,0E-8,0.18364814,,0.00077667,0.051219,1.000000,0.068401,,2026-03-21,2026-08-06,139,122461,4007,139,1.000000,,1.126834,0.781189,3,0.6,0.1,0.1,0.52,0.52,0.42857142857142855,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00117533,E 常规,31,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Lucky7,1,299679,0,0,1,0.00033370,10.00000000,-10.00000000,0E-8,10.00000000,0,1,0,B41_LE_VB_UNIFORM,28598246.00,28598256.00,CONDITIONAL,62088490.8136,62088490.8136,11402436.0337,4348030,2509806,-0.18364814,,-0.18364814,-0.18442481,-11402436.0337,62088490.8136,OK,48222.0227,471041.7331,4.0606,95.9394,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,471041.7331,481125.3578,534016.9205,553421.4088,452358.0793,4.060630,4.109236,4.254192,4.817647,4.599316,95.939370,95.890764,95.745808,95.182353,95.400684,4.9873,2491963.4996,2260499.8409,8862250.5114,9093714.1701,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,10931394.3006,59514045.5517,11354214.0110,10883172.2778,422819.7104,0.18287148,0.17528486,471041.7331,10883172.2778,0.17528486,471041.7331,481125.3578,534016.9205,553421.4088,452358.0793,10883172.2778,0.17528486,2491963.4996,2260499.8409,8862250.5114,9093714.1701,0.14273580,0.14646377,0.00680995,14.2797,24.7384,4.5432,82031.9139,93.1108,446679.7900,18056.1583,,14.2797,2.1082,4.2165,10.5412,25.8178,50.0,166.3617,4.2165,-4.1543,11.858251,39.455166,3.386641,30,293,270154,1,0E-8,0.18364814,,0.00077667,0.051219,1.000000,0.068401,,2026-03-21,2026-08-06,139,122461,4007,139,1.000000,,1.126834,0.781189,3,0.6,0.1,0.1,0.52,0.52,0.42857142857142855,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00117533,E 常规,32,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Super6,0,4297983,0,0,33,0.00076780,15000.00000000,-15000.00000000,0E-8,17282.00000000,6,33,0,B41_LE_VB_UNIFORM,2711694694.00,2711711976.00,CONDITIONAL,77420076.1641,77420076.1641,15927640.3333,4610708,2642930,-0.20573010,,-0.20573010,-0.20648383,-15927640.3333,77420076.1641,OK,58353.7557,669725.9621,4.0698,95.9302,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,669725.9621,688882.5682,751133.0424,766425.1981,644565.1748,4.069765,4.125948,4.275971,4.844543,4.575790,95.930235,95.874052,95.724029,95.155457,95.424210,4.983,3520731.9456,3175858.419,12348554.6320,12693428.1586,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,15257914.3712,74207886.0177,15869286.5776,15199560.6155,611372.2064,0.20497638,0.19632583,669725.9621,15199560.6155,0.19632583,669725.9621,688882.5682,751133.0424,766425.1981,644565.1748,15199560.6155,0.19632583,3520731.9456,3175858.419,12348554.6320,12693428.1586,0.15950068,0.16395525,0.00789682,16.7914,29.2933,6.0265,114587.3405,129.7102,556978.9652,19013.8849,,16.7914,2.2009,5.1636,12.9089,29.341,60.0,200.0,5.1636,-4.4018,11.6199,38.733,3.2519,30,293,264461,1,0E-8,0.20573010,,0.00075373,0.052308,1.000000,0.074605,,2026-03-21,2026-08-06,139,122794,4007,139,1.000000,,1.141717,0.789984,4,0.64,0.02,0.02,0.64,0.64,0.5714285714285714,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00114535,E 常规,33,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Super6,1,346675,0,0,1,0.00028850,5.00000000,-5.00000000,0E-8,5.00000000,0,1,0,B41_LE_VB_UNIFORM,35084000.00,35084005.00,CONDITIONAL,77420076.1641,77420076.1641,15927640.3333,4610708,2642930,-0.20573010,,-0.20573010,-0.20648383,-15927640.3333,77420076.1641,OK,58353.7557,669725.9621,4.0698,95.9302,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,669725.9621,688882.5682,751133.0424,766425.1981,644565.1748,4.069765,4.125948,4.275971,4.844543,4.575790,95.930235,95.874052,95.724029,95.155457,95.424210,4.983,3520731.9456,3175858.419,12348554.6320,12693428.1586,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,15257914.3712,74207886.0177,15869286.5776,15199560.6155,611372.2064,0.20497638,0.19632583,669725.9621,15199560.6155,0.19632583,669725.9621,688882.5682,751133.0424,766425.1981,644565.1748,15199560.6155,0.19632583,3520731.9456,3175858.419,12348554.6320,12693428.1586,0.15950068,0.16395525,0.00789682,16.7914,29.2933,6.0265,114587.3405,129.7102,556978.9652,19013.8849,,16.7914,2.2009,5.1636,12.9089,29.341,60.0,200.0,5.1636,-4.4018,11.6199,38.733,3.2519,30,293,264461,1,0E-8,0.20573010,,0.00075373,0.052308,1.000000,0.074605,,2026-03-21,2026-08-06,139,122794,4007,139,1.000000,,1.141717,0.789984,4,0.64,0.02,0.02,0.64,0.64,0.5714285714285714,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00114535,E 常规,34,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Tie,0,9177979,0,0,53,0.00057750,25000.00000000,-25000.00000000,0E-8,30866.00000000,19,53,0,B41_LE_VB_UNIFORM,6089590481.00,6089621347.00,CONDITIONAL,150118908.2369,150118908.2369,22608595.7156,9571012,3807782,-0.15060458,,-0.15060458,-0.15158178,-22608595.7156,150118908.2369,OK,146695.4530,941286.2050,4.0414,95.9586,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,941286.2050,958422.9370,937474.3158,990011.9481,915857.2040,4.041398,4.079531,4.223647,4.786005,4.539592,95.958602,95.920469,95.776353,95.213995,95.460408,4.9872,4743052.6099,4331595.621,17718847.6527,18130304.6416,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,21667309.5105,143899311.3009,22461900.2626,21520614.0575,794590.7520,0.14962739,0.14335712,941286.2050,21520614.0575,0.14335712,941286.2050,958422.9370,937474.3158,990011.9481,915857.2040,21520614.0575,0.14335712,4743052.6099,4331595.621,17718847.6527,18130304.6416,0.11803208,0.12077296,0.00529308,15.6847,39.4242,5.9375,162651.7677,183.4488,1079992.1456,27394.1151,,15.6847,2.5716,5.1431,12.8426,26.176,47.0567,175.4913,5.1431,-4.2165,9.149463,34.121646,3.049664,30,295,435471,1,0E-8,0.15060458,,0.00097720,0.048330,1.000000,0.048133,,2026-03-21,2026-08-06,139,123242,4007,139,1.000000,,1.048869,0.729366,4,0.68,0.26,0.26,0.68,0.68,0.6190476190476191,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00095421,E 常规,35,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Tie,1,464368,0,0,1,0.00021530,5.00000000,-5.00000000,0E-8,5.00000000,2,1,0,B41_LE_VB_UNIFORM,226238194.00,226238199.00,CONDITIONAL,150118908.2369,150118908.2369,22608595.7156,9571012,3807782,-0.15060458,,-0.15060458,-0.15158178,-22608595.7156,150118908.2369,OK,146695.4530,941286.2050,4.0414,95.9586,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,941286.2050,958422.9370,937474.3158,990011.9481,915857.2040,4.041398,4.079531,4.223647,4.786005,4.539592,95.958602,95.920469,95.776353,95.213995,95.460408,4.9872,4743052.6099,4331595.621,17718847.6527,18130304.6416,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,21667309.5105,143899311.3009,22461900.2626,21520614.0575,794590.7520,0.14962739,0.14335712,941286.2050,21520614.0575,0.14335712,941286.2050,958422.9370,937474.3158,990011.9481,915857.2040,21520614.0575,0.14335712,4743052.6099,4331595.621,17718847.6527,18130304.6416,0.11803208,0.12077296,0.00529308,15.6847,39.4242,5.9375,162651.7677,183.4488,1079992.1456,27394.1151,,15.6847,2.5716,5.1431,12.8426,26.176,47.0567,175.4913,5.1431,-4.2165,9.149463,34.121646,3.049664,30,295,435471,1,0E-8,0.15060458,,0.00097720,0.048330,1.000000,0.048133,,2026-03-21,2026-08-06,139,123242,4007,139,1.000000,,1.048869,0.729366,4,0.68,0.26,0.26,0.68,0.68,0.6190476190476191,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00095421,E 常规,36,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Player,-1,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE,5909421558.4378,5307694037.0023,71752371.9389,43885458,5729659,-0.01214203,,-0.01214203,-0.01264106,-71752371.9389,5909421558.4378,OK,2948981.9814,2876065.2494,3.9756,96.0244,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,3.975622,4.014228,4.253591,4.638919,4.490680,96.024378,95.985772,95.746409,95.361081,95.509320,4.9929,15267847.1603,13880612.5533,53535542.7972,54922777.4041,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,68876306.6895,5092448088.4895,68803389.9575,65927324.7081,-72916.7320,0.01164300,0.01115631,2876065.2494,65927324.7081,0.01115631,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,65927324.7081,0.01115631,15267847.1603,13880612.5533,53535542.7972,54922777.4041,0.00905935,0.0092941,-0.00001234,134.6556,926.3543,12.5230,516204.1147,581.7351,42513824.1614,41220.5683,,134.6556,8.7819,25.7154,78.5279,235.1031,467.8629,1754.329,20.439,0.0,18.193861,68.220876,5.236373,30,300,1172757,1,0E-8,0.01214203,,0.00055561,0.036002,0.898175,0.077263,,2026-03-21,2026-08-06,139,123342,4007,139,1.000000,,1.024058,0.725609,4,0.72,0.58,0.58,0.72,0.72,0.6666666666666666,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00077788,E 常规,37,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Player,-100,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE,5909421558.4378,5307694037.0023,71752371.9389,43885458,5729659,-0.01214203,,-0.01214203,-0.01264106,-71752371.9389,5909421558.4378,OK,2948981.9814,2876065.2494,3.9756,96.0244,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,3.975622,4.014228,4.253591,4.638919,4.490680,96.024378,95.985772,95.746409,95.361081,95.509320,4.9929,15267847.1603,13880612.5533,53535542.7972,54922777.4041,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,68876306.6895,5092448088.4895,68803389.9575,65927324.7081,-72916.7320,0.01164300,0.01115631,2876065.2494,65927324.7081,0.01115631,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,65927324.7081,0.01115631,15267847.1603,13880612.5533,53535542.7972,54922777.4041,0.00905935,0.0092941,-0.00001234,134.6556,926.3543,12.5230,516204.1147,581.7351,42513824.1614,41220.5683,,134.6556,8.7819,25.7154,78.5279,235.1031,467.8629,1754.329,20.439,0.0,18.193861,68.220876,5.236373,30,300,1172757,1,0E-8,0.01214203,,0.00055561,0.036002,0.898175,0.077263,,2026-03-21,2026-08-06,139,123342,4007,139,1.000000,,1.024058,0.725609,4,0.72,0.58,0.58,0.72,0.72,0.6666666666666666,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00077788,E 常规,38,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Player,0,40808807,0,0,286,0.00070080,1000000.00000000,-1000000.00000000,0E-8,1677540.00000000,4313100,286,0,B41_LE_VB_UNIFORM,275692785988.00,275694463528.00,CONDITIONAL,5909421558.4378,5307694037.0023,71752371.9389,43885458,5729659,-0.01214203,,-0.01214203,-0.01264106,-71752371.9389,5909421558.4378,OK,2948981.9814,2876065.2494,3.9756,96.0244,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,3.975622,4.014228,4.253591,4.638919,4.490680,96.024378,95.985772,95.746409,95.361081,95.509320,4.9929,15267847.1603,13880612.5533,53535542.7972,54922777.4041,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,68876306.6895,5092448088.4895,68803389.9575,65927324.7081,-72916.7320,0.01164300,0.01115631,2876065.2494,65927324.7081,0.01115631,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,65927324.7081,0.01115631,15267847.1603,13880612.5533,53535542.7972,54922777.4041,0.00905935,0.0092941,-0.00001234,134.6556,926.3543,12.5230,516204.1147,581.7351,42513824.1614,41220.5683,,134.6556,8.7819,25.7154,78.5279,235.1031,467.8629,1754.329,20.439,0.0,18.193861,68.220876,5.236373,30,300,1172757,1,0E-8,0.01214203,,0.00055561,0.036002,0.898175,0.077263,,2026-03-21,2026-08-06,139,123342,4007,139,1.000000,,1.024058,0.725609,4,0.72,0.58,0.58,0.72,0.72,0.6666666666666666,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00077788,E 常规,39,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Player,1,3412976,0,0,42,0.00123060,2500.00000000,-2500.00000000,0E-8,4548.00000000,352965,42,0,B41_LE_VB_UNIFORM,12419003325.50,12419007873.50,CONDITIONAL,5909421558.4378,5307694037.0023,71752371.9389,43885458,5729659,-0.01214203,,-0.01214203,-0.01264106,-71752371.9389,5909421558.4378,OK,2948981.9814,2876065.2494,3.9756,96.0244,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,3.975622,4.014228,4.253591,4.638919,4.490680,96.024378,95.985772,95.746409,95.361081,95.509320,4.9929,15267847.1603,13880612.5533,53535542.7972,54922777.4041,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,68876306.6895,5092448088.4895,68803389.9575,65927324.7081,-72916.7320,0.01164300,0.01115631,2876065.2494,65927324.7081,0.01115631,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,65927324.7081,0.01115631,15267847.1603,13880612.5533,53535542.7972,54922777.4041,0.00905935,0.0092941,-0.00001234,134.6556,926.3543,12.5230,516204.1147,581.7351,42513824.1614,41220.5683,,134.6556,8.7819,25.7154,78.5279,235.1031,467.8629,1754.329,20.439,0.0,18.193861,68.220876,5.236373,30,300,1172757,1,0E-8,0.01214203,,0.00055561,0.036002,0.898175,0.077263,,2026-03-21,2026-08-06,139,123342,4007,139,1.000000,,1.024058,0.725609,5,0.72,0.58,0.58,0.72,0.72,0.6666666666666666,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00077788,E 常规,40,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Player,100,1,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE,5909421558.4378,5307694037.0023,71752371.9389,43885458,5729659,-0.01214203,,-0.01214203,-0.01264106,-71752371.9389,5909421558.4378,OK,2948981.9814,2876065.2494,3.9756,96.0244,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,3.975622,4.014228,4.253591,4.638919,4.490680,96.024378,95.985772,95.746409,95.361081,95.509320,4.9929,15267847.1603,13880612.5533,53535542.7972,54922777.4041,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,68876306.6895,5092448088.4895,68803389.9575,65927324.7081,-72916.7320,0.01164300,0.01115631,2876065.2494,65927324.7081,0.01115631,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,65927324.7081,0.01115631,15267847.1603,13880612.5533,53535542.7972,54922777.4041,0.00905935,0.0092941,-0.00001234,134.6556,926.3543,12.5230,516204.1147,581.7351,42513824.1614,41220.5683,,134.6556,8.7819,25.7154,78.5279,235.1031,467.8629,1754.329,20.439,0.0,18.193861,68.220876,5.236373,30,300,1172757,1,0E-8,0.01214203,,0.00055561,0.036002,0.898175,0.077263,,2026-03-21,2026-08-06,139,123342,4007,139,1.000000,,1.024058,0.725609,4,0.72,0.58,0.58,0.72,0.72,0.6666666666666666,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00077788,E 常规,41,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
Player,2,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,0,NO_DIFFERENCE,0.00,0.00,NO_COMPARABLE_VALUE,5909421558.4378,5307694037.0023,71752371.9389,43885458,5729659,-0.01214203,,-0.01214203,-0.01264106,-71752371.9389,5909421558.4378,OK,2948981.9814,2876065.2494,3.9756,96.0244,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,3.975622,4.014228,4.253591,4.638919,4.490680,96.024378,95.985772,95.746409,95.361081,95.509320,4.9929,15267847.1603,13880612.5533,53535542.7972,54922777.4041,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,68876306.6895,5092448088.4895,68803389.9575,65927324.7081,-72916.7320,0.01164300,0.01115631,2876065.2494,65927324.7081,0.01115631,2876065.2494,2933996.2912,3122487.2355,3210883.9594,3124414.4247,65927324.7081,0.01115631,15267847.1603,13880612.5533,53535542.7972,54922777.4041,0.00905935,0.0092941,-0.00001234,134.6556,926.3543,12.5230,516204.1147,581.7351,42513824.1614,41220.5683,,134.6556,8.7819,25.7154,78.5279,235.1031,467.8629,1754.329,20.439,0.0,18.193861,68.220876,5.236373,30,300,1172757,1,0E-8,0.01214203,,0.00055561,0.036002,0.898175,0.077263,,2026-03-21,2026-08-06,139,123342,4007,139,1.000000,,1.024058,0.725609,5,0.72,0.58,0.58,0.72,0.72,0.6666666666666666,n_rounds>=30,51,43,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00077788,E 常规,42,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
