member_id,bet_date,stake,game_pnl,net_pnl,rebate,validbet,n_rounds,n_tables,n_ip,late_def,late_share_d,hedge_rate_d,stake_cv_d,rn
100377236,2026-08-06,84.8553418457,-60.6109584611,-60.6109584611,0E-10,84.8553418457,4,1,1,shoe_pos>=0.80,0E-7,0E-7,0.12295185225991541,33
100394887,2026-08-05,1133.8289962822,-508.5259414902,-498.5033133988,10.0226280916,1113.6253434618,18,1,1,shoe_pos>=0.80,0.3333333,0E-7,1.1544712608436392,34
100394887,2026-08-06,2616.3730402445,215.1689025378,232.3521092617,17.1832067245,1909.2451915296,54,4,1,shoe_pos>=0.80,0.0555556,0E-7,1.458267368991197,35
100417166,2026-08-05,1.5411090848,-1.5411090848,-1.5411090848,0E-10,1.5411090848,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,36
100417166,2026-08-06,1.5411090848,-1.5411090848,-1.5411090848,0E-10,1.5411090848,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,37
100426937,2026-08-06,803.0951996117,-202.0365282042,-202.0365282042,0E-10,803.0951996117,8,4,1,shoe_pos>=0.80,0.3750000,0E-7,0.01778884984115323,38
100429008,2026-08-04,20.0344181030,-10.1456348086,-10.1456348086,0E-10,15.1542393343,5,2,2,shoe_pos>=0.80,0E-7,0E-7,0.2548026527526076,39
100429008,2026-08-05,31.0790332109,-2.8895795341,-2.8895795341,0E-10,31.0790332109,6,1,1,shoe_pos>=0.80,0E-7,0E-7,0.2417408348676757,40
100433291,2026-08-05,20.9288210795,19.8823800255,19.8823800255,0E-10,20.9288210795,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,41
100448036,2026-08-05,17.4659029615,-17.4659029615,-17.4659029615,0E-10,17.4659029615,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,42
100456584,2026-08-05,31.7197349281,-8.0814611281,-8.0814611281,0E-10,31.7197349281,4,3,1,shoe_pos>=0.80,0E-7,0E-7,0.6847059694427619,43
100476123,2026-08-04,21895.7326133834,3961.8258303499,3961.8258303499,0E-10,20430.7151378177,104,7,1,shoe_pos>=0.80,0.4326923,0E-7,0.030741609766715028,44
100494577,2026-08-04,4189.5050471321,-809.8014537795,-809.8014537795,0E-10,3414.8408804868,12,5,2,shoe_pos>=0.80,0.2500000,0E-7,0.5673520433561003,45
100494577,2026-08-05,4743.0200601027,-111.6276680452,-111.6276680452,0E-10,3440.2691803864,40,6,1,shoe_pos>=0.80,0.1500000,0E-7,0.35321490416942,46
100494577,2026-08-06,619.7827036190,-274.1889913440,-274.1889913440,0E-10,619.7827036190,7,4,2,shoe_pos>=0.80,0.4285714,0E-7,0.6618449358467134,47
100510847,2026-08-06,1772.7891505937,-231.5644825737,-231.5644825737,0E-10,1590.1677240404,121,10,2,shoe_pos>=0.80,0.3305785,0.0082645,0.6974276961455275,48
100521770,2026-08-04,847.6172537201,-429.0408321299,-429.0408321299,0E-10,429.0408321299,3,3,1,shoe_pos>=0.80,0E-7,0E-7,0.54558962454285,49
100537555,2026-08-04,526.5456039862,-119.4359540749,-119.4359540749,0E-10,526.5456039862,6,1,1,shoe_pos>=0.80,0.5000000,0E-7,0.5585312599596322,50
100540977,2026-08-04,445.1236740044,111.3451313796,111.3451313796,0E-10,424.5755528732,25,4,3,shoe_pos>=0.80,0E-7,0E-7,0.7261057908332548,51
100540977,2026-08-05,14.1268332777,-14.1268332777,-14.1268332777,0E-10,14.1268332777,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,52
100552967,2026-08-04,7.7055454242,-7.7055454242,-7.7055454242,0E-10,7.7055454242,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,53
100557069,2026-08-04,209.2882107951,198.8238002553,198.8238002553,0E-10,209.2882107951,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,54
100560458,2026-08-05,5.6507333110,-2.5685151414,-2.5685151414,0E-10,5.6507333110,7,4,1,shoe_pos>=0.80,0E-7,0E-7,0.6476275840740723,55
100560458,2026-08-06,2.3116636272,-0.2953792412,-0.2953792412,0E-10,1.7979605989,6,4,1,shoe_pos>=0.80,0.1666667,0E-7,0.36514837176488624,56
100630964,2026-08-06,97.6035753732,-34.7391672873,-34.7391672873,0E-10,97.6035753732,14,5,3,shoe_pos>=0.80,0E-7,0E-7,0.6560118805852447,57
100645984,2026-08-05,286.0096485183,271.7091660923,271.7091660923,0E-10,286.0096485183,3,1,1,shoe_pos>=0.80,0E-7,0E-7,0.633969961918146,58
100657622,2026-08-05,199.0599234583,-134.8470449233,-134.8470449233,0E-10,199.0599234583,3,1,1,shoe_pos>=0.80,0E-7,0E-7,0.5329906981242699,59
100657622,2026-08-06,100.1720905145,-100.1720905145,-100.1720905145,0E-10,100.1720905145,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,60
100681239,2026-08-04,1068.2454473080,95.8184573497,95.8184573497,0E-10,964.2205840813,34,11,1,shoe_pos>=0.80,0.1176471,0E-7,0.3492392298017299,61
100681239,2026-08-05,1202.5787892022,-527.7656486786,-527.7656486786,0E-10,1171.7566075054,28,17,1,shoe_pos>=0.80,0.1428571,0E-7,0.5472286342812985,62
100726558,2026-08-06,18.1832875380,1.7173104897,1.7173104897,0E-10,18.1832875380,9,1,1,shoe_pos>=0.80,0.8888889,0E-7,0.0,63
100742964,2026-08-04,21.5755271877,21.5755271877,21.5755271877,0E-10,21.5755271877,2,2,1,shoe_pos>=0.80,0E-7,0E-7,0.4714045207910317,64
100760180,2026-08-06,288.9122353317,174.2565055767,174.2565055767,0E-10,228.3012768703,22,7,1,shoe_pos>=0.80,0.3636364,0E-7,0.442208142963798,65
100794349,2026-08-05,4.0407305640,-4.0407305640,-4.0407305640,0E-10,4.0407305640,2,2,1,shoe_pos>=0.80,0E-7,0E-7,0.0,66
100794349,2026-08-06,627.3234200746,42.7307257158,42.7307257158,0E-10,576.8142880235,67,17,2,shoe_pos>=0.80,0.1940299,0E-7,0.4863536812847568,67
100806454,2026-08-06,214.1587198966,-76.7738807176,-76.7738807176,0E-10,214.1587198966,3,2,1,shoe_pos>=0.80,0.3333333,0E-7,0.11783015091277786,68
100811929,2026-08-05,222151.3300801942,-25415.1369328880,-25415.1369328880,0E-10,204360.7353531595,144,19,14,shoe_pos>=0.80,0.3055556,0.0138889,0.568427273500507,69
100834332,2026-08-05,886.3945752965,154.5860837849,154.5860837849,0E-10,773.8936121033,52,5,2,shoe_pos>=0.80,0.4038462,0E-7,0.7048516531358304,70
100838954,2026-08-06,154.1109084838,-154.1109084838,-154.1109084838,0E-10,154.1109084838,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.23570226039582176,71
100839406,2026-08-04,8398.1080345745,-2147.5063309682,-2147.5063309682,0E-10,6933.0905590089,15,13,1,shoe_pos>=0.80,0.2000000,0E-7,0.4779346624396422,72
100863141,2026-08-05,32939.6655793305,-785.0923381199,-785.0923381199,0E-10,30409.6781650546,216,14,4,shoe_pos>=0.80,0.4861111,0E-7,0.5041757376462396,73
100863141,2026-08-06,6870.2643002089,-321.0643926749,-321.0643926749,0E-10,5903.7320525013,88,9,3,shoe_pos>=0.80,0.3977273,0E-7,0.4760726562226137,74
100893169,2026-08-05,1294.0179282357,-1294.0179282357,-1294.0179282357,0E-10,1294.0179282357,2,2,1,shoe_pos>=0.80,0E-7,0E-7,0.010666954221940235,75
100893169,2026-08-06,4807.2329386382,-1301.2097706315,-1301.2097706315,0E-10,4421.9556674287,9,1,2,shoe_pos>=0.80,0E-7,0E-7,0.41054662674025216,76
100924080,2026-08-06,1181.5169650425,256.9799398966,256.9799398966,0E-10,1104.4615108006,14,7,1,shoe_pos>=0.80,0.1428571,0E-7,0.1901989957660126,77
100925155,2026-08-04,209269.7711453040,-13302.0445380553,-13302.0445380553,0E-10,191659.2607813455,386,26,4,shoe_pos>=0.80,0.2176166,0E-7,0.3880347123180963,78
100925155,2026-08-05,81776.3850717917,-5069.1572701838,-5069.1572701838,0E-10,76731.0507795462,281,21,2,shoe_pos>=0.80,0.2135231,0E-7,0.6843793578697511,79
100925155,2026-08-06,251.7144838570,-80.2018852902,-80.2018852902,0E-10,251.7144838570,8,5,2,shoe_pos>=0.80,0E-7,0E-7,0.375155111610435,80
100946717,2026-08-04,258.9063262529,-258.9063262529,-258.9063262529,0E-10,258.9063262529,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.5499719409223545,81
100961713,2026-08-05,82.4493360388,-82.4493360388,-82.4493360388,0E-10,82.4493360388,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,82
100963770,2026-08-05,1.6162922256,-1.6162922256,-1.6162922256,0E-10,1.6162922256,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,83
100977706,2026-08-04,25.6851514140,-25.6851514140,-25.6851514140,0E-10,25.6851514140,2,2,1,shoe_pos>=0.80,0.5000000,0E-7,0.0,84
101008528,2026-08-05,2.0203652820,-2.0203652820,-2.0203652820,0E-10,2.0203652820,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,85
101008528,2026-08-06,91.1184742200,32.4268627769,32.4268627769,0E-10,84.2492322610,13,5,1,shoe_pos>=0.80,0.3846154,0E-7,0.39212804412965546,86
101018655,2026-08-04,11399.3270490364,14.7175917586,14.7175917586,0E-10,10138.6998176384,302,17,2,shoe_pos>=0.80,0.3178808,0E-7,0.6126000980532605,87
101018655,2026-08-05,3766.4706033453,-215.5754758177,-215.5754758177,0E-10,3562.5305011182,130,14,2,shoe_pos>=0.80,0.1923077,0E-7,0.6787053910159396,88
101018655,2026-08-06,4878.8945110862,287.5324275025,287.5324275025,0E-10,4537.2819972802,205,14,2,shoe_pos>=0.80,0.2439024,0E-7,0.8002410431084259,89
101032279,2026-08-04,280.8307742039,-202.0365282042,-202.0365282042,0E-10,280.8307742039,4,1,1,shoe_pos>=0.80,0E-7,0E-7,0.449126805126672,90
101034014,2026-08-06,1214.3939588530,-234.4412195312,-234.4412195312,0E-10,1014.0497778240,33,4,1,shoe_pos>=0.80,0.0606061,0E-7,0.5519679131960631,91
101038107,2026-08-04,796.4279941816,-86.8757071273,-86.8757071273,0E-10,728.5437207049,26,10,1,shoe_pos>=0.80,0E-7,0E-7,0.2915962369134104,92
101039366,2026-08-04,267.3824262196,3.0822181696,3.0822181696,0E-10,228.0841445562,16,9,1,shoe_pos>=0.80,0.1250000,0E-7,0.6756080626547059,93
101043093,2026-08-04,123.2887267872,-46.8754013306,-46.8754013306,0E-10,123.2887267872,6,2,1,shoe_pos>=0.80,0.6666667,0E-7,0.39528470752104744,94
101043093,2026-08-05,1794.1078262669,-309.7629260533,-309.7629260533,0E-10,1755.5800991459,42,3,2,shoe_pos>=0.80,0E-7,0E-7,0.44237255129140635,95
101054871,2026-08-04,37987.0000000000,-872.0500000000,-872.0500000000,0E-10,34704.0000000000,156,29,1,shoe_pos>=0.80,0.3012821,0E-7,0.3759894243628068,96
101054871,2026-08-05,14382.0000000000,-524.7000000000,-524.7000000000,0E-10,13782.0000000000,55,23,1,shoe_pos>=0.80,0.3454545,0E-7,0.3943980342103515,97
101054871,2026-08-06,17527.0000000000,-1395.0500000000,-1395.0500000000,0E-10,14922.0000000000,73,26,2,shoe_pos>=0.80,0.2876712,0E-7,0.3742154075852174,98
101058105,2026-08-04,4500.6613756614,2182.5396825396,2182.5396825396,0E-10,4431.2169312170,12,1,1,shoe_pos>=0.80,0E-7,0E-7,1.3368287911623609,99
101060196,2026-08-04,90.5123646355,-90.5123646355,-90.5123646355,0E-10,90.5123646355,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,100
101060196,2026-08-06,163.8516243737,-163.8516243737,-163.8516243737,0E-10,163.8516243737,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,101
101090466,2026-08-04,559.0936753518,-240.6012500006,-240.6012500006,0E-10,559.0936753518,6,1,1,shoe_pos>=0.80,0E-7,0E-7,0.5257648700628054,102
101094342,2026-08-04,70421.2743549262,-8928.6466561372,-8928.6466561372,0E-10,63786.2032648786,213,22,3,shoe_pos>=0.80,0.2112676,0E-7,0.39889608148452843,103
101094342,2026-08-05,72406.5297525039,1653.5018430728,1653.5018430728,0E-10,64296.9984202234,195,24,2,shoe_pos>=0.80,0.1743590,0E-7,0.47359620233857125,104
101160729,2026-08-04,56.0000000000,-5.0500000000,-5.0500000000,0E-10,46.0000000000,4,3,1,shoe_pos>=0.80,0.2500000,0E-7,0.37343778907995523,105
101160729,2026-08-05,95.0000000000,27.5000000000,27.5000000000,0E-10,95.0000000000,5,3,1,shoe_pos>=0.80,0.2000000,0E-7,0.5393131982083998,106
101160729,2026-08-06,60.0000000000,-40.5000000000,-40.5000000000,0E-10,60.0000000000,4,4,1,shoe_pos>=0.80,0.2500000,0E-7,0.4714045207910317,107
101160860,2026-08-05,2.0548121131,-2.0548121131,-2.0548121131,0E-10,2.0548121131,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,108
101172876,2026-08-05,4109.6242262349,-1541.1090848381,-1541.1090848381,0E-10,4109.6242262349,3,1,1,shoe_pos>=0.80,1.0000000,0E-7,0.10825317547306268,109
101173089,2026-08-04,102.2269026276,-26.0961138367,-26.0961138367,0E-10,102.2269026276,3,2,1,shoe_pos>=0.80,0E-7,0E-7,0.413497921149624,110
