dealer_id,平均每局秒数,局速
2179,27.26257286364556,132.0491656457184
2238,27.26440574309669,132.04028849634892
1714,27.41381436052406,131.32065288893202
2121,27.41468673623023,131.31647407235823
752,27.415158630327877,131.3142137363932
1702,27.428817611825217,131.24882198523767
1382,27.431217779792167,131.23733801756416
1750,27.43220593242247,131.23261063541065
1078,27.43473991967874,131.22048944293968
1990,27.43805232923165,131.20464808519486
2261,27.43823658427597,131.2037670111443
1940,27.439058849073003,131.1998352349327
1323,27.439167278189128,131.1993167832601
1094,27.440500641105448,131.19294166984895
1646,27.44202460150835,131.1856560248884
1490,27.442652867358188,131.18265269033228
1645,27.44481693771829,131.1723087156907
1151,27.445601144614404,131.16856071146472
1221,27.448430226938015,131.15504129875316
925,27.452162043123618,131.13721222921856
763,27.45302154265398,131.13310658379265
1623,27.45378247158382,131.1294720035827
1299,27.45452423704657,131.12592915167818
772,27.45568829846367,131.12036969772285
1109,27.457376142830398,131.11230954018245
471,27.458100960031107,131.1088485412839
583,27.45831358079979,131.10783331272384
2267,27.4591614077272,131.10378523748125
1004,27.460981144241327,131.09509747997237
2271,27.461110112376375,131.09448180601868
1405,27.462264271725296,131.08897228501664
526,27.462980635233215,131.0855528689932
595,27.46347713887196,131.08318301416173
987,27.463906115724836,131.08113553952074
1951,27.46496237224739,131.0760943782579
1383,27.46520229020043,131.07494938365986
1157,27.465757936670276,131.07229766973018
2106,27.465962797201612,131.07132004004566
1704,27.467301818467245,131.0649303594717
2130,27.467363829597787,131.06463446342008
919,27.46771448763094,131.06296126753196
2115,27.46774380692536,131.06282136985502
2160,27.468049262043586,131.0613639016084
948,27.46947970769663,131.05453901230322
1485,27.47108528379189,131.04687939373193
1353,27.471123849098454,131.04669542371653
462,27.471568917260292,131.04457233012755
1304,27.471796047936728,131.04348888286023
2147,27.472603149438108,131.0396390330281
2124,27.47315651318518,131.0369996353442
1985,27.473320518265503,131.03621739522012
2167,27.47397599978532,131.03309109784948
1363,27.475195385057294,131.0272756770968
2129,27.475951169761508,131.0236714921068
550,27.47778260917765,131.0149385488475
2153,27.477883046417688,131.01445966265348
529,27.47902611051322,131.0090097633654
1941,27.479852348671145,131.00507070861633
2127,27.480033082632687,131.00420909883078
789,27.481256040117888,130.998379213258
1965,27.481623193704866,130.9966290791965
2134,27.48218920808005,130.99393111454026
1942,27.48362801141976,130.9870734134576
1385,27.48474032877439,130.98177231935057
1205,27.484958593539496,130.9807321611247
2108,27.48570481172294,130.97717612337024
1017,27.486012717275663,130.9757088825513
1947,27.49518177973503,130.93203124968366
1654,27.49807888384871,130.9182366959642
2190,27.50420713700797,130.88906660959736
1710,27.504644894718666,130.8869834088008
2155,27.505329105112008,130.8837275221303
2243,27.50832871153117,130.86945549298028
2185,27.510501583547846,130.85911898287287
2118,27.51753851122853,130.8256550102045
1291,27.540326063411463,130.71740660263129
1956,27.554329895247136,130.65097259436408
2178,27.557341349092514,130.63669511494987
2273,27.562042138872155,130.61441463086425
2151,27.571582337930572,130.56921999893473
1506,27.581974469983372,130.52002509529441
1398,27.586050719605247,130.5007388187502
2221,27.58888240789472,130.48734438658664
1934,27.59401340848589,130.4630807671096
1508,27.596962189793924,130.44914056994918
2149,27.598537430975878,130.4416949269005
1964,27.599242721769937,130.43836152650542
2213,27.602097131219278,130.4248725336246
2253,27.61020767437814,130.38656001637924
915,27.610294285292948,130.3861510059165
2176,27.619267347989577,130.34379060971168
2257,27.6335740475126,130.27630786413056
2249,27.638256655992446,130.2542358155379
2193,27.641356082684254,130.23963040131727
2240,27.665378712421667,130.12653965165535
1301,27.673466223320254,130.08851045071842
2230,27.690470884384997,130.00862336472886
1108,27.694421143896008,129.9900792760732
1105,27.71905786669453,129.87454398028197
1266,27.73904900551245,129.78094524021316
1256,27.76127513783523,129.67704048628656
2139,27.76127513783523,129.67704048628656
2247,27.774882057970828,129.6135116788686
879,40.73600081154716,88.37391811371755
1147,40.758100299993245,88.32600080727012
1295,40.758100299993245,88.32600080727012
1402,40.92854628767152,87.95816921267956
1330,40.93660227744041,87.94085976167861
2088,40.9481109439444,87.91614355368414
2123,40.95418702689941,87.9031000575218
2223,40.95947560898629,87.89175023544928
1318,40.95981367230753,87.89102481767195
2093,40.96121237548543,87.88802360143366
1306,40.972427117349824,87.86396738687652
2170,40.97269560720625,87.86339162334329
994,40.97535061832533,87.85769848641586
1331,40.97564194393936,87.85707384219445
1396,40.97580599568773,87.85672209544485
2177,40.97593690735972,87.8564414070396
1994,40.97623706179111,87.8557978511129
1210,40.97786424957561,87.85230919001064
2281,40.987851366375985,87.83090306005228
2141,40.988567702414855,87.82936808469901
1374,40.98908955927113,87.82824987596567
2145,40.99136107688592,87.82338291347824
2142,40.993177860336104,87.81949065440138
