player_id,n_shoes,avg_first_round,min_first_round,max_first_round
207244,2834,26.500705716302047,1,57
313243,84,29.654761904761905,6,57
371579,43,18.11627906976744,4,39
432499,417,22.54196642685851,3,53
556418,1164,25.54553264604811,1,56
1067474,273,23.04029304029304,1,55
1112471,926,25.042116630669547,2,52
1177072,4022,18.520885131775238,2,58
1242690,48,26.458333333333332,5,50
1262437,234,24.4017094017094,5,57
1312497,41,27.926829268292682,2,54
1338730,47,28.48936170212766,4,52
1505519,95,24.88421052631579,1,54
1509477,415,22.416867469879517,1,54
1712800,272,19.227941176470587,1,52
1718380,47,11.53191489361702,1,28
1953578,331,16.181268882175228,2,58
2342940,51,24.54901960784314,2,55
2383841,43,28.41860465116279,3,52
2416591,606,28.635313531353134,2,55
2491095,39,30.46153846153846,7,53
2532548,629,21.850556438791735,2,58
2592877,240,27.775,5,54
2867846,117,17.914529914529915,2,51
2890331,36,11.5,4,21
2919580,47,26.127659574468087,3,53
2933872,347,25.365994236311238,4,56
2934234,923,18.032502708559047,2,54
3015805,417,23.364508393285373,2,52
3024166,453,26.902869757174393,5,55
3059904,67,25.29850746268657,5,52
3060035,170,20.44705882352941,1,51
3061411,52,23.53846153846154,2,52
3078091,120,27.441666666666666,11,54
3112521,83,18.819277108433734,3,52
3124237,41,22.926829268292682,7,53
3206119,5532,23.84833694866233,1,59
3531354,167,23.78443113772455,1,54
3546191,78,23.076923076923077,5,50
3602936,30,26.933333333333334,5,51
3604354,1073,27.190121155638398,1,54
3657903,4365,17.547766323024057,1,56
3670972,413,11.5181598062954,1,50
3693164,35,21.914285714285715,1,48
3710803,957,25.605015673981192,1,54
3722945,117,29.316239316239315,6,48
3738854,92,24.543478260869566,1,49
3774826,5504,27.81940406976744,5,54
3794706,81,28.22222222222222,5,52
3798668,59,21.406779661016948,3,53
3813771,379,26.065963060686016,1,55
3824899,152,18.74342105263158,1,52
3827808,131,21.053435114503817,1,52
3829065,57,22.31578947368421,2,47
3829219,102,27.215686274509803,1,52
3832454,782,18.494884910485933,1,54
3834480,261,22.731800766283524,1,53
3864026,174,18.919540229885058,2,52
3880020,36,22.86111111111111,1,49
3896435,72,27.180555555555557,8,47
3899655,32,25.9375,4,49
3908923,696,25.145114942528735,1,56
3911196,109,29.10091743119266,7,51
3914124,86,26.3953488372093,3,58
3926359,181,25.287292817679557,5,55
3935714,936,22.248931623931625,2,54
3949283,118,26.610169491525422,5,52
3990578,183,24.027322404371585,6,54
3990900,123,28.146341463414632,1,51
3995104,82,23.097560975609756,1,52
4006899,223,24.807174887892376,1,51
4012156,38,26.973684210526315,1,49
4020175,43,8.279069767441861,1,34
4020367,81,15.518518518518519,1,31
4058969,260,24.8,1,53
4072530,575,25.001739130434782,1,54
4074477,721,24.91123439667129,1,55
4101170,45,31.42222222222222,2,51
