表名,行数
ods_a168_member_dtl,818110995
ods_a168_bet01,193063883
ods_a168_bet02,192856111
ods_a168_dailyreport_member,13720463
ods_a168_game_info,11574563
ods_a168_game_No,154774
ods_a168_agent,46278
ods_a168_employee,1937
ods_a168_alert_ip_setting,17
