TABLE_NAME,列数,时间列数,处置类列数,定日类列数
ods_a168_category,33,2,10,7
ods_a168_bet02,58,2,8,6
ods_a168_categoryLevel,21,2,8,3
ods_a168_payment_platform,22,2,7,4
ods_a168_payment_setting,26,2,7,4
ods_a168_bet01,49,2,6,6
ods_a168_dailyreport,34,2,6,3
ods_a168_dailyreport2,35,2,6,3
ods_a168_dailyreport_member,35,2,6,3
ods_a168_change_log,14,2,5,3
ods_a168_RedPacketSetup,26,2,4,8
ods_a168_payment_order,23,2,4,4
ods_a168_agent_dtl,22,2,4,2
ods_a168_agent_dtl_test,22,2,4,2
ods_a168_aggregate_transaction,22,2,3,4
ods_a168_game_info,23,2,3,4
ods_a168_jackpot,17,2,3,4
ods_a168_partner_gamelist,37,2,3,4
ods_a168_wallet_dtl,20,2,3,4
ods_a168_agent,51,2,3,3
ods_a168_agent_bak20250610,51,2,3,3
ods_a168_agent_test,49,2,3,3
ods_a168_log_age_cash_change,19,2,3,3
ods_a168_member_dtl,22,2,3,3
ods_a168_partner_transation,22,2,3,3
ods_a168_member_category,13,2,2,4
ods_a168_dailyreport_table,23,2,2,3
ods_a168_log_mem_change,17,2,2,3
ods_a168_orderslist,9,2,2,3
ods_a168_risklist,9,2,2,3
ods_a168_aggregate_setting,14,2,2,2
ods_a168_alertMessage,13,2,2,2
ods_a168_tablelimit,31,2,1,5
ods_a168_wallet_reporter,17,2,1,5
ods_a168_wallet_reporter_copy,17,2,1,5
ods_a168_game_callwebapi,13,2,1,4
ods_a168_tablelimit_third,19,2,1,4
ods_a168_member_partner_account,12,2,1,3
ods_a168_member_url,12,2,1,3
ods_a168_partner_setting,15,2,1,3
ods_a168_game_demoipsetting,10,2,1,2
ods_a168_game_transfer,12,2,1,2
ods_a168_member,53,2,1,2
ods_a168_partner_type,29,2,1,2
ods_a168_payment_method,13,2,1,2
ods_a168_permissionsPageRoles,10,2,1,2
ods_a168_play_set,18,2,1,2
