member_id,bet_month,n_orders,n_validbet_dbnull,n_validbet_blank,n_validbet_true_zero,n_validbet_positive,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_no_commission,n_rounds,n_hedge_rounds,n_equal_hedge,n_zero_pnl_rounds,n_tables
60397427,2026-04-01,4,0,0,0,4,254.0000000000,254.0000000000,-254.0000000000,0E-10,0,4,0,0,0,2
60397427,2026-06-01,35,0,0,5,30,3801.0000000000,4252.0000000000,0E-10,0E-10,0,35,0,0,5,8
70820399,2026-04-01,68,0,0,68,0,0E-10,1340.0000000000,-15.0000000000,0E-10,0,34,34,34,19,18
70820399,2026-05-01,67,0,0,66,1,10.0000000000,670.0000000000,1.5000000000,0E-10,0,34,33,33,16,18
70820399,2026-06-01,98,0,0,98,0,0E-10,980.0000000000,-10.0000000000,0E-10,0,49,49,49,29,19
70820399,2026-07-01,376,0,0,376,0,0E-10,3760.0000000000,-32.5000000000,0E-10,0,188,188,188,123,28
70820399,2026-08-01,160,0,0,160,0,0E-10,1620.0000000000,-19.5000000000,0E-10,0,80,80,80,42,25
73675876,2026-04-01,14,0,0,0,14,144.7301208924,144.7301208924,-42.5676826152,0E-10,14,14,0,0,0,8
73675876,2026-05-01,54,0,0,7,47,1198.9664082685,1379.8449612400,-41.7743324720,0E-10,53,53,0,0,7,7
73675876,2026-08-01,86,0,0,7,79,2480.1587301600,2728.1746031760,0E-10,0E-10,85,86,0,0,7,24
104914403,2026-03-01,3,0,0,0,3,59.3873599942,59.3873599942,-59.3873599942,0E-10,3,2,0,0,0,1
104914403,2026-04-01,53,0,0,2,51,962.2332810696,1023.5871565894,-193.9464176158,0E-10,53,38,0,0,2,4
104914403,2026-05-01,25,0,0,1,24,849.4720763511,877.3455530656,-352.6552273918,0E-10,20,15,0,0,0,5
104914403,2026-06-01,45,0,0,4,41,908.2578478144,1029.3325509062,186.9178756071,0E-10,45,24,0,0,1,5
104914403,2026-07-01,47,0,0,2,45,817.4266525268,845.0424178149,0E-10,0E-10,47,39,0,0,3,6
104914403,2026-08-01,1,0,0,0,1,11.0409398048,11.0409398048,-11.0409398048,0E-10,1,1,0,0,0,1
117225712,2026-04-01,32,0,0,1,31,183.4166086905,196.0660299795,0E-10,0E-10,0,12,0,0,0,1
117225712,2026-06-01,56,0,0,3,53,243.0259850872,267.9517271474,-111.1272666856,0E-10,0,20,0,0,2,5
117225712,2026-07-01,96,0,0,2,94,553.6933327873,574.1323631597,-104.5456403537,0E-10,0,37,0,0,3,8
119131089,2026-04-01,55,0,0,0,55,551.0000000000,551.0000000000,-11.0000000000,0E-10,0,17,0,0,3,3
119131089,2026-05-01,9,0,0,0,9,644.0000000000,644.0000000000,355.0000000000,0E-10,0,4,0,0,0,3
119131089,2026-07-01,54,0,0,4,50,1295.0000000000,2465.0000000000,0E-10,0E-10,15,14,0,0,0,3
119131089,2026-08-01,2,0,0,0,2,16.0000000000,16.0000000000,5.4500000000,0E-10,0,2,0,0,0,1
119314432,2026-03-01,37,0,0,3,34,600.0000000000,640.0000000000,0E-10,0E-10,37,27,0,0,2,4
119314432,2026-04-01,46,0,0,5,41,2297.0000000000,2472.0000000000,-859.0000000000,0E-10,43,39,0,0,5,5
119314432,2026-05-01,31,0,0,3,28,791.0000000000,866.0000000000,-199.0000000000,0E-10,31,31,0,0,3,5
119314432,2026-06-01,95,0,0,6,89,4350.0000000000,4820.0000000000,1318.0000000000,0E-10,93,90,0,0,7,6
119314432,2026-07-01,3,0,0,1,2,101.0000000000,151.0000000000,-101.0000000000,0E-10,0,3,0,0,1,1
120051976,2026-04-01,444,0,0,34,410,634616.0395027982,690379.7037289166,-26562.2339519829,0E-10,1,438,0,0,34,29
120051976,2026-05-01,95,0,0,10,85,133505.5986218790,150732.1274763150,0E-10,0E-10,0,95,0,0,10,25
127953835,2026-03-01,81,0,0,9,72,419.2710625930,463.2890219201,5.5022449160,0E-10,0,81,0,0,9,11
127953835,2026-04-01,46,0,0,2,44,265.6378470689,284.6119790024,-40.7943836571,0E-10,0,46,0,0,2,13
127953835,2026-05-01,57,0,0,7,50,490.7047579028,555.8239680697,-28.2218254387,0E-10,0,57,0,0,7,13
127953835,2026-07-01,427,0,0,26,401,3720.3123083824,3984.5889710976,-31.8542288334,0E-10,0,303,0,0,17,29
127953835,2026-08-01,82,0,0,7,75,776.2243413602,838.8556651035,0E-10,0E-10,0,70,0,0,6,11
130079581,2026-07-01,69,0,0,6,63,1103.7076401096,1226.3418223440,0E-10,0E-10,0,69,0,0,6,23
130473199,2026-03-01,38,0,0,38,0,0E-10,476.3252081782,-0.4763252084,0E-10,18,19,19,19,15,14
130473199,2026-04-01,2145,0,0,2014,131,244.1748797054,2937.0985260807,-101.5382727463,0E-10,536,1137,1008,1002,652,29
130473199,2026-05-01,1603,0,0,1543,60,103.2807957333,3849.5737636214,-103.9704761245,0E-10,1422,806,797,788,706,29
130473199,2026-06-01,1009,0,0,933,76,275.5267568527,4436.4439129615,-66.3950106801,0E-10,346,535,474,457,307,29
130473199,2026-07-01,625,0,0,605,20,98.4454256021,5325.6216461051,-17.9245179350,0E-10,71,318,307,297,182,29
130473199,2026-08-01,298,0,0,294,4,2.7181554916,1215.3540985308,-17.3242439697,0E-10,0,149,149,145,80,29
131279549,2026-06-01,30,0,0,30,0,0E-10,353.1146791856,-5.7121492221,0E-10,0,15,15,15,6,9
133041322,2026-04-01,2,0,0,1,1,42.1647376299,63.2471064449,-42.1647376299,0E-10,1,2,0,0,1,2
133041322,2026-05-01,94,0,0,11,83,1764.5205335598,2037.6010923251,0E-10,0E-10,79,91,0,0,11,25
133041322,2026-06-01,1,0,0,0,1,20.7714517168,20.7714517168,-20.7714517168,0E-10,1,1,0,0,0,1
133041322,2026-07-01,6,0,0,0,6,122.6341822344,122.6341822344,-40.8780607448,0E-10,5,6,0,0,0,3
133258372,2026-06-01,88,0,0,7,81,810.0000000000,880.0000000000,146.5000000000,0E-10,0,81,2,2,8,16
133258372,2026-07-01,483,0,0,42,441,7910.0000000000,8840.0000000000,0E-10,0E-10,1,331,5,1,36,29
134392240,2026-04-01,13,0,0,1,12,460.0000000000,510.0000000000,100.0000000000,0E-10,12,13,0,0,1,3
134392240,2026-07-01,89,0,0,8,81,4270.0000000000,4785.0000000000,-110.0000000000,0E-10,86,89,0,0,8,8
134392240,2026-08-01,36,0,0,6,30,1360.0000000000,1710.0000000000,0E-10,0E-10,35,36,0,0,6,4
139161883,2026-04-01,37,0,0,12,25,780.0000000000,1310.0000000000,0E-10,0E-10,37,33,4,4,8,6
139309024,2026-03-01,14,0,0,14,0,0E-10,1052.7245804626,-9.8113797638,0E-10,0,7,7,7,3,4
139309024,2026-04-01,34,0,0,34,0,0E-10,746.3158560498,-9.3816541228,0E-10,0,17,17,17,9,7
139309024,2026-05-01,36,0,0,36,0,0E-10,1629.2532228089,-11.0282533347,0E-10,0,18,18,17,13,8
139309024,2026-06-01,74,0,0,74,0,0E-10,3298.5065326218,-26.2758864218,0E-10,0,37,37,37,23,14
139309024,2026-07-01,88,0,0,78,10,39.8561092263,2737.2432122584,-12.3514907221,0E-10,0,49,39,38,22,13
140459764,2026-07-01,151,0,0,2,149,9315.0000000000,9825.0000000000,0E-10,0E-10,129,40,0,0,0,9
142226617,2026-04-01,39,0,0,0,39,215.0401619130,215.0401619130,0E-10,0E-10,0,16,0,0,0,8
142226617,2026-05-01,80,0,0,1,79,462.1363302167,476.8406679963,-54.6161117527,0E-10,0,34,0,0,1,16
142226617,2026-06-01,2,0,0,0,2,8.9317242382,8.9317242382,-8.9317242382,0E-10,0,1,0,0,0,1
142226617,2026-07-01,27,0,0,0,27,145.9346768581,145.9346768581,-109.9619834027,0E-10,0,10,0,0,0,6
142226617,2026-08-01,14,0,0,0,14,56.5702278968,56.5702278968,16.1629222568,0E-10,0,4,0,0,0,4
143179928,2026-04-01,30,0,0,5,25,616.0000000000,735.0000000000,0E-10,0E-10,0,30,0,0,5,4
143342740,2026-05-01,110,0,0,14,96,1245.3946344288,1427.0146852830,0E-10,0E-10,0,110,0,0,14,11
143436096,2026-04-01,34,0,0,2,32,2116.6698290216,2295.8699639487,0E-10,0E-10,34,27,0,0,1,2
143815618,2026-04-01,212,0,0,4,208,5595.0000000000,5845.0000000000,-470.5000000000,0E-10,0,64,0,0,1,7
143815618,2026-05-01,4,0,0,0,4,153.0000000000,153.0000000000,-153.0000000000,0E-10,0,2,0,0,0,1
143815618,2026-06-01,51,0,0,2,49,1800.0000000000,1880.0000000000,0E-10,0E-10,0,17,0,0,1,1
144842644,2026-06-01,10,0,0,1,9,203.0977146760,222.0788095055,-39.8602991420,0E-10,10,10,0,0,1,5
144842644,2026-07-01,33,0,0,3,30,833.8386901152,928.5930867192,0E-10,0E-10,33,33,0,0,3,8
144842644,2026-08-01,11,0,0,1,10,244.9621694508,299.6479137014,-188.0290658476,0E-10,11,11,0,0,1,6
144907437,2026-04-01,35,0,0,3,32,8222.1238378344,8854.5949022832,0E-10,0E-10,35,35,0,0,3,4
144907437,2026-07-01,15,0,0,1,14,1065.4866533132,1157.4622899890,-268.3644687896,0E-10,14,15,0,0,1,3
145544965,2026-03-01,50,0,0,5,45,3495.6631928510,3932.6210919574,0E-10,0E-10,50,50,0,0,5,6
145544965,2026-04-01,1,0,0,0,1,129.2685554239,129.2685554239,-129.2685554239,0E-10,0,1,0,0,0,1
145544965,2026-05-01,2,0,0,0,2,216.2723301181,216.2723301181,-216.2723301181,0E-10,0,2,0,0,0,1
145544965,2026-07-01,9,0,0,0,9,442.0054663477,442.0054663477,-233.8144858216,0E-10,0,4,0,0,0,2
145570147,2026-03-01,32,0,0,3,29,4358.6550435864,4751.9171527822,0E-10,0E-10,27,32,0,0,3,15
145570147,2026-04-01,7,0,0,0,7,947.9694064420,947.9694064420,-430.8951847464,0E-10,5,7,0,0,0,4
145772144,2026-04-01,59,0,0,3,56,200.2825037425,210.8236881500,0E-10,0E-10,0,48,0,0,4,3
145772144,2026-05-01,45,0,0,1,44,174.3514336725,186.9551517693,0.6301859051,0E-10,0,26,0,0,1,5
146273793,2026-03-01,6,0,0,6,0,0E-10,110.0448983186,0E-10,0E-10,0,3,3,3,3,1
146273793,2026-05-01,48,0,0,48,0,0E-10,776.0555570818,-11.5240651165,0E-10,0,24,24,24,11,11
146428434,2026-03-01,52,0,0,52,0,0E-10,3870.4819277108,-32.0030120481,0E-10,0,26,26,26,18,1
146576317,2026-03-01,50,0,0,4,46,1158.5959923120,1290.2546278020,0E-10,0E-10,50,50,0,0,4,14
146587447,2026-04-01,1,0,0,0,1,248.7719520165,248.7719520165,-248.7719520165,0E-10,0,1,0,0,0,1
146587447,2026-05-01,46,0,0,46,0,0E-10,330.6772353044,-7.6367449773,0E-10,0,23,23,23,6,13
146587447,2026-06-01,30,0,0,30,0,0E-10,760.2351328338,-5.5044347050,0E-10,0,15,15,15,10,6
146855013,2026-03-01,30,0,0,30,0,0E-10,2183.7349397596,-22.5903614460,0E-10,0,15,15,15,9,1
146855013,2026-04-01,12,0,0,12,0,0E-10,528.9256198346,-5.1423324150,0E-10,0,6,6,6,4,1
146862795,2026-03-01,44,0,0,44,0,0E-10,2462.3493975900,-32.0030120478,0E-10,0,22,22,22,10,1
146862795,2026-06-01,2,0,0,2,0,0E-10,7.1216955332,0E-10,0E-10,0,1,1,1,1,1
146953518,2026-03-01,70,0,0,68,2,5.7228915663,435.6927710841,-6.2537650604,0E-10,0,35,35,33,19,1
146953518,2026-04-01,174,0,0,173,1,0.3673094582,1076.5840220418,-11.1478420566,0E-10,0,87,87,86,50,1
146953518,2026-05-01,159,0,0,159,0,0E-10,1096.6998126538,-13.3304510741,0E-10,0,80,79,79,42,1
146953518,2026-06-01,324,0,0,322,2,1.4243391066,2466.9553327261,-30.6232907941,0E-10,0,162,162,160,84,2
146953518,2026-07-01,159,0,0,157,2,3.8806763876,875.7393047819,-7.2583021315,0E-10,0,80,79,78,45,1
147599928,2026-03-01,42,0,0,4,38,226.4528530428,242.2518893016,0E-10,0E-10,42,40,0,0,4,14
147628271,2026-03-01,35,0,0,3,32,1406.1142270326,1537.7728625226,0E-10,0E-10,0,35,0,0,3,4
147649407,2026-03-01,34,0,0,30,4,7.4548192771,1693.4487951813,-21.2349397593,0E-10,0,18,16,13,7,1
147649407,2026-04-01,60,0,0,60,0,0E-10,3430.6703397608,-39.1184573002,0E-10,0,30,30,30,21,1
147679750,2026-03-01,124,0,0,16,108,642.4941411912,726.7556679048,0E-10,0E-10,0,124,0,0,16,29
147695204,2026-03-01,18,0,0,18,0,0E-10,850.9036144582,-9.7891566266,0E-10,0,9,9,9,4,1
