member_id,面板月,dt起(含),dt止(不含),零值类型,流水贡献,游戏输赢贡献,退水支出,活跃天数,月内IP数,round_key,桌号,risk_label
153508498,2026-7-1,2026-07-01,2026-08-01,洗码与输赢皆为0,0.00E+00,0.00E+00,0.00E+00,1,1,114723543|31|1,1,0
130473199,2026-3-1,2026-03-01,2026-04-01,洗码贡献为0,0.00E+00,0.476325208,0.00E+00,2,2,114585659|40|113,113,0
131279549,2026-6-1,2026-06-01,2026-07-01,洗码贡献为0,0.00E+00,5.712149222,0.00E+00,1,1,114692775|48|31,31,0
139309024,2026-4-1,2026-04-01,2026-05-01,洗码贡献为0,0.00E+00,9.381654123,0.00E+00,6,8,114602101|12|116,116,0
139309024,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,11.02825333,0.00E+00,7,9,114628857|16|8,8,0
139309024,2026-6-1,2026-06-01,2026-07-01,洗码贡献为0,0.00E+00,26.27588642,0.00E+00,13,19,114666645|17|2,2,0
146273793,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,11.52406512,0.00E+00,12,13,114637733|30|116,116,0
146428434,2026-3-1,2026-03-01,2026-04-01,洗码贡献为0,0.00E+00,32.00301205,0.00E+00,3,6,114584741|32|112,112,0
146587447,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,7.636744977,0.00E+00,17,12,114628091|7|35,35,0
146587447,2026-6-1,2026-06-01,2026-07-01,洗码贡献为0,0.00E+00,5.504434705,0.00E+00,7,6,114664108|30|3,3,0
146855013,2026-3-1,2026-03-01,2026-04-01,洗码贡献为0,0.00E+00,22.59036145,0.00E+00,2,3,114584741|29|112,112,0
146862795,2026-3-1,2026-03-01,2026-04-01,洗码贡献为0,0.00E+00,32.00301205,0.00E+00,2,3,114588097|14|112,112,0
146953518,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,13.33045107,0.00E+00,11,14,114629948|25|112,112,0
147649407,2026-4-1,2026-04-01,2026-05-01,洗码贡献为0,0.00E+00,39.1184573,0.00E+00,5,6,114597739|11|112,112,0
147695204,2026-4-1,2026-04-01,2026-05-01,洗码贡献为0,0.00E+00,68.31955923,0.00E+00,6,6,114604770|41|112,112,0
147725988,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,28.88352064,0.00E+00,13,4,114631525|33|8,8,0
147832886,2026-3-1,2026-03-01,2026-04-01,洗码贡献为0,0.00E+00,20.89608434,0.00E+00,2,6,114589823|29|112,112,0
148109889,2026-4-1,2026-04-01,2026-05-01,洗码贡献为0,0.00E+00,178.0716253,0.00E+00,13,39,114596967|1|112,112,0
148124319,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,2.415712635,0.00E+00,20,13,114628065|36|113,113,0
148162760,2026-4-1,2026-04-01,2026-05-01,洗码贡献为0,0.00E+00,274.8475251,0.00E+00,1,1,114597973|16|5,5,0
148228117,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,10.73641735,0.00E+00,1,1,114641875|48|112,112,0
148235446,2026-4-1,2026-04-01,2026-05-01,洗码贡献为0,0.00E+00,4.187327824,0.00E+00,2,2,114599997|23|112,112,0
148745170,2026-4-1,2026-04-01,2026-05-01,洗码贡献为0,0.00E+00,24.15209756,0.00E+00,5,7,114611910|33|112,112,0
148844715,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,3.466022477,0.00E+00,12,9,114639197|33|115,115,0
149548633,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,12.07856318,0.00E+00,11,3,114631680|22|32,32,0
149573414,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,46.05362588,0.00E+00,1,1,114632480|43|113,113,0
149589144,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,16.27980254,0.00E+00,11,3,114632789|25|112,112,0
149592410,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,5.224095691,0.00E+00,2,2,114635062|12|112,112,0
149614638,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,86.91811082,0.00E+00,1,1,114633373|37|37,37,0
149615255,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,97.2963927,0.00E+00,1,1,114633402|43|116,116,0
149616593,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,90.80996652,0.00E+00,1,1,114633429|44|116,116,0
149617594,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,97.2963927,0.00E+00,1,1,114633447|39|33,33,0
149620432,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,129.7285236,0.00E+00,1,1,114633511|39|112,112,0
149622808,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,149.1878021,0.00E+00,1,1,114633551|48|116,116,0
149623756,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,103.7828189,0.00E+00,1,1,114633577|44|113,113,0
149624151,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,142.701376,0.00E+00,1,1,114633580|44|112,112,0
149624815,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,132.3230941,0.00E+00,1,1,114633605|25|113,113,0
149624841,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,123.2420974,0.00E+00,1,1,114633605|26|113,113,0
149625387,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,121.9448122,0.00E+00,1,1,114633611|41|3,3,0
149625872,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,110.2692451,0.00E+00,1,1,114633612|40|112,112,0
149625880,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,110.2692451,0.00E+00,1,1,114633612|41|112,112,0
149626198,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,29.83756043,0.00E+00,1,1,114633615|49|116,116,0
149626497,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,114.1611008,0.00E+00,1,1,114633624|45|36,36,0
149626573,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,92.10725176,0.00E+00,1,1,114633622|52|115,115,0
149626816,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,141.4040907,0.00E+00,1,1,114633637|30|113,113,0
149626993,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,90.80996652,0.00E+00,1,1,114633634|37|32,32,0
149627552,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,123.2420974,0.00E+00,1,1,114633644|48|6,6,0
149627585,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,103.7828189,0.00E+00,1,1,114633645|35|116,116,0
149627651,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,103.7828189,0.00E+00,1,1,114633645|36|116,116,0
149627723,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,101.1882484,0.00E+00,1,1,114633645|39|116,116,0
149627844,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,142.701376,0.00E+00,1,1,114633631|44|37,37,0
149627846,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,132.3230941,0.00E+00,1,1,114633645|43|116,116,0
149628286,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,64.8642618,0.00E+00,1,1,114633658|47|115,115,0
149628599,2026-5-1,2026-05-01,2026-06-01,洗码贡献为0,0.00E+00,128.4312384,0.00E+00,1,1,114633669|44|7,7,0
