member_id,罕见度,相似度,是否种子,T4新命中
121125993,0.7950457123420551,1.0,0,1
147483269,0.7891687511133656,1.0,0,1
144860927,0.7843228558116355,1.0,0,1
141621532,0.7752368379528786,1.0,0,1
147777720,0.7550994746962162,1.0,0,1
125571858,0.7390679491147875,1.0,0,1
113311676,0.7392439485097535,1.0,0,1
152020362,0.7338102260049258,1.0,0,1
118817122,0.7401626691789867,1.0,0,1
50661677,0.7361502782981264,1.0,0,1
153451766,0.6976299511021959,1.0,0,1
147066027,0.6975531865264237,1.0,0,1
151374912,0.6571447332817569,1.0,0,1
131024857,0.6750443909210897,1.0,0,1
146649963,0.6442882082161401,1.0,0,1
48213845,0.6069965569419394,1.0,0,1
148308620,0.6373582812621101,1.0,0,1
132513825,0.6893981154939726,1.0,0,1
149581028,0.5746623099929125,1.0,0,1
142010693,0.6182015759394066,1.0,0,1
146790744,0.6056536945467292,1.0,0,1
146509710,0.5849975706416848,1.0,0,1
148128773,0.634079133791008,1.0,0,1
144805211,0.6159762354205217,1.0,0,1
142391599,0.705986738272176,1.0,0,1
48785505,0.6218854212639547,1.0,0,1
101054871,0.6562068851887856,1.0,0,1
137560839,0.5495405525961344,1.0,0,1
146790762,0.5252072339890659,1.0,0,1
146253297,0.5676084572513163,1.0,0,1
125905596,0.6102091434660232,1.0,0,1
151546477,0.5185614248131704,1.0,0,1
151451182,0.614661799487823,1.0,0,1
146493039,0.5534633758002155,1.0,0,1
147975813,0.5534526963296449,1.0,0,1
119978658,0.5555951886825365,1.0,0,1
106195450,0.7013969559230078,1.0,0,1
136211690,0.5165626072967466,1.0,0,1
134729808,0.692336965920075,1.0,0,1
132849236,0.5567711093355162,1.0,0,1
130850377,0.6520592622323991,1.0,0,1
147394989,0.5466777528405312,1.0,0,1
122657819,0.7190179949474037,1.0,0,1
50125428,0.5568907701002711,1.0,0,1
44540989,0.6138485473228462,1.0,0,1
68940888,0.5201325459154724,1.0,0,1
123115889,0.5518999544036959,1.0,0,1
148737345,0.6173238138179529,1.0,0,1
20528051,0.7144613401093733,1.0,0,1
39791888,0.5337369967605001,1.0,0,1
119622273,0.681693940227992,1.0,0,1
58352628,0.5461293964871922,1.0,0,1
65213955,0.6448478828850268,1.0,0,1
141054090,0.5668639435937617,1.0,0,1
147761702,0.6043180756646384,1.0,0,1
146502349,0.5644666121446963,1.0,0,1
131850174,0.6304691224731611,1.0,0,1
