member_id,ym,n_rounds,n_days,valid_bet,game_pnl,rebate,net_pnl,roi
100000592,2026-3-1,42,5,2727.059519,30.38096885,0.00E+00,30.38096885,0.01114056
100000592,2026-7-1,44,11,2172.281326,-938.631849,0.00E+00,-938.631849,-0.432094977
100002317,2026-7-1,35,5,1288.823484,-216.1206207,0.00E+00,-216.1206207,-0.167688301
100005152,2026-5-1,37,2,1002.722459,203.6289477,0.00E+00,203.6289477,0.203076081
100005152,2026-7-1,48,7,1638.128413,517.9699882,0.00E+00,517.9699882,0.316196205
100005152,2026-8-1,59,3,1795.045593,428.815977,0.00E+00,428.815977,0.238888627
100007077,2026-6-1,75,1,652.6602721,-51.791087,0.00E+00,-51.791087,-0.079353822
100008415,2026-3-1,51,3,2152.355373,-95.84748664,0.00E+00,-95.84748664,-0.044531441
100008415,2026-8-1,42,2,3467.495441,231.1663627,0.00E+00,231.1663627,0.066666667
100011114,2026-3-1,206,1,27815.78324,-3602.706902,0.00E+00,-3602.706902,-0.129520239
10001802,2026-4-1,100,4,274.8475251,-31.54202549,0.00E+00,-31.54202549,-0.114761905
100021063,2026-4-1,35,2,6440.85543,888.4119048,0.00E+00,888.4119048,0.137933837
100021063,2026-5-1,83,3,8769.269479,452.817687,0.00E+00,452.817687,0.051636877
100021063,2026-6-1,150,5,28692.62221,-3248.643506,0.00E+00,-3248.643506,-0.113222259
100022822,2026-5-1,37,12,290.8515386,-38.04940065,0.00E+00,-38.04940065,-0.130820696
100024545,2026-6-1,176,10,49315.19531,83.35690591,0.00E+00,83.35690591,0.001690288
100027128,2026-4-1,32,1,4166.756436,-909.1888398,0.00E+00,-909.1888398,-0.21820062
100028601,2026-5-1,31,4,1255.254009,1.297286077,0.00E+00,1.297286077,0.001033485
100034412,2026-4-1,111,8,8347.40372,252.3812606,0.00E+00,252.3812606,0.030234702
100034412,2026-7-1,213,15,8993.582144,-911.171974,0.00E+00,-911.171974,-0.101313577
100034642,2026-7-1,56,4,839,16.8,0.00E+00,16.8,0.020023838
100039595,2026-5-1,3169,11,286326.8564,-2280.023107,0.00E+00,-2280.023107,-0.007963008
100040611,2026-3-1,85,4,16105.01093,-113.4634121,0.00E+00,-113.4634121,-0.007045224
100040611,2026-4-1,280,7,26526.71256,-1583.043217,0.00E+00,-1583.043217,-0.059677324
100040611,2026-6-1,59,4,39847.50688,-6005.207396,0.00E+00,-6005.207396,-0.150704721
100043946,2026-6-1,69,1,2980.703321,-54.21348898,0.00E+00,-54.21348898,-0.018188153
100047470,2026-4-1,92,5,3169.122844,-264.2200874,0.00E+00,-264.2200874,-0.083373255
100047470,2026-6-1,59,4,2791.678453,-412.6186129,0.00E+00,-412.6186129,-0.147803058
100049078,2026-4-1,66,9,3105.334279,-561.3411129,0.00E+00,-561.3411129,-0.180766727
100059583,2026-4-1,693,7,452434.1359,22943.27126,3619.473087,26562.74435,0.050710743
100059583,2026-5-1,102,2,68299.96849,-13344.19704,546.3997479,-12797.79729,-0.195376328
100059583,2026-7-1,230,2,152538.9364,-3463.94555,1220.311491,-2243.63406,-0.022708599
100061555,2026-5-1,40,1,780.9662187,0.908100254,0.00E+00,0.908100254,0.001162791
100075170,2026-4-1,34,8,1025.029797,128.7246722,0.00E+00,128.7246722,0.125581395
100075170,2026-6-1,153,3,9222.903885,62.88343558,0.00E+00,62.88343558,0.006818182
100076918,2026-8-1,56,2,5908.35538,2178.691598,0.00E+00,2178.691598,0.368747555
100078665,2026-7-1,117,2,1267.911084,-184.9714714,0.00E+00,-184.9714714,-0.145886785
100079008,2026-7-1,64,3,281.0366676,-17.80239545,0.00E+00,-17.80239545,-0.063345455
100090205,2026-3-1,201,4,9169,389.25,0.00E+00,389.25,0.04245283
100090205,2026-4-1,187,3,9980.5,-437.3,0.00E+00,-437.3,-0.04381544
100094223,2026-4-1,58,3,1650,-143.5,0.00E+00,-143.5,-0.086969697
100096368,2026-7-1,42,2,7173.48649,21.52229898,0.00E+00,21.52229898,0.003000256
100097400,2026-4-1,40,10,158.3645263,31.28026595,0.00E+00,31.28026595,0.197520661
100097400,2026-7-1,91,7,1703.069734,-88.68406784,0.00E+00,-88.68406784,-0.052073069
100098116,2026-6-1,55,7,11681.24052,-2499.34568,105.1311647,-2394.214515,-0.213962351
100107643,2026-3-1,491,4,18813.716,-1167.312263,0.00E+00,-1167.312263,-0.062045811
100107643,2026-4-1,1574,11,62493.41176,-2173.497354,0.00E+00,-2173.497354,-0.034779624
100107977,2026-4-1,501,10,21093.64788,-5187.843906,0.00E+00,-5187.843906,-0.24594342
100107977,2026-5-1,571,5,37331.89791,-2365.413297,0.00E+00,-2365.413297,-0.063361721
100107977,2026-6-1,228,6,9457.449681,-1665.870428,0.00E+00,-1665.870428,-0.176143726
100107977,2026-7-1,149,4,6128.643257,-1819.073703,0.00E+00,-1819.073703,-0.296815074
100112850,2026-6-1,47,3,463.1387138,47.75643459,0.00E+00,47.75643459,0.103114754
100113145,2026-8-1,32,2,1473.557137,829.0267896,0.00E+00,829.0267896,0.562602405
100113641,2026-7-1,57,4,7104.794361,-2265.936024,0.00E+00,-2265.936024,-0.318930557
100128716,2026-4-1,76,5,74891.95286,8296.966247,0.00E+00,8296.966247,0.110785818
100131625,2026-4-1,2564,11,659780.6455,-18295.72285,0.00E+00,-18295.72285,-0.027730008
100131625,2026-5-1,2678,10,612231.0726,-15555.62763,0.00E+00,-15555.62763,-0.025408099
100131625,2026-6-1,4001,19,773463.6254,-29346.19539,0.00E+00,-29346.19539,-0.037941274
100131625,2026-7-1,1724,10,371783.2339,-6092.711641,0.00E+00,-6092.711641,-0.016387806
100134708,2026-3-1,44,1,288682.0408,-3721.22449,0.00E+00,-3721.22449,-0.012890391
100137153,2026-6-1,72,3,1502,165.85,0.00E+00,165.85,0.110419441
100141639,2026-4-1,63,1,5994.139101,641.1148357,0.00E+00,641.1148357,0.10695695
100141639,2026-5-1,347,14,88859.9937,-2468.396177,0.00E+00,-2468.396177,-0.027778487
100141639,2026-6-1,205,3,29082.52498,-978.6988763,0.00E+00,-978.6988763,-0.033652473
100143029,2026-6-1,68,3,345.2215275,-28.76846063,0.00E+00,-28.76846063,-0.083333333
100144898,2026-5-1,123,4,1051.839552,-6.564267558,0.00E+00,-6.564267558,-0.00624075
100153393,2026-3-1,100,2,13501.59307,-66.15846433,0.00E+00,-66.15846433,-0.004900049
100153393,2026-4-1,3396,11,666708.3737,-9032.759207,0.00E+00,-9032.759207,-0.013548291
100153393,2026-5-1,3672,4,327727.1548,-9393.700379,0.00E+00,-9393.700379,-0.028663174
100156212,2026-3-1,223,6,703.0893176,-11.77495127,0.00E+00,-11.77495127,-0.016747447
100162343,2026-3-1,49,6,734.9185033,16.07551939,0.00E+00,16.07551939,0.02187388
100162343,2026-4-1,135,17,2044.603827,-123.3149229,0.00E+00,-123.3149229,-0.06031238
100162343,2026-5-1,38,9,367.3914172,-55.69249131,0.00E+00,-55.69249131,-0.151588983
100162561,2026-6-1,180,3,15004.99656,1735.973394,0.00E+00,1735.973394,0.115693022
100174178,2026-4-1,974,25,92598.47164,10174.22435,0.00E+00,10174.22435,0.109874647
100174178,2026-5-1,724,19,82202.58638,-2588.822082,0.00E+00,-2588.822082,-0.031493195
100174178,2026-6-1,367,21,15429.76134,-2464.221174,0.00E+00,-2464.221174,-0.159705722
100174178,2026-7-1,196,10,25067.04002,430.6503699,0.00E+00,430.6503699,0.017179945
100174878,2026-6-1,112,1,22670,4144.5,0.00E+00,4144.5,0.182818703
100178190,2026-4-1,206,1,2850.561474,-69.49715991,0.00E+00,-69.49715991,-0.024380165
100179772,2026-7-1,35,2,1800.790024,183.8096713,0.00E+00,183.8096713,0.102071685
100190294,2026-5-1,43,1,1320.637227,416.4288309,0.00E+00,416.4288309,0.315324165
100191771,2026-4-1,94,2,2236.839331,184.576139,0.00E+00,184.576139,0.082516494
100192823,2026-3-1,34,2,2613.950549,162.585249,0.00E+00,162.585249,0.062199053
100192885,2026-8-1,63,2,3827.9861,-1838.491999,0.00E+00,-1838.491999,-0.480276561
100193558,2026-4-1,142,12,2777.507537,-102.8552616,0.00E+00,-102.8552616,-0.037031497
100193558,2026-5-1,195,17,5499.974054,460.1473717,0.00E+00,460.1473717,0.083663553
100193558,2026-6-1,195,16,6873.76244,489.3537686,0.00E+00,489.3537686,0.071191545
100193558,2026-7-1,158,14,8019.776418,-1211.976867,0.00E+00,-1211.976867,-0.151123523
100193558,2026-8-1,37,3,2219.197082,791.3209873,0.00E+00,791.3209873,0.356579861
100195412,2026-3-1,1259,8,78074.43437,230.7641518,624.5954749,855.3596267,0.002955694
100195412,2026-4-1,1787,17,78253.74739,1497.016845,626.0299791,2123.046824,0.01913029
100195412,2026-5-1,3806,29,166966.7274,4359.519799,1335.733819,5695.253619,0.026110111
