scope_def,n_orders,n_orders_pct,n_members,n_members_pct,n_lv1,n_lv2,n_lv3,n_lv4,n_lv5,stake_sum,stake_pct,validbet_sum,validbet_pct,ggr_sum,ggr_pct,rebate16_sum,rebate16_pct,rebate41_sum,ngr_by16,ngr_by16_pct
1_全量洁净（§R01 六闸）,124713543,100.0000,723442,100.0000,161,221,455,867,2462,13436093473.33,100.0000,12101545164.64,100.0000,234152957.10,100.0000,8220755.89,100.0000,12101477877.62,225932201.21,100.0000
2_雷欧域（§R01 原准入 ∧ n>=100）,116420314,93.3502,92412,12.7739,131,177,357,627,1543,12767388192.08,95.0231,11499797030.49,95.0275,196183219.62,83.7842,7976350.47,97.0270,11499736800.02,188206869.15,83.3024
