lvl,level_name,n_all,n_baccarat,n_member_all,n_member_bac,definition
1,① 原始片段（raw mutation pieces）,16573,6350,2202,661,变更日志 content 按分号拆开后的每一段
2,② 处置事件（enforcement events）,675,532,293,188,解析成功且语义经字典确认为处置者（mem016／mem017），含收紧与解除两向
3,③ 收紧事件（episode starts）,315,266,154,123,处置事件中方向为收紧者；每一条起一个处置节，故其数即处置节数
4,④ 解除事件（episode ends）,360,266,197,115,处置事件中方向为解除者；未必与收紧一一对应，故删失由此而生
5,⑤ 左截断：只见解除而未见收紧之会员,0,0,139,65,窗内有解除而无收紧者：处置起于观察窗之前（左截断），无 T0 故不入处置节，亦不入 KM
6,⑥ 语义待定：解析成功而列义未经字典确认,8590,2101,1421,279,含箭头而非 mem015／mem016／mem017 者，如 mem020 与 101-mem015——PENDING，不入处置总体
