product_code,scope,n_orders,n_member,n_dealer,stake_total,validbet_total,player_pnl,ggr,house_hold_pct,rebate_total,rebate_rate,order_share,stake_share
101,百家乐（本报告口径）,124713543,723442,300,13436093473.3332782996,12101545164.6444882384,-234152957.1044004022,234152957.1044004022,0.017427160474,8220755.8918314448,0.000679314565,0.6572618,0.732767185387
108,其他产品,31043630,151440,148,2868312822.3396356825,2776328637.2295882188,-79044227.5981031520,79044227.5981031520,0.027557742999,4123.1391609438,0.000001485105,0.1636053,0.156429807355
103,其他产品,14809482,102902,74,241694865.4651529476,241484555.3735583086,-6879629.7493527068,6879629.7493527068,0.028464112120,220913.0115444992,0.000914812176,0.0780485,0.013181366045
107,其他产品,8772400,340776,71,1149258678.4658431256,691995200.8135575665,-20475698.6888732600,20475698.6888732600,0.017816440348,221817.2472812767,0.000320547378,0.0462321,0.062677373358
104,其他产品,7057597,76257,98,383652265.3155578910,382390834.6249538577,-16301880.5589798035,16301880.5589798035,0.042491292331,54464.2192078114,0.000142430765,0.0371948,0.020923327988
102,其他产品,2949779,52176,252,228782280.7773950614,220332670.6158017683,-8262862.6593021959,8262862.6593021959,0.036116707252,56654.0810028195,0.000257129734,0.0155458,0.012477149574
105,其他产品,282635,3866,124,27298140.2540572747,28370244.8795391056,261206.4679231755,-261206.4679231755,-0.009568654329,2274.4090121554,0.000080168818,0.0014895,0.001488764680
5031,其他产品,118061,256,1,1008955.2315765068,1008955.2315765068,-48406.3883950227,48406.3883950227,0.047976745529,0E-10,0E-12,0.0006222,0.000055025613
