player_id,total_orders,late_orders,late_ratio,win_orders,win_rate,valid_bet,profit,roi
3829219,234,52,0.2222,93,0.3974,33620.48,-4809.88,-0.1431
3832454,4175,426,0.102,1370,0.3281,385599.92,32.33,0.0001
3834480,1085,248,0.2286,463,0.4267,80150.23,-2298.27,-0.0287
3836001,51,7,0.1373,26,0.5098,224.61,25.3,0.1126
3846199,39,10,0.2564,17,0.4359,267.44,-105.46,-0.3943
3864026,692,151,0.2182,315,0.4552,8239.77,-264.33,-0.0321
3871296,47,13,0.2766,20,0.4255,7464.03,-952.11,-0.1276
3876367,63,18,0.2857,14,0.2222,339.5,-120.7,-0.3555
3880020,72,19,0.2639,30,0.4167,7615,-903.2,-0.1186
3896435,967,357,0.3692,426,0.4405,862187.27,-55072.59,-0.0639
3899655,155,29,0.1871,50,0.3226,54324.45,-1804.39,-0.0332
3905387,85,23,0.2706,34,0.4,7442.33,1595.93,0.2144
3905738,41,7,0.1707,20,0.4878,178.89,7.44,0.0416
3908923,1370,377,0.2752,619,0.4518,11154.69,291.73,0.0262
3908989,169,50,0.2959,71,0.4201,16547.99,-388.16,-0.0235
3911155,40,14,0.35,15,0.375,1766.88,-577.18,-0.3267
3911196,2742,972,0.3545,718,0.2619,31377.28,-1247.34,-0.0398
3914124,131,27,0.2061,57,0.4351,23456.99,-1227.3,-0.0523
3926359,625,112,0.1792,185,0.296,27035.03,1024.39,0.0379
3930789,52,11,0.2115,24,0.4615,4463,166.5,0.0373
3935714,2926,584,0.1996,1261,0.431,47025.3,-799.14,-0.017
3947398,75,0,0,24,0.32,67425.93,-11905.79,-0.1766
3949283,197,54,0.2741,74,0.3756,565823.31,-117545.74,-0.2077
3986890,196,78,0.398,90,0.4592,1998.26,560.67,0.2806
3990578,393,93,0.2366,184,0.4682,217135.33,-1833.13,-0.0084
3990900,520,143,0.275,212,0.4077,20248.23,-148.66,-0.0073
3995104,197,25,0.1269,94,0.4772,15051.11,1966.69,0.1307
4006899,4283,987,0.2304,1255,0.293,166079.63,-4173.78,-0.0251
4012156,86,20,0.2326,40,0.4651,11242.36,522.41,0.0465
4020175,656,22,0.0335,132,0.2012,34223.72,5182.18,0.1514
4020367,131,0,0,73,0.5573,4440.56,-80.77,-0.0182
4032317,144,50,0.3472,67,0.4653,7186.45,-360.47,-0.0502
4058969,513,127,0.2476,224,0.4366,196665.78,-9634.62,-0.049
4072530,1225,252,0.2057,523,0.4269,14599.93,-223.57,-0.0153
4074477,3259,904,0.2774,1007,0.309,72489.14,-1865.65,-0.0257
4097765,43,5,0.1163,15,0.3488,194.41,-53.36,-0.2745
4101170,248,98,0.3952,107,0.4315,3765.57,-537.91,-0.1429
4101234,474,108,0.2278,221,0.4662,7615.47,-101.66,-0.0133
4106324,1493,45,0.0301,692,0.4635,31168.35,-297.4,-0.0095
4110387,69,36,0.5217,31,0.4493,557.21,-73.38,-0.1317
4180904,276,57,0.2065,109,0.3949,30188.26,-4381.01,-0.1451
4213436,89,11,0.1236,44,0.4944,617.6,77.8,0.126
4215750,598,164,0.2742,248,0.4147,32563.7,-3145.1,-0.0966
4215834,332,49,0.1476,85,0.256,3766.1,417.97,0.111
4216771,1131,273,0.2414,215,0.1901,14306.09,-928.22,-0.0649
4218122,4493,1088,0.2422,2012,0.4478,200994.2,2898.79,0.0144
4220638,63,19,0.3016,29,0.4603,8343.67,-1178.96,-0.1413
4250451,4031,938,0.2327,1854,0.4599,202969.57,1466.51,0.0072
4251460,320,83,0.2594,158,0.4938,19659.81,-291.86,-0.0148
4253248,326,80,0.2454,100,0.3067,10571.14,289.64,0.0274
4328486,63,14,0.2222,30,0.4762,7423.99,329.38,0.0444
4331537,4885,950,0.1945,2180,0.4463,588982.74,-3106.18,-0.0053
4341682,162,51,0.3148,59,0.3642,17990,-1300.35,-0.0723
4342186,313,45,0.1438,140,0.4473,48456,-1866.85,-0.0385
4344660,103,34,0.3301,52,0.5049,4907.42,-132.86,-0.0271
4345126,7395,1718,0.2323,3343,0.4521,170922.09,-4319.55,-0.0253
4363947,1389,163,0.1174,629,0.4528,53567.14,497.29,0.0093
4380884,212,88,0.4151,104,0.4906,55861.68,-3214.75,-0.0575
4381458,32,0,0,5,0.1563,110.7,-4.41,-0.0398
4383177,72,42,0.5833,9,0.125,1894.51,-714.07,-0.3769
4390272,5312,1182,0.2225,2107,0.3966,144535.07,1284.83,0.0089
4414625,81,11,0.1358,35,0.4321,16979.84,325.48,0.0192
4443618,218,62,0.2844,97,0.445,1982.03,-103.66,-0.0523
4479816,34,12,0.3529,9,0.2647,1452.4,-41.08,-0.0283
4496430,85,11,0.1294,33,0.3882,2366,-446.5,-0.1887
4501996,716,167,0.2332,310,0.433,50147.37,3988.56,0.0795
4502110,1188,362,0.3047,338,0.2845,110157,-1277.45,-0.0116
4502230,1945,686,0.3527,899,0.4622,7825379.51,137767.42,0.0176
4502324,111,34,0.3063,46,0.4144,15248.76,-990.89,-0.065
4517510,2084,461,0.2212,909,0.4362,976866.9,-60262.2,-0.0617
4559920,317,77,0.2429,85,0.2681,180044.66,-9930.81,-0.0552
4591646,112,25,0.2232,44,0.3929,1244.43,-378,-0.3038
4600418,19691,607,0.0308,5968,0.3031,1210684.57,-19605.29,-0.0162
4605089,46,18,0.3913,19,0.413,281.22,-9.46,-0.0337
4616813,561,79,0.1408,140,0.2496,403299.7,-10506.13,-0.0261
4669171,605,101,0.1669,277,0.4579,1942.33,9.31,0.0048
4697334,258,48,0.186,107,0.4147,23753.91,-611.62,-0.0257
4697803,125,0,0,33,0.264,226408.46,-54253.84,-0.2396
4702580,50,12,0.24,19,0.38,701.83,-208.14,-0.2966
4708799,2584,642,0.2485,1177,0.4555,142958.43,-3021.27,-0.0211
4713467,71,5,0.0704,25,0.3521,1671.6,-367.29,-0.2197
4713785,1407,364,0.2587,616,0.4378,254853.67,-11718.51,-0.046
4714398,394,50,0.1269,110,0.2792,22660.39,-4253.23,-0.1877
4725699,9175,3042,0.3316,4152,0.4525,689739.61,-5057.3,-0.0073
4732661,447,30,0.0671,77,0.1723,6382.15,-1182.97,-0.1854
4737157,304,27,0.0888,100,0.3289,18788.68,-2166.83,-0.1153
4743506,222,90,0.4054,58,0.2613,82685.78,-11692.86,-0.1414
4747423,117,28,0.2393,60,0.5128,17012.14,1867.27,0.1098
4752106,71,12,0.169,34,0.4789,1916.44,-99.89,-0.0521
4752382,25505,2819,0.1105,8476,0.3323,471900.73,-3180.41,-0.0067
4753707,235,20,0.0851,87,0.3702,7239.71,-826.2,-0.1141
4757086,164,59,0.3598,77,0.4695,8033.92,-1109.2,-0.1381
4757916,70,7,0.1,27,0.3857,7463.18,-975.95,-0.1308
4759646,285,43,0.1509,125,0.4386,5662.38,316.47,0.0559
4774102,3988,974,0.2442,573,0.1437,98441.24,-8699.38,-0.0884
4775580,181,29,0.1602,67,0.3702,5901.05,1495.24,0.2534
4789427,278,53,0.1906,130,0.4676,37666.94,-5770.09,-0.1532
4807204,758,93,0.1227,346,0.4565,28823.03,92.21,0.0032
4815518,812,266,0.3276,364,0.4483,14890.8,0.48,0
4826061,9368,2461,0.2627,4285,0.4574,94494.03,-177.14,-0.0019
4837129,1024,201,0.1963,449,0.4385,247671.7,-9323.92,-0.0376
4859774,222,97,0.4369,91,0.4099,7004.86,-1484.55,-0.2119
4859933,1110,438,0.3946,491,0.4423,32034.15,-682.6,-0.0213
4882989,36,12,0.3333,16,0.4444,3351.64,807.61,0.241
4885387,94,18,0.1915,16,0.1702,11700.53,-1225.4,-0.1047
4885968,91,17,0.1868,24,0.2637,12945.39,-641.85,-0.0496
4898835,885,22,0.0249,429,0.4847,10696.54,2132.64,0.1994
4902247,1021,106,0.1038,415,0.4065,488358.14,-31139.73,-0.0638
4921233,687,71,0.1033,295,0.4294,367674.93,-18457.12,-0.0502
4925225,56,7,0.125,34,0.6071,18697.01,4736.05,0.2533
4946878,38,13,0.3421,11,0.2895,514.92,-224.33,-0.4357
4956894,281,59,0.21,141,0.5018,14453.61,-1245.24,-0.0862
4957774,40,7,0.175,14,0.35,56878.16,-17235.81,-0.303
4971311,46,0,0,10,0.2174,2060.8,-403.81,-0.1959
4976100,176,11,0.0625,78,0.4432,2694.1,-60.85,-0.0226
4981325,134,24,0.1791,52,0.3881,633.97,12.07,0.019
4986748,262,94,0.3588,54,0.2061,11600.26,442.64,0.0382
4992187,559,107,0.1914,240,0.4293,3356.09,-237.13,-0.0707
4993034,3148,1274,0.4047,400,0.1271,10234.65,-1758.39,-0.1718
5030780,4007,1895,0.4729,1725,0.4305,7662.92,-574.03,-0.0749
5033780,113,26,0.2301,49,0.4336,8463.27,-1300.05,-0.1536
5040776,249,44,0.1767,117,0.4699,3368.3,464.01,0.1378
5052295,43,14,0.3256,15,0.3488,2075.36,-559.91,-0.2698
5053333,882,233,0.2642,409,0.4637,5198.68,124.38,0.0239
5055759,441,60,0.1361,145,0.3288,22214.73,2874.27,0.1294
5057430,4202,880,0.2094,1920,0.4569,230256.19,-3920.99,-0.017
5062485,197,27,0.1371,77,0.3909,5799,-1306.5,-0.2253
5074978,34,0,0,8,0.2353,803.06,-357.3,-0.4449
5076920,500,131,0.262,62,0.124,21109.81,-2247.92,-0.1065
5087052,313,120,0.3834,130,0.4153,2993.11,-342.95,-0.1146
5093110,1285,90,0.07,273,0.2125,10757.12,-260.4,-0.0242
5101455,1591,399,0.2508,709,0.4456,89558.06,-3250.12,-0.0363
5102585,485,98,0.2021,152,0.3134,172595.93,7438.93,0.0431
5109161,207,38,0.1836,102,0.4928,1347.74,68.67,0.051
5113519,1437,0,0,749,0.5212,85654.5,-3337.5,-0.039
5116018,2949,507,0.1719,1305,0.4425,63907.4,-2701.56,-0.0423
5116572,1807,582,0.3221,422,0.2335,117197.46,-4746.15,-0.0405
5140222,408,133,0.326,33,0.0809,1486.01,-197.18,-0.1327
5147036,2066,450,0.2178,925,0.4477,165454.88,-16606.49,-0.1004
5167143,1118,323,0.2889,351,0.314,31459.56,-2755.5,-0.0876
5182499,9079,1805,0.1988,1613,0.1777,3327853.89,-167562.47,-0.0504
5226642,46,13,0.2826,15,0.3261,3873.92,-46.34,-0.012
5227642,428,120,0.2804,193,0.4509,27748.49,-1057.55,-0.0381
5268262,64,2,0.0313,26,0.4063,38724.98,921.07,0.0238
5270434,54,19,0.3519,20,0.3704,484.99,-149.78,-0.3088
5276469,4619,1132,0.2451,945,0.2046,3290870.47,1343.77,0.0004
5276632,589,102,0.1732,132,0.2241,92429.9,5442.35,0.0589
5289687,3611,1576,0.4364,1117,0.3093,394242.55,1220.67,0.0031
5308446,176,27,0.1534,55,0.3125,17994.65,60.43,0.0034
5328225,104,39,0.375,44,0.4231,451.83,-9.33,-0.0206
5328575,4686,1301,0.2776,2122,0.4528,236770.43,-1317.85,-0.0056
5344682,182,34,0.1868,81,0.4451,29369.89,-892.85,-0.0304
5351099,504,77,0.1528,211,0.4187,11357.17,-696.67,-0.0613
5353535,258,0,0,33,0.1279,4697.12,-1701.69,-0.3623
5364172,396,112,0.2828,50,0.1263,1492.21,-155.55,-0.1042
5383143,6151,1457,0.2369,2759,0.4485,162903.58,-4034.52,-0.0248
5388004,302,40,0.1325,87,0.2881,34108.19,-1810.59,-0.0531
5390194,287,80,0.2787,105,0.3659,24100.74,-2637.2,-0.1094
5394766,1071,222,0.2073,492,0.4594,116419.31,-1136.55,-0.0098
5396958,123,14,0.1138,52,0.4228,7062.51,-467.61,-0.0662
5408466,246,38,0.1545,86,0.3496,1810.43,-66.53,-0.0367
