uid,n_shoes,n_orders,entry_pos_p50,exit_pos_p50,bet_density_p50,entry_round_avg
207244,2834,6178,0.5,0.7451,0.6667,26.5
313243,84,126,0.5789,0.585,1.0,29.65
371579,43,212,0.3333,0.42,1.0,18.12
432499,417,2833,0.4314,0.8298,0.5,22.54
556418,1164,1834,0.4902,0.5882,1.0,25.55
1067474,273,668,0.4583,0.5741,1.0,23.04
1071249,21,110,0.4583,0.62,1.0,25.38
1112471,926,15973,0.4706,0.7127,1.7183,25.04
1177072,4022,9399,0.2708,0.44,1.0,18.52
1242690,48,1154,0.4907,0.8562,1.8976,26.46
1262437,234,628,0.4454,0.5935,1.0,24.4
1270906,25,193,0.7647,0.8148,2.6,39.32
1312497,41,122,0.5769,0.6471,1.0,27.93
1338730,47,572,0.6444,0.7818,1.0,28.49
1505519,95,131,0.4894,0.5625,1.0,24.88
1509477,415,6104,0.434,0.8776,0.9268,22.42
1712800,272,696,0.3489,0.4545,1.4143,19.23
1718380,47,386,0.2326,0.3265,1.0,11.53
1953578,331,2506,0.26,0.339,1.5,16.18
2342940,51,150,0.4902,0.5577,1.0,24.55
2416591,606,1035,0.58,0.6176,1.0,28.64
2487518,12,109,0.6629,0.7382,3.0,31.75
2532548,629,2490,0.38,0.4423,1.0,21.85
2592877,240,913,0.5556,0.6969,1.0,27.78
2867846,117,399,0.3,0.5094,1.0,17.91
2890331,36,206,0.2234,0.3301,1.0,11.5
2919580,47,127,0.5294,0.5417,1.0,26.13
2933872,347,1849,0.4821,0.617,1.0,25.37
2934234,923,2652,0.2889,0.42,1.0,18.03
2993884,7,185,0.3043,0.6304,1.6875,19.29
3015805,417,5011,0.44,0.8936,0.875,23.36
3024166,453,5322,0.5192,0.5918,3.0,26.9
3059904,67,112,0.4792,0.5532,1.0,25.3
3060035,170,2064,0.3626,0.4226,3.0,20.45
3078091,120,536,0.5205,0.6526,1.0,27.44
3105456,28,131,0.2903,0.42,1.0,16.11
3112521,83,553,0.32,0.4706,1.0,18.82
3124237,41,229,0.4,0.6042,1.0,22.93
3206119,5532,13983,0.44,0.7292,0.6667,23.85
3531354,167,204,0.4717,0.4808,1.0,23.78
3546191,78,924,0.396,0.5053,2.5,23.08
3604354,1073,1849,0.551,0.5882,1.0,27.19
3657903,4365,9383,0.2708,0.4,1.0,17.55
3670972,413,3161,0.18,0.4468,0.9231,11.52
3693164,35,619,0.3673,0.661,1.25,21.91
3710803,957,1526,0.5306,0.5556,1.0,25.61
3722945,117,156,0.5778,0.6296,1.0,29.32
3738854,92,1366,0.4785,0.5345,4.0,24.54
