entity_id,标注产量,覆盖IP广度,判定详尽度,理由空白数,首次登记,最近登记,登记跨度,标注停滞度,理由空白率,赏,罚,综合分
mao,6,6,15.833333333333334,0,2022-05-13 09:13:44,2022-10-21 18:03:50,161.368125,1.0,0.0,83.33333333333334,58.33333333333333,25.000000000000014
Annie,3,3,16.0,0,2022-05-10 22:52:21,2022-07-22 20:52:13,72.91657407407408,1.0,0.0,66.66666666666666,58.33333333333333,8.333333333333329
wmdn08,4,4,11.75,0,2022-05-06 10:30:46,2022-05-06 11:13:50,0.029907407407407407,1.0,0.0,62.5,58.33333333333333,4.166666666666671
livegame,2,2,0.0,2,2022-06-09 02:26:53,2025-07-18 20:20:19,1135.7454398148147,0.0,1.0,54.166666666666664,58.33333333333333,-4.166666666666664
wmdn01,1,1,38.0,0,2022-03-27 17:42:11,2022-03-27 17:42:11,0.0,1.0,0.0,43.75,58.33333333333333,-14.583333333333329
wmdn10,1,1,24.0,0,2022-06-24 19:46:53,2022-06-24 19:46:53,0.0,1.0,0.0,39.583333333333336,58.33333333333333,-18.749999999999993
