TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_a168_RedPacketSetup,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_RedPacketSetup,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_RedPacketSetup,3,id,varchar,source_type=int(11); 
ods_a168_RedPacketSetup,4,agent_id,varchar,source_type=int(11); 代理id
ods_a168_RedPacketSetup,5,status,varchar,"source_type=tinyint(1); 活动状态:0:关闭,1:开启"
ods_a168_RedPacketSetup,6,start_time,varchar,source_type=datetime; 開始活动时间
ods_a168_RedPacketSetup,7,end_time,varchar,source_type=datetime; 結束活动时间
ods_a168_RedPacketSetup,8,total_money_updating,varchar,source_type=tinyint(1); 紅包雨更新鎖
ods_a168_RedPacketSetup,9,total_money,varchar,source_type=int(11); 紅包雨總金額
ods_a168_RedPacketSetup,10,single_money_from,varchar,source_type=int(11); 單次紅包雨總金額範圍
ods_a168_RedPacketSetup,11,single_money_to,varchar,source_type=int(11); 單次紅包雨總金額範圍
ods_a168_RedPacketSetup,12,single_interval,varchar,"source_type=int(8); 点击红包时间间隔(秒), 0代表无时间间隔"
ods_a168_RedPacketSetup,13,single_available_times,varchar,source_type=int(10); 单次红包雨可领取次数(20211223 不使用rex)
ods_a168_RedPacketSetup,14,setting,varchar,source_type=text; 紅包雨gid配置
ods_a168_RedPacketSetup,15,duration,varchar,source_type=int(10); 持續時間
ods_a168_RedPacketSetup,16,need_valid,varchar,source_type=tinyint(1); 活動獎金是否需要打碼
ods_a168_RedPacketSetup,17,need_valid_percent,varchar,"source_type=int(3); 需打碼時,獎金的%數"
ods_a168_RedPacketSetup,18,rules,varchar,source_type=text; 活動規則
ods_a168_RedPacketSetup,19,black_list,varchar,source_type=text; 黑名單帳號(逗號隔開)(不使用)
ods_a168_RedPacketSetup,20,utp,varchar,source_type=char(1); 操作者類型
ods_a168_RedPacketSetup,21,uid,varchar,source_type=int(11); 操作者id
ods_a168_RedPacketSetup,22,update_time,varchar,source_type=datetime; 操作時間
ods_a168_RedPacketSetup,23,source_db,varchar,来源库
ods_a168_RedPacketSetup,24,source_table,varchar,来源表
ods_a168_RedPacketSetup,25,ods_table_name,varchar,ODS表名
ods_a168_RedPacketSetup,26,sync_time,datetime,同步时间
ods_a168_RedPacketSetup_setting,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_RedPacketSetup_setting,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_RedPacketSetup_setting,3,id,varchar,source_type=int(11); 
ods_a168_RedPacketSetup_setting,4,red_id,varchar,source_type=int(11); 紅包設定id
ods_a168_RedPacketSetup_setting,5,currency,varchar,source_type=int(3); 幣別
ods_a168_RedPacketSetup_setting,6,gtype,varchar,source_type=int(4); 遊戲id
ods_a168_RedPacketSetup_setting,7,sync,varchar,"source_type=tinyint(1); 同步sync.0:否,1:是"
ods_a168_RedPacketSetup_setting,8,bet_count,varchar,source_type=int(10); 投注局數
ods_a168_RedPacketSetup_setting,9,bet_amount,varchar,"source_type=decimal(16,2); 單筆下注金額"
ods_a168_RedPacketSetup_setting,10,money_from,varchar,"source_type=decimal(16,2); 紅包金額範圍"
ods_a168_RedPacketSetup_setting,11,money_to,varchar,"source_type=decimal(16,2); 紅包金額範圍"
ods_a168_RedPacketSetup_setting,12,percent,varchar,source_type=int(3); 概率
ods_a168_RedPacketSetup_setting,13,source_db,varchar,来源库
ods_a168_RedPacketSetup_setting,14,source_table,varchar,来源表
ods_a168_RedPacketSetup_setting,15,ods_table_name,varchar,ODS表名
ods_a168_RedPacketSetup_setting,16,sync_time,datetime,同步时间
ods_a168_RedPacket_No,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_RedPacket_No,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_RedPacket_No,3,id,varchar,source_type=bigint(20); 
ods_a168_RedPacket_No,4,source_db,varchar,来源库
ods_a168_RedPacket_No,5,source_table,varchar,来源表
ods_a168_RedPacket_No,6,ods_table_name,varchar,ODS表名
ods_a168_RedPacket_No,7,sync_time,datetime,同步时间
ods_a168_RedPacket_Order,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_RedPacket_Order,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_RedPacket_Order,3,id,varchar,source_type=bigint(20); 
ods_a168_RedPacket_Order,4,mid,varchar,source_type=int(11); 
ods_a168_RedPacket_Order,5,gameid,varchar,source_type=int(11); 遊戲
ods_a168_RedPacket_Order,6,currency,varchar,source_type=int(11); 
ods_a168_RedPacket_Order,7,rate,varchar,"source_type=decimal(8,4); "
ods_a168_RedPacket_Order,8,money,varchar,"source_type=decimal(16,4); 中獎金額"
ods_a168_RedPacket_Order,9,status,varchar,"source_type=enum(''Y'',''N''); Y:已領取,N:未領取"
ods_a168_RedPacket_Order,10,lv1percent,varchar,"source_type=decimal(16,4); "
ods_a168_RedPacket_Order,11,lv2percent,varchar,"source_type=decimal(16,4); "
ods_a168_RedPacket_Order,12,lv3percent,varchar,"source_type=decimal(16,4); "
ods_a168_RedPacket_Order,13,lv4percent,varchar,"source_type=decimal(16,4); "
ods_a168_RedPacket_Order,14,lv5percent,varchar,"source_type=decimal(16,4); "
ods_a168_RedPacket_Order,15,addtime,varchar,source_type=datetime; gs寫單時間
ods_a168_RedPacket_Order,16,receivetime,varchar,source_type=datetime; 領取時間
ods_a168_RedPacket_Order,17,source_db,varchar,来源库
ods_a168_RedPacket_Order,18,source_table,varchar,来源表
ods_a168_RedPacket_Order,19,ods_table_name,varchar,ODS表名
ods_a168_RedPacket_Order,20,sync_time,datetime,同步时间
ods_a168_aggregate_transaction,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_aggregate_transaction,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_aggregate_transaction,3,id,varchar,source_type=int(11); 
ods_a168_aggregate_transaction,4,code,varchar,source_type=varchar(12); 廠商代碼
ods_a168_aggregate_transaction,5,mid,varchar,source_type=int(11); 會員 mid
ods_a168_aggregate_transaction,6,gid,varchar,source_type=int(6); 遊戲
ods_a168_aggregate_transaction,7,game_no,varchar,source_type=varchar(32); 遊戲_期数_局号
ods_a168_aggregate_transaction,8,action,varchar,"source_type=enum(''PointInout'',''TimeoutBetReturn''); 動作"
ods_a168_aggregate_transaction,9,deal_id,varchar,source_type=bigint(32); wm 交易单号
ods_a168_aggregate_transaction,10,type,varchar,source_type=tinyint(1);  0:电子游戏结算 1:加点 2:扣点 3:重对加点 4:重对扣点 5:重新派彩
ods_a168_aggregate_transaction,11,trade_id,varchar,source_type=varchar(128); 對方的交易id
ods_a168_aggregate_transaction,12,money,varchar,"source_type=decimal(16,4); 處理金額 (有正負值)"
ods_a168_aggregate_transaction,13,balance,varchar,"source_type=decimal(16,4); 對方餘額"
ods_a168_aggregate_transaction,14,status,varchar,"source_type=tinyint(1); 呼叫狀態 0:未處理,1:成功,2:失敗,3:回滾,4:處理中"
ods_a168_aggregate_transaction,15,remark,varchar,source_type=varchar(255); 備註
ods_a168_aggregate_transaction,16,ops_token,varchar,source_type=text; 廠商ops當下使用的token
ods_a168_aggregate_transaction,17,create_at,varchar,source_type=datetime; 建立時間
ods_a168_aggregate_transaction,18,update_at,varchar,source_type=datetime; 更新時間
ods_a168_aggregate_transaction,19,source_db,varchar,来源库
ods_a168_aggregate_transaction,20,source_table,varchar,来源表
ods_a168_aggregate_transaction,21,ods_table_name,varchar,ODS表名
ods_a168_aggregate_transaction,22,sync_time,datetime,同步时间
ods_a168_dailyreport,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_dailyreport,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_dailyreport,3,id,varchar,source_type=bigint(20); 
ods_a168_dailyreport,4,time,varchar,source_type=date; 日期
ods_a168_dailyreport,5,bet02,varchar,source_type=int(11); 遊戲編號
ods_a168_dailyreport,6,bet05,varchar,source_type=int(11); 會員編號
ods_a168_dailyreport,7,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_a168_dailyreport,8,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_a168_dailyreport,9,bet15,varchar,"source_type=decimal(16,4); 會員退水%數"
ods_a168_dailyreport,10,bet41,varchar,"source_type=decimal(16,4); 有效投注"
ods_a168_dailyreport,11,bet18,varchar,source_type=int(11); LV1ID
ods_a168_dailyreport,12,bet19,varchar,source_type=int(11); LV2ID
ods_a168_dailyreport,13,bet20,varchar,source_type=int(11); LV3ID
ods_a168_dailyreport,14,bet21,varchar,source_type=int(11); LV4ID
ods_a168_dailyreport,15,bet22,varchar,source_type=int(11); LV5ID
ods_a168_dailyreport,16,bet23,varchar,"source_type=decimal(16,4); LV1佔成"
ods_a168_dailyreport,17,bet24,varchar,"source_type=decimal(16,4); LV2佔成"
ods_a168_dailyreport,18,bet25,varchar,"source_type=decimal(16,4); LV3佔成"
ods_a168_dailyreport,19,bet26,varchar,"source_type=decimal(16,4); LV4佔成"
ods_a168_dailyreport,20,bet27,varchar,"source_type=decimal(16,4); LV5佔成"
ods_a168_dailyreport,21,bet28,varchar,"source_type=decimal(16,4); LV1退水"
ods_a168_dailyreport,22,bet29,varchar,"source_type=decimal(16,4); LV2退水"
ods_a168_dailyreport,23,bet30,varchar,"source_type=decimal(16,4); LV3退水"
ods_a168_dailyreport,24,bet31,varchar,"source_type=decimal(16,4); LV4退水"
ods_a168_dailyreport,25,bet32,varchar,"source_type=decimal(16,4); LV5退水"
ods_a168_dailyreport,26,bet39,varchar,source_type=int(11); 
ods_a168_dailyreport,27,bet10,varchar,source_type=int(11); 幣別
ods_a168_dailyreport,28,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_a168_dailyreport,29,category,varchar,source_type=int(11); 
ods_a168_dailyreport,30,count,varchar,source_type=int(11); 筆數
ods_a168_dailyreport,31,source_db,varchar,来源库
ods_a168_dailyreport,32,source_table,varchar,来源表
ods_a168_dailyreport,33,ods_table_name,varchar,ODS表名
ods_a168_dailyreport,34,sync_time,datetime,同步时间
ods_a168_dailyreport2,1,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_dailyreport2,2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_dailyreport2,3,id,varchar,source_type=bigint(20); 
ods_a168_dailyreport2,4,time,varchar,source_type=date; 日期
ods_a168_dailyreport2,5,bet02,varchar,source_type=int(11); 遊戲編號
ods_a168_dailyreport2,6,bet05,varchar,source_type=int(11); 會員編號
ods_a168_dailyreport2,7,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_a168_dailyreport2,8,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_a168_dailyreport2,9,bet15,varchar,"source_type=decimal(16,4); 會員退水%數"
ods_a168_dailyreport2,10,bet41,varchar,"source_type=decimal(16,4); 有效投注"
ods_a168_dailyreport2,11,bet18,varchar,source_type=int(11); LV1ID
ods_a168_dailyreport2,12,bet19,varchar,source_type=int(11); LV2ID
ods_a168_dailyreport2,13,bet20,varchar,source_type=int(11); LV3ID
ods_a168_dailyreport2,14,bet21,varchar,source_type=int(11); LV4ID
ods_a168_dailyreport2,15,bet22,varchar,source_type=int(11); LV5ID
ods_a168_dailyreport2,16,bet23,varchar,"source_type=decimal(16,4); LV1佔成"
