member_id,bet_month,zero_kind,vb_sum_state,n_orders,n_rounds_month,n_days_month,n_tables_month,n_vb_null,n_vb_blank,n_vb_true_zero,n_vb_positive,vb_null_share,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,n_hedge_rounds,n_hedge_eq,n_zero_pnl_rounds,hedge_eq_share,verdict_hint
149350440,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,4.7116718582,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149350597,2026-06-01,游戏输赢为零,有值,2,1,1,1,0,0,0,2,0E-7,20.7714517168,20.7714517168,0E-10,0E-10,2,0,0,1,0E-7,两者皆低·判UNKNOWN
149352038,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,7.8527864304,7.8527864304,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149352177,2026-04-01,游戏输赢为零,有值,9,9,1,1,0,0,1,8,0E-7,1362.1658436912,1532.4365741526,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149352962,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,126.4942128898,126.4942128898,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149354258,2026-04-01,游戏输赢为零,有值,4,4,1,3,0,0,0,4,0E-7,1033.9502133340,1033.9502133340,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149354470,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,4.4077134986,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149354567,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,18.3231683376,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149355972,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,551.0038478654,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149356658,2026-05-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,5.1891443102,5.1891443102,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149358012,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,4.4499123106,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149358767,2026-05-01,游戏输赢为零,有值,2,2,2,2,0,0,0,2,0E-7,4.2012393656,4.2012393656,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149359460,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,50.0000000000,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149359521,2026-05-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,518.9144310104,518.9144310104,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149359865,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,1000.0000000000,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149359868,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,1000.0000000000,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149360233,2026-06-01,游戏输赢为零,有值,3,3,1,1,0,0,0,3,0E-7,8.3085806868,8.3085806868,0E-10,0.0664686455,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149360660,2026-04-01,游戏输赢为零,有值,2,1,1,1,0,0,0,2,0E-7,5.2351909536,5.2351909536,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149361018,2026-04-01,游戏输赢为零,有值,6,6,1,1,0,0,0,6,0E-7,126.4942128900,126.4942128900,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149361218,2026-05-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,5.1891443102,5.1891443102,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149361299,2026-04-01,游戏输赢为零,有值,3,3,1,1,0,0,0,3,0E-7,16.8658950520,16.8658950520,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149364076,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,18.3231683376,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149366368,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,10.4703819072,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149366912,2026-04-01,游戏输赢为零,有值,5,5,1,1,0,0,1,4,0E-7,103.7828862020,129.7286077525,0E-10,0E-10,5,0,0,1,0E-7,两者皆低·判UNKNOWN
149367082,2026-05-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,259.5267961417,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149367216,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,21.0823688150,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149367331,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,12.6494212890,12.6494212890,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149367493,2026-05-01,游戏输赢为零,有值,5,5,2,2,0,0,1,4,0E-7,36.3240101708,49.2968709461,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
