flag_ip,flag_tail_p90,n_member,valid_bet,game_pnl,roi
1,0,27969,2521233250.0713487295,-43650418.0822449765,-0.017313121696
0,0,140124,7662368611.1851429072,-134471127.4712215149,-0.017549550837
