table_id,n_orders,p50,p75,p90,p95,p99,max_progress
112,9425531,0.35555559396743774,0.48979589343070984,0.6000000238418579,0.65625,0.71875,0.8333333
113,9283307,0.3617021143436432,0.5,0.6052631735801697,0.6571428775787354,0.7272726893424988,0.8620690
115,8877261,0.3571341335773468,0.5,0.6000000238418579,0.6571428775787354,0.7272726893424988,0.8620690
1,8088348,0.3142856955528259,0.40740740299224854,0.47999998927116394,0.5238094925880432,0.5909091234207153,0.7647059
116,8071595,0.3589743971824646,0.5,0.6000000238418579,0.6571428775787354,0.7272726893424988,0.8620690
2,7357447,0.3181818127632141,0.40909090638160706,0.5,0.5263158082962036,0.6000000238418579,0.7647059
3,6538717,0.3181818127632141,0.40909090638160706,0.48148149251937866,0.5238094925880432,0.5909091234207153,0.7647059
5,6052349,0.3199999928474426,0.40909090638160706,0.5,0.5238094925880432,0.5909091234207153,0.7647059
6,5404108,0.31034478545188904,0.4000000059604645,0.47826090455055237,0.52173912525177,0.5789474248886108,0.7222222
7,5131842,0.3214285969734192,0.41379308700561523,0.5,0.5416666865348816,0.6000000238418579,0.7647059
8,4559584,0.32258060574531555,0.4166666865348816,0.5,0.5454545021057129,0.6000000238418579,0.7222222
31,4247564,0.34615379571914673,0.48571428656578064,0.585365891456604,0.6388888955116272,0.7058823704719543,0.8064516
32,3910303,0.34285709261894226,0.4791666865348816,0.5833333134651184,0.6388888955116272,0.7058823704719543,0.8064516
33,3619303,0.3469387888908386,0.4864864945411682,0.585365891456604,0.6388888955116272,0.7058823704719543,0.8064516
35,3354776,0.35135141015052795,0.4888888895511627,0.5897436141967773,0.6470587849617004,0.7058823704719543,0.8064516
37,3348534,0.20652170479297638,0.2800000011920929,0.3499999940395355,0.38983049988746643,0.4259259104728699,0.4901961
36,3191453,0.3469387888908386,0.4848484992980957,0.5833333134651184,0.6388888955116272,0.7058823704719543,0.8064516
901,872452,0.27622783184051514,0.3877550959587097,0.4583333134651184,0.48979589343070984,0.550000011920929,0.7446809
902,828500,0.27788761258125305,0.39062535762786865,0.46000000834465027,0.4901961088180542,0.552463173866272,0.7291667
903,756377,0.27536073327064514,0.3877550959587097,0.4583333134651184,0.48979589343070984,0.5454545021057129,0.7083333
905,700348,0.27586209774017334,0.38636359572410583,0.4565216898918152,0.4893617033958435,0.5435901880264282,0.7142857
906,687432,0.27659571170806885,0.3888888955116272,0.46000000834465027,0.4901961088180542,0.5476189851760864,0.7291667
908,636235,0.2786884903907776,0.3928571045398712,0.4633851647377014,0.5,0.5573769807815552,0.7142857
909,621282,0.2770911455154419,0.3920062184333801,0.46153849363327026,0.5,0.5475640296936035,0.7142857
910,599258,0.2775862216949463,0.3921568989753723,0.46153849363327026,0.5,0.5581395030021667,0.7291667
912,584387,0.27419349551200867,0.38636359572410583,0.4565216898918152,0.4893617033958435,0.5454545021057129,0.7021277
911,581999,0.27449116110801697,0.3877550959587097,0.4583333134651184,0.48979589343070984,0.5454545021057129,0.7083333
907,575276,0.27586209774017334,0.38983049988746643,0.46153849363327026,0.5,0.557411789894104,0.6857143
913,553858,0.2767351567745209,0.3888888955116272,0.4583333134651184,0.48979589343070984,0.5454545021057129,0.6944444
900,46032,0.2666667103767395,0.3793103098869324,0.44680848717689514,0.47826090455055237,0.5227273106575012,0.6097561
