首行,末行,段号,导出,交付件,涉表,触注单主表,含聚合,豁免候选,剔测试线_age022,版本去重_rn1,一般注单_category,非重对_bet38,会员号_gt0,汇率_gt0,荷官哨兵_eid,空串归NULL,显式转型_CAST,零除守卫,百家乐_101,窗口谓词_dt,裁定,优先级
325,343,Z-01,需要,Z01_table_inventory.csv,(仅CTE),否,否,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
353,372,Z-02,需要,Z02_excluded_tables.csv,(仅CTE),否,否,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
383,389,Z-03,需要,Z03_column_dictionary.csv,(仅CTE),否,否,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
408,412,Z-04,需要,Z04_name_collision.csv,(仅CTE),否,否,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
419,431,Z-04,需要,Z04_name_collision.csv,(仅CTE),否,是,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
440,449,Z-05,需要,Z05_missing_typehint.csv,(仅CTE),否,否,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
473,483,Z-06,需要,Z06_generated_probe_sql.csv,(仅CTE),否,是,一览/占比,,,,,,,,,✓,,,,旁路·未触注单主表,—
507,546,Z-07,需要,Z07_probe_bet02.csv,ods_a168_bet02,是,是,一览/占比,,,,,,,,,✓,,,,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
560,597,Z-08,需要,Z08_roundkey_integrity.csv,ods_a168_bet02,是,是,一览/占比,,,,,,,,,✓,,✓,,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
618,649,Z-09,需要,Z09_time_axis_recon.csv,ods_a168_bet02,是,是,一览/占比,,,,,,,,✓,✓,,✓,,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
683,721,Z-11,需要,Z11_sentinel_impact.csv,ods_a168_bet02,是,是,,,,,,,,✓,,✓,✓,✓,,豁免·哨兵占比统计（用户明示之唯一豁免）,—
824,824,TZ-01,不需要,,(仅CTE),否,否,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
830,831,TZ-02,不需要,,(仅CTE),否,否,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
836,841,TZ-03,不需要,,ods_a168_bet02,是,是,一览/占比,,,,,,,,✓,✓,,✓,,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
849,856,TZ-04,不需要,,ods_a168_bet02,是,是,一览/占比,,,,,,,,✓,✓,,✓,✓,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
866,873,TZ-04b,不需要,,ods_a168_bet02,是,是,一览/占比,,,,,,,,✓,✓,,✓,✓,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
881,885,TZ-05,不需要,,ods_a168_dailyreport_member,否,是,一览/占比,,,,,,,,,,,,✓,旁路·未触注单主表,—
896,905,PIT-01,不需要,,ods_a168_bet02,是,是,一览/占比,,,,,,,,✓,✓,,✓,✓,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
920,926,PIT-01,不需要,,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
