late_def,intake_ver,player_id,total_orders,late_orders,late_ratio,stake_late,stake_early,pnl_late,pnl_early,roi_late,roi_early,stake_ramp,stake_all,valid_bet,pnl_all
bet04>=40,M2A+ext,207244,6178,1768,0.2862,230137,562395,11658.35,-5164.15,0.0507,-0.0092,1.0207,792532,712300.5,6494.2
bet04>=40,M2A+ext,313243,126,34,0.2698,400,1020,52.5,93.5,0.1313,0.0917,1.0611,1420,1250,146
bet04>=40,M2A+ext,371579,212,4,0.0189,3120,53044,-2680,-7298.5,-0.859,-0.1376,3.0586,56164,50807,-9978.5
bet04>=40,M2A+ext,432499,2833,692,0.2443,6933,21543,-200.4,-148.45,-0.0289,-0.0069,0.9957,28476,25736,-348.85
bet04>=40,M2A+ext,556418,1834,359,0.1957,7716,29765,1227.05,-468.3,0.159,-0.0157,1.0651,37481,29189,758.75
bet04>=40,M2A+ext,859389,52,1,0.0192,49.91,4442.82,-49.91,564.31,-1,0.127,0.5729,4492.73,3438.47,514.4
bet04>=40,M2A+ext,868040,62,24,0.3871,1008.15,1828.31,-93.16,546.75,-0.0924,0.299,0.8731,2836.47,2611.88,453.59
bet04>=40,M2A+ext,1067474,668,122,0.1826,15638.6,66370.41,-1015.6,-1275.6,-0.0649,-0.0192,1.0545,82009.01,73309.38,-2291.2
bet04>=40,M2A+ext,1071249,110,18,0.1636,7016,48023,967.5,-3021.85,0.1379,-0.0629,0.7467,55039,50416,-2054.35
bet04>=40,M2A+ext,1112471,15973,3123,0.1955,21303.78,90752.29,-2104.04,-2419.43,-0.0988,-0.0267,0.9659,112056.08,104070.2,-4523.47
bet04>=40,M2A+ext,1177072,9399,1314,0.1398,13177.04,80765.45,-181.73,-1058.88,-0.0138,-0.0131,1.0039,93942.48,84861.76,-1240.62
bet04>=40,M2A+ext,1242690,1154,348,0.3016,23460.03,50096.07,-2582.74,-534.11,-0.1101,-0.0107,1.0846,73556.1,68196.02,-3116.85
bet04>=40,M2A+ext,1262437,628,148,0.2357,2286.11,7132.61,350.75,261.56,0.1534,0.0367,1.0395,9418.72,8249.06,612.31
bet04>=40,M2A+ext,1270906,193,85,0.4404,3773.54,4522.48,-117.36,-768.03,-0.0311,-0.1698,1.0602,8296.02,7825.27,-885.39
bet04>=40,M2A+ext,1272507,42,13,0.3095,291.97,670.44,-54.07,-43.25,-0.1852,-0.0645,0.9715,962.41,789.39,-97.32
bet04>=40,M2A+ext,1312497,122,45,0.3689,88473.31,124864.04,15505.06,-4225.21,0.1753,-0.0338,1.2124,213337.35,193531.06,11279.85
bet04>=40,M2A+ext,1338730,572,206,0.3601,5036,7555,-299.8,420.5,-0.0595,0.0557,1.1843,12591,11603,120.7
bet04>=40,M2A+ext,1505519,131,22,0.1679,624.96,3519.31,-31.58,529.01,-0.0505,0.1503,0.8798,4144.27,3578.26,497.43
bet04>=40,M2A+ext,1509477,6104,1643,0.2692,169626.44,425820.66,-26038.96,-22581.23,-0.1535,-0.053,1.0816,595447.1,534010.46,-48620.19
bet04>=40,M2A+ext,1712800,696,137,0.1968,3582.73,15687.88,225.53,-418.67,0.0629,-0.0267,0.9318,19270.61,18338.6,-193.14
bet04>=40,M2A+ext,1718380,386,13,0.0337,3343.66,45643.65,783.05,1182.31,0.2342,0.0259,2.1019,48987.31,44811.79,1965.36
bet04>=40,M2A+ext,1757886,31,5,0.1613,102.16,476.77,-102.16,61.31,-1,0.1286,1.1143,578.93,544.88,-40.85
bet04>=40,M2A+ext,1949606,56,34,0.6071,3794.79,1829.52,-135.56,392.27,-0.0357,0.2144,1.3421,5624.31,5205.21,256.71
bet04>=40,M2A+ext,1953578,2506,241,0.0962,1343.62,14228.4,4.94,-1003.57,0.0037,-0.0705,0.8875,15572.02,12057,-998.64
