base_def,seg,n_rows,n_members,stake_sum,validbet_sum,pnl_sum,rows_pct,stake_pct,pnl_pct
rn=1 ∧ category=1 ∧ bet38=N ∧ 数值守门,整体,124725280,723496,13437354419.00,12102725549.24,-234235007.60,100.0000,100.0000,100.0000
rn=1 ∧ category=1 ∧ bet38=N ∧ 数值守门,非测试线,124713543,723442,13436093473.33,12101545164.64,-234152957.10,99.9906,99.9906,99.9650
rn=1 ∧ category=1 ∧ bet38=N ∧ 数值守门,测试线,11737,54,1260945.66,1180384.60,-82050.50,0.0094,0.0094,0.0350
