dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used
2026-04-27,912,1222402,110,11,32,78,44,117,超长：碰撞或跨日合并可疑,87.0
2026-03-24,900,123647,5,2,4,1,6,9,残靴：截断／换荷官／开收台可疑,87.0
2026-03-26,37,114589795,5,1,5,0,29,65,残靴：截断／换荷官／开收台可疑,87.0
2026-03-28,32,114592014,5,1,5,0,18,29,残靴：截断／换荷官／开收台可疑,87.0
2026-04-02,908,126081,5,3,3,2,4,4,残靴：截断／换荷官／开收台可疑,87.0
2026-04-05,112,114600396,5,1,5,0,38,104,残靴：截断／换荷官／开收台可疑,87.0
2026-04-07,8,114603055,5,1,5,0,6,16,残靴：截断／换荷官／开收台可疑,87.0
2026-04-07,913,129085,5,2,4,1,21,35,残靴：截断／换荷官／开收台可疑,87.0
2026-04-09,112,114605277,5,1,5,0,38,77,残靴：截断／换荷官／开收台可疑,87.0
2026-04-10,35,114606352,5,1,5,0,15,20,残靴：截断／换荷官／开收台可疑,87.0
2026-04-12,908,1212618,5,1,5,0,10,17,残靴：截断／换荷官／开收台可疑,87.0
2026-04-14,32,114610010,5,1,5,0,9,13,残靴：截断／换荷官／开收台可疑,87.0
2026-04-15,112,114611397,5,1,5,0,30,62,残靴：截断／换荷官／开收台可疑,87.0
2026-04-16,31,114612617,5,1,5,0,14,34,残靴：截断／换荷官／开收台可疑,87.0
2026-04-16,37,114612616,5,1,5,0,27,83,残靴：截断／换荷官／开收台可疑,87.0
2026-04-17,913,1216184,5,1,5,0,11,15,残靴：截断／换荷官／开收台可疑,87.0
2026-04-18,913,1216684,5,1,5,0,6,12,残靴：截断／换荷官／开收台可疑,87.0
2026-04-21,36,114617912,5,1,5,0,11,23,残靴：截断／换荷官／开收台可疑,87.0
2026-04-21,909,1218848,5,1,4,1,5,6,残靴：截断／换荷官／开收台可疑,87.0
2026-04-22,113,114619025,5,1,5,0,32,71,残靴：截断／换荷官／开收台可疑,87.0
2026-04-22,910,1219564,5,1,5,0,7,13,残靴：截断／换荷官／开收台可疑,87.0
2026-04-23,905,1220254,5,2,4,1,4,7,残靴：截断／换荷官／开收台可疑,87.0
2026-04-23,910,1220255,5,1,4,1,5,6,残靴：截断／换荷官／开收台可疑,87.0
2026-04-25,908,1221648,5,1,5,0,6,10,残靴：截断／换荷官／开收台可疑,87.0
2026-04-26,3,114623281,5,1,5,0,8,12,残靴：截断／换荷官／开收台可疑,87.0
2026-04-27,903,1222933,5,2,4,1,8,21,残靴：截断／换荷官／开收台可疑,87.0
2026-04-28,37,114625478,5,1,5,0,27,79,残靴：截断／换荷官／开收台可疑,87.0
2026-05-03,910,1227238,5,1,5,0,16,23,残靴：截断／换荷官／开收台可疑,87.0
2026-05-07,37,114635658,5,1,5,0,16,49,残靴：截断／换荷官／开收台可疑,87.0
2026-05-11,35,114639796,5,1,5,0,16,30,残靴：截断／换荷官／开收台可疑,87.0
2026-05-12,113,114640821,5,1,5,0,44,78,残靴：截断／换荷官／开收台可疑,87.0
2026-05-12,35,114640818,5,1,5,0,16,32,残靴：截断／换荷官／开收台可疑,87.0
2026-05-12,913,1234850,5,1,4,1,6,9,残靴：截断／换荷官／开收台可疑,87.0
2026-05-19,116,114648125,5,1,5,0,30,68,残靴：截断／换荷官／开收台可疑,87.0
2026-05-19,906,1240655,5,1,5,0,15,31,残靴：截断／换荷官／开收台可疑,87.0
2026-05-21,35,114650271,5,1,5,0,6,11,残靴：截断／换荷官／开收台可疑,87.0
2026-05-24,35,114653457,5,1,5,0,10,14,残靴：截断／换荷官／开收台可疑,87.0
2026-05-25,8,114654527,5,1,5,0,11,21,残靴：截断／换荷官／开收台可疑,87.0
2026-05-25,911,1245596,5,1,4,1,8,13,残靴：截断／换荷官／开收台可疑,87.0
2026-05-26,3,114655612,5,1,5,0,13,25,残靴：截断／换荷官／开收台可疑,87.0
2026-05-30,6,114660064,5,2,4,1,12,29,残靴：截断／换荷官／开收台可疑,87.0
2026-05-30,910,1249726,5,1,3,2,3,5,残靴：截断／换荷官／开收台可疑,87.0
2026-05-31,902,1250393,5,3,3,2,2,4,残靴：截断／换荷官／开收台可疑,87.0
2026-06-01,1,114662304,5,1,5,0,15,24,残靴：截断／换荷官／开收台可疑,87.0
2026-06-01,32,114662301,5,1,5,0,13,24,残靴：截断／换荷官／开收台可疑,87.0
2026-06-03,1,114664751,5,1,5,0,18,51,残靴：截断／换荷官／开收台可疑,87.0
2026-06-05,911,1254763,5,1,5,0,13,27,残靴：截断／换荷官／开收台可疑,87.0
2026-06-08,911,1257339,5,1,5,0,9,21,残靴：截断／换荷官／开收台可疑,87.0
2026-06-11,3,114673564,5,1,5,0,15,29,残靴：截断／换荷官／开收台可疑,87.0
2026-06-15,36,114677797,5,3,2,3,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-06-15,7,114677799,5,2,4,1,5,7,残靴：截断／换荷官／开收台可疑,87.0
2026-06-17,115,114680014,5,1,5,0,27,56,残靴：截断／换荷官／开收台可疑,87.0
2026-06-17,905,1265176,5,1,5,0,5,12,残靴：截断／换荷官／开收台可疑,87.0
2026-06-18,910,1266037,5,2,4,1,8,19,残靴：截断／换荷官／开收台可疑,87.0
2026-06-19,906,1266796,5,1,5,0,24,35,残靴：截断／换荷官／开收台可疑,87.0
2026-06-22,902,1269061,5,1,5,0,7,14,残靴：截断／换荷官／开收台可疑,87.0
2026-06-22,906,1269059,5,2,4,1,8,22,残靴：截断／换荷官／开收台可疑,87.0
2026-06-22,908,1269060,5,1,5,0,5,12,残靴：截断／换荷官／开收台可疑,87.0
2026-06-23,901,1269872,5,1,5,0,14,30,残靴：截断／换荷官／开收台可疑,87.0
2026-06-24,909,1270751,5,1,4,1,9,18,残靴：截断／换荷官／开收台可疑,87.0
2026-06-25,33,114688850,5,1,5,0,10,24,残靴：截断／换荷官／开收台可疑,87.0
2026-06-26,116,114689979,5,1,5,0,43,86,残靴：截断／换荷官／开收台可疑,87.0
2026-06-26,31,114689977,5,1,5,0,14,28,残靴：截断／换荷官／开收台可疑,87.0
2026-06-30,115,114694390,5,1,5,0,35,55,残靴：截断／换荷官／开收台可疑,87.0
2026-07-02,32,114696751,5,3,3,2,14,21,残靴：截断／换荷官／开收台可疑,87.0
2026-07-05,909,1280277,5,1,4,1,4,6,残靴：截断／换荷官／开收台可疑,87.0
2026-07-07,32,114702491,5,1,5,0,22,35,残靴：截断／换荷官／开收台可疑,87.0
2026-07-11,112,114706975,5,1,5,0,51,97,残靴：截断／换荷官／开收台可疑,87.0
2026-07-12,33,114707948,5,1,5,0,8,18,残靴：截断／换荷官／开收台可疑,87.0
2026-07-12,909,1286692,5,1,5,0,5,9,残靴：截断／换荷官／开收台可疑,87.0
2026-07-16,912,1290404,5,1,5,0,8,14,残靴：截断／换荷官／开收台可疑,87.0
2026-07-18,913,1292138,5,1,5,0,6,8,残靴：截断／换荷官／开收台可疑,87.0
2026-07-20,913,1293803,5,3,3,2,10,16,残靴：截断／换荷官／开收台可疑,87.0
2026-07-21,36,114717966,5,1,5,0,10,17,残靴：截断／换荷官／开收台可疑,87.0
2026-07-22,36,114719074,5,1,5,0,11,20,残靴：截断／换荷官／开收台可疑,87.0
2026-07-22,909,1295535,5,1,5,0,8,17,残靴：截断／换荷官／开收台可疑,87.0
2026-07-24,8,114721357,5,1,5,0,17,29,残靴：截断／换荷官／开收台可疑,87.0
2026-07-24,902,1297314,5,3,3,2,4,6,残靴：截断／换荷官／开收台可疑,87.0
2026-07-26,31,114723466,5,1,5,0,8,21,残靴：截断／换荷官／开收台可疑,87.0
2026-07-29,35,114726858,5,1,5,0,18,49,残靴：截断／换荷官／开收台可疑,87.0
2026-07-29,901,12101402,5,1,5,0,9,12,残靴：截断／换荷官／开收台可疑,87.0
2026-07-29,905,12101404,5,1,5,0,3,8,残靴：截断／换荷官／开收台可疑,87.0
2026-07-30,32,114727985,5,1,5,0,21,33,残靴：截断／换荷官／开收台可疑,87.0
2026-08-03,912,12105288,5,2,3,2,4,5,残靴：截断／换荷官／开收台可疑,87.0
2026-08-06,912,12107518,5,1,5,0,9,11,残靴：截断／换荷官／开收台可疑,87.0
2026-03-23,912,123408,4,2,2,2,5,5,残靴：截断／换荷官／开收台可疑,87.0
2026-03-24,907,3122494,4,2,3,1,3,4,残靴：截断／换荷官／开收台可疑,87.0
2026-03-24,911,123646,4,1,4,0,6,18,残靴：截断／换荷官／开收台可疑,87.0
2026-03-25,37,114588672,4,1,4,0,15,28,残靴：截断／换荷官／开收台可疑,87.0
2026-03-25,909,123900,4,1,3,1,5,6,残靴：截断／换荷官／开收台可疑,87.0
2026-03-27,902,124405,4,2,3,1,5,5,残靴：截断／换荷官／开收台可疑,87.0
2026-03-28,905,124681,4,3,2,2,4,4,残靴：截断／换荷官／开收台可疑,87.0
2026-03-30,2,114594054,4,1,4,0,12,28,残靴：截断／换荷官／开收台可疑,87.0
2026-04-07,1,114603058,4,1,4,0,21,42,残靴：截断／换荷官／开收台可疑,87.0
2026-04-08,36,114604179,4,1,3,1,8,10,残靴：截断／换荷官／开收台可疑,87.0
2026-04-08,902,129852,4,1,4,0,4,9,残靴：截断／换荷官／开收台可疑,87.0
2026-04-08,908,129853,4,1,4,0,4,11,残靴：截断／换荷官／开收台可疑,87.0
2026-04-08,909,129850,4,1,4,0,6,10,残靴：截断／换荷官／开收台可疑,87.0
2026-04-13,33,114609359,4,1,4,0,13,24,残靴：截断／换荷官／开收台可疑,87.0
2026-04-14,913,1214141,4,1,4,0,15,26,残靴：截断／换荷官／开收台可疑,87.0
2026-04-16,113,114612618,4,1,4,0,27,70,残靴：截断／换荷官／开收台可疑,87.0
2026-04-17,32,114613697,4,1,4,0,12,29,残靴：截断／换荷官／开收台可疑,87.0
2026-04-18,115,114614769,4,1,4,0,27,51,残靴：截断／换荷官／开收台可疑,87.0
2026-04-18,33,114614770,4,1,4,0,9,17,残靴：截断／换荷官／开收台可疑,87.0
2026-04-23,913,1220256,4,3,2,2,2,2,残靴：截断／换荷官／开收台可疑,87.0
2026-05-03,6,114631148,4,1,4,0,9,19,残靴：截断／换荷官／开收台可疑,87.0
2026-05-04,911,1228157,4,2,3,1,4,5,残靴：截断／换荷官／开收台可疑,87.0
2026-05-05,5,114633468,4,1,4,0,19,48,残靴：截断／换荷官／开收台可疑,87.0
2026-05-13,7,114641868,4,1,4,0,8,20,残靴：截断／换荷官／开收台可疑,87.0
2026-05-14,911,1236484,4,1,4,0,9,18,残靴：截断／换荷官／开收台可疑,87.0
2026-05-16,6,114645028,4,1,4,0,10,17,残靴：截断／换荷官／开收台可疑,87.0
2026-05-17,33,114645968,4,1,4,0,11,20,残靴：截断／换荷官／开收台可疑,87.0
2026-05-18,905,1239814,4,2,3,1,8,12,残靴：截断／换荷官／开收台可疑,87.0
2026-05-19,3,114648132,4,1,4,0,15,25,残靴：截断／换荷官／开收台可疑,87.0
2026-05-22,3,114651388,4,1,4,0,4,15,残靴：截断／换荷官／开收台可疑,87.0
2026-05-23,907,1244010,4,2,3,1,6,10,残靴：截断／换荷官／开收台可疑,87.0
