bet_id,biz_date,bet_time,table_id,shoe_id,round_no,member_id,play_type,fx_rate,stake_raw,payout_raw,rebate_raw,bet41_val,validbet_val,diff_abs,diff_rel,diff_kind,in_clean,chk_def
5350095868,2026-03-27,2026-03-27 14:11:54,35,114589883,36,140044528,BPair,4.54360000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095869,2026-03-27,2026-03-27 14:11:54,35,114589883,36,140044528,PPair,4.54360000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095870,2026-03-27,2026-03-27 14:11:54,35,114589883,36,140044528,Super6,4.54360000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095871,2026-03-27,2026-03-27 14:11:54,35,114589883,36,140044528,Lucky7,4.54360000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095914,2026-03-27,2026-03-27 14:11:56,35,114589883,36,118670037,Banker,3.79770000,2320.0000,2320.0000,0.0000,0.0000,2320.0000,-2320.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095917,2026-03-27,2026-03-27 14:11:57,35,114589883,36,107273535,Player,4.54360000,500.0000,500.0000,0.0000,0.0000,500.0000,-500.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095928,2026-03-27,2026-03-27 14:11:59,35,114589883,36,141715514,Player,0.56740000,80.0000,80.0000,0.0000,0.0000,80.0000,-80.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095929,2026-03-27,2026-03-27 14:11:59,35,114589883,36,141715514,Super6,0.56740000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095930,2026-03-27,2026-03-27 14:11:59,35,114589883,36,141715514,Lucky7,0.56740000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095931,2026-03-27,2026-03-27 14:11:59,35,114589883,36,141715514,SuperLucky7,0.56740000,1.0000,1.0000,0.0000,0.0000,1.0000,-1.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095933,2026-03-27,2026-03-27 14:11:59,35,114589883,36,48079076,Banker,3.79770000,500.0000,500.0000,0.0000,0.0000,500.0000,-500.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
