scope_def,late_def,n_orders,n_orders_pct,n_members,n_members_pct,n_lv1,n_lv2,n_lv3,n_lv4,n_lv5,stake_sum,stake_pct,validbet_sum,validbet_pct,ggr_sum,ggr_pct,rebate16_sum,rebate16_pct,rebate41_sum,ngr_by16,ngr_by16_pct
1_全量洁净（七闸）,na_full_domain,124713543,100.0000,723442,100.0000,161,221,455,867,2462,13436093473.33,100.0000,12101545164.64,100.0000,234152957.10,100.0000,8220755.89,100.0000,12101477877.62,225932201.21,100.0000
2_阿泽域（丙版会员门槛·行域七闸对齐v10）,rno>=40_absolute_v1,427811,0.3430,2722,0.3763,64,79,145,219,391,23557460.63,0.1753,21276540.84,0.1758,301559.90,0.1288,4145.80,0.0504,21276516.08,297414.11,0.1316
