population,n_members,share_of_members,total_rounds,share_of_rounds,overall_tail_share,avg_rounds_per_member,min_rounds,max_rounds,total_stake,total_valid_bet,share_of_valid_bet,total_game_pnl,total_rebate,total_net_pnl,total_ggr,share_of_ggr,total_ngr,share_of_ngr,hold_pct_on_valid_bet,hold_pct_on_stake,avg_ggr_per_member,avg_ggr_per_round,avg_ngr_per_member,avg_ngr_per_round
S_player_tail,159603,0.2211634,85952654,0.9599225,0.1961167,538.5403407,30,464679,12851051880.3403476988,11574771105.3494035285,0.978216128405,-200117813.1634785517,7972513.5698451971,-192145299.5936248965,200117813.1634785517,0.874621135851,192145299.5936248965,0.870424472795,0.017289137845,0.015572095967,1253.847441235306,2.328233089388,1203.895287642619,2.235478378522
非S_player_tail,562049,0.7788366,3588593,0.0400775,0.1777580,6.3848401,1,29,286710329.4155289118,257758301.2413587899,0.021783871595,-28687328.8123044776,83665.5732728735,-28603663.2390316504,28687328.8123044776,0.125378864149,28603663.2390316504,0.129575527205,0.111295460414,0.100056837404,51.040618900317,7.994032427836,50.891760752233,7.970718116831
合计,721652,1.0000000,89541247,1.0000000,0.1953809,124.0781526,1,464679,13137762209.7558766106,11832529406.5907623184,1.000000000000,-228805141.9757830293,8056179.1431180706,-220748962.8326565469,228805141.9757830293,1.000000000000,220748962.8326565469,1.000000000000,0.019336959505,0.017415838278,317.057448709050,2.555304394809,305.893925094999,2.465332684418
