桌号,局数,窗口秒_众数解,众数占比,次高频秒,次高频占比,第三高频秒,第三高频占比,前三合计占比,稳健性判定
1,301678,13,0.5901756,12,0.3356758,11,0.0455154,0.9713668,A_稳固
2,305211,13,0.5627418,12,0.3470779,11,0.0535433,0.9633630,A_稳固
3,302624,13,0.5379943,12,0.3555633,11,0.0614888,0.9550464,A_稳固
5,304575,13,0.5129902,12,0.3636805,11,0.0703997,0.9470704,A_稳固
6,296566,13,0.4925649,12,0.3706595,11,0.0761315,0.9393559,A_稳固
7,305034,13,0.4696263,12,0.3751680,11,0.0850856,0.9298799,A_稳固
8,305004,13,0.4432204,12,0.3795721,11,0.0936414,0.9164339,A_稳固
31,221017,24,0.3723062,25,0.3067275,23,0.1420524,0.8210861,A_稳固
32,218920,24,0.3660287,25,0.2936689,23,0.1451489,0.8048465,A_稳固
33,220441,24,0.3576921,25,0.2797211,23,0.1488652,0.7862784,A_稳固
35,222094,24,0.3484516,25,0.2599800,23,0.1545877,0.7630193,A_稳固
36,218103,24,0.3469416,25,0.2566402,23,0.1559493,0.7595311,A_稳固
37,137601,24,0.4100915,25,0.4053023,23,0.1078408,0.9232346,A_稳固
900,3854,24,0.3056565,25,0.1956409,23,0.1678775,0.6691749,A_稳固
901,175454,24,0.3066046,25,0.2067664,23,0.1604637,0.6738347,A_稳固
902,175209,24,0.2961035,25,0.1948131,23,0.1577088,0.6486254,B_可用_取前三之最大者
903,173138,24,0.2901732,25,0.1854070,23,0.1582668,0.6338470,B_可用_取前三之最大者
905,172283,24,0.2833419,25,0.1776960,23,0.1582338,0.6192717,B_可用_取前三之最大者
906,173118,24,0.2741425,25,0.1711723,23,0.1570663,0.6023811,B_可用_取前三之最大者
907,164755,24,0.2743225,25,0.1700525,23,0.1574884,0.6018634,B_可用_取前三之最大者
908,172197,24,0.2658583,25,0.1637020,23,0.1572269,0.5867872,B_可用_取前三之最大者
909,170995,24,0.2656978,25,0.1611334,23,0.1578350,0.5846662,B_可用_取前三之最大者
910,171864,24,0.2585358,23,0.1579156,25,0.1550296,0.5714810,B_可用_取前三之最大者
911,169486,24,0.2574018,23,0.1571634,25,0.1549096,0.5694748,B_可用_取前三之最大者
912,169373,24,0.2582584,23,0.1545642,25,0.1541037,0.5669263,B_可用_取前三之最大者
913,166258,24,0.2649677,23,0.1614599,25,0.1605998,0.5870274,B_可用_取前三之最大者
112,226096,25,0.5103363,24,0.3767736,23,0.0672458,0.9543557,A_稳固
113,228431,25,0.5068270,24,0.3782280,23,0.0686903,0.9537453,A_稳固
115,226764,25,0.4978392,24,0.3811231,23,0.0710518,0.9500141,A_稳固
116,228685,25,0.4712727,24,0.3857402,23,0.0823753,0.9393882,A_稳固
