uid,n_shoes,n_orders,entry_pos_p50,exit_pos_p50,bet_density_p50,entry_round_avg,audit_rn,batch_id
128332265,110,292,0.2041,0.2979,1.0,13.89,20958,1
128332329,4129,4725,0.7826,0.8235,1.0,39.71,20959,1
128332727,100,6200,0.3675,0.7858,3.041,19.25,20960,1
128334101,96,212,0.2579,0.3738,1.0,17.4,20961,1
128334161,59,251,0.3846,0.625,0.8,21.59,20962,1
128335407,313,2769,0.5102,0.6087,1.2857,24.67,20963,1
128336095,24,161,0.5198,0.6701,1.0,28.04,20964,1
128336784,117,349,0.5294,0.6078,1.0,26.44,20965,1
128336791,549,19191,0.3654,0.5714,3.0,19.4,20966,1
128338555,182,335,0.5612,0.6313,1.0,27.87,20967,1
128340996,34,681,0.4243,0.4555,2.5667,22.03,20968,1
128341665,12,278,0.4493,0.5933,4.5,24.25,20969,1
128344168,114,166,0.54,0.5913,1.0,28.67,20970,1
128345547,22,122,0.3446,0.5521,0.7917,19.05,20971,1
128345885,1237,2038,0.5192,0.5918,1.0,26.27,20972,1
128349160,66,1421,0.394,0.6143,2.0,20.73,20973,1
128355439,347,1762,0.5926,0.6809,1.0,29.18,20974,1
128365059,112,554,0.6402,0.7597,1.0,31.06,20975,1
128365183,165,233,0.4694,0.5185,1.0,23.75,20976,1
128367202,107,427,0.6458,0.7234,1.0,29.69,20977,1
128368078,369,493,0.4583,0.5106,1.0,24.33,20978,1
128373224,7,290,0.3404,0.5957,3.6667,21.0,20979,1
128377714,15,138,0.5217,0.6939,2.0,26.53,20980,1
128384151,363,601,0.413,0.5102,1.0,23.04,20981,1
128385360,451,12430,0.4464,0.6346,3.25,23.4,20982,1
128386260,550,3125,0.62,0.7551,1.0,30.25,20983,1
128388289,22,594,0.5972,1.0,1.95,28.64,20984,1
128389464,20,106,0.0825,0.151,1.1,5.95,20985,1
128392700,127,834,0.4231,0.6078,1.0,23.62,20986,1
128393048,46,352,0.6701,0.8249,1.0,30.65,20987,1
128396098,32,182,0.5876,0.7191,1.0,27.72,20988,1
128400966,11,217,0.375,0.5882,3.0,23.55,20989,1
128403260,100,603,0.5274,0.6094,1.0,26.49,20990,1
128405329,59,1940,0.5,0.6731,3.5,25.14,20991,1
128406392,4485,60601,0.3878,0.7143,1.1333,21.22,20992,1
128407075,8,124,0.4314,0.5341,1.5714,20.13,20993,1
128414461,66,130,0.4997,0.6724,1.0,27.12,20994,1
128415253,229,801,0.5102,0.5957,1.0,25.07,20995,1
128416885,526,1806,0.4641,0.6327,1.0,24.33,20996,1
128417324,42,136,0.6188,0.7217,1.0,31.62,20997,1
128417498,257,3588,0.449,0.7447,1.1818,24.12,20998,1
128418260,16,1018,0.4222,0.5962,7.0,20.06,20999,1
128421906,3904,6093,0.4694,0.6,1.0,25.07,21000,1
128422429,496,7824,0.3462,0.7369,1.0,19.47,21001,1
128424178,19,106,0.5435,0.6667,0.9412,23.11,21002,1
128424457,3591,12881,0.5106,0.7174,1.0,26.65,21003,1
128428619,67,122,0.2642,0.34,1.0,16.09,21004,1
128429263,1004,2572,0.0404,0.1633,1.0,9.17,21005,1
128432211,136,325,0.5151,0.6152,1.0,25.89,21006,1
128432377,11,332,0.56,1.0,1.9444,22.18,21007,1
128432456,105,145,0.4182,0.5714,1.0,22.71,21008,1
128432953,103,249,0.4889,0.5769,1.0,24.74,21009,1
128440131,26,165,0.4945,0.5757,1.0,23.27,21010,1
128441786,101,1719,0.5926,0.75,2.0,29.28,21011,1
128441887,65,340,0.1429,0.3125,1.0,10.91,21012,1
128442060,56,151,0.6395,0.7222,1.0,30.8,21013,1
128443457,885,6837,0.0714,0.1961,1.5833,7.98,21014,1
128443663,204,1037,0.3846,0.4118,1.0,17.04,21015,1
128444638,617,8462,0.1765,0.46,1.0,10.82,21016,1
128445852,172,208,0.3871,0.4243,1.0,21.53,21017,1
128446525,59,401,0.2909,0.4364,1.0,17.68,21018,1
128451386,23,144,0.375,0.4583,1.0,21.87,21019,1
128451883,164,441,0.5245,0.6355,1.0,26.58,21020,1
128452027,51,264,0.7091,0.8298,1.0,34.22,21021,1
128455322,433,671,0.4615,0.5962,1.0,25.12,21022,1
128456256,1790,5081,0.3474,0.625,1.0,19.97,21023,1
128456513,75,5191,0.4468,0.7021,5.1071,21.87,21024,1
128456934,69,1741,0.4615,0.5625,3.9167,25.12,21025,1
128457169,24,138,0.5623,0.6003,2.1667,29.5,21026,1
128457949,7,175,0.5306,0.9107,3.0,32.0,21027,1
128458339,9,123,0.5435,0.6304,1.0,27.44,21028,1
128459053,9,238,0.1136,1.0,1.0,14.89,21029,1
128459126,30,275,0.6561,0.7596,1.0,30.17,21030,1
128461934,892,10231,0.3269,0.901,0.75,19.61,21031,1
128462152,172,552,0.5534,0.5962,1.0,27.01,21032,1
128462200,86,1672,0.6021,0.802,2.0,30.31,21033,1
128462243,63,344,0.6,0.72,1.0,30.78,21034,1
128466360,19,320,0.3725,0.5745,2.2,21.32,21035,1
128466779,19,125,0.6078,0.6471,1.0,28.16,21036,1
128470959,35,160,0.5769,0.7556,1.0,28.74,21037,1
128472429,166,333,0.4855,0.6866,1.0,25.24,21038,1
128474124,901,21735,0.4348,0.7347,1.4737,22.61,21039,1
128476300,25,152,0.5686,0.64,1.0,27.56,21040,1
128477587,137,1364,0.2449,0.4615,0.8333,12.34,21041,1
128479314,19,119,0.52,0.64,0.9333,26.47,21042,1
128480366,32,241,0.5408,0.6765,1.4167,29.69,21043,1
128480740,140,2258,0.6022,0.8367,1.4444,30.09,21044,1
128481882,284,1397,0.4553,0.6296,1.0,24.42,21045,1
128482384,22,185,0.4434,0.766,0.8231,25.41,21046,1
128482485,1003,2342,0.3696,0.4792,1.0,21.61,21047,1
128484022,56,457,0.6522,0.8924,1.0,32.09,21048,1
128485130,270,536,0.4694,0.5534,1.0,24.2,21049,1
128486199,1759,2858,0.4043,0.5306,1.0,22.88,21050,1
128491158,2,122,0.4011,0.8778,2.4142,20.0,21051,1
128491383,157,264,0.5882,0.62,1.0,27.94,21052,1
128494667,10682,30355,0.2727,0.3958,1.0,17.63,21053,1
128494792,23,161,0.587,0.6724,2.0,29.22,21054,1
128495964,55,542,0.5385,0.7308,0.9565,27.02,21055,1
128501327,90,128,0.433,0.4399,1.0,23.37,21056,1
128503650,96,185,0.5493,0.6214,1.0,27.68,21057,1
128505132,1081,3216,0.4681,0.62,1.0,23.66,21058,1
128506771,28,181,0.56,0.8223,1.0,29.64,21059,1
128507077,30,111,0.2333,0.3222,1.0,13.63,21060,1
128507453,204,637,0.4555,0.5,1.0,23.81,21061,1
128507864,391,1232,0.551,0.6667,1.0,26.7,21062,1
128511930,124,283,0.5957,0.6703,1.0,28.57,21063,1
128512412,16,147,0.5253,0.8859,1.0,26.31,21064,1
128513454,582,3401,0.4583,0.6138,1.4143,23.64,21065,1
128513934,46,1511,0.4434,0.5214,6.0,23.63,21066,1
128514466,555,1298,0.5208,0.62,1.0,25.99,21067,1
128518414,1326,8859,0.4681,0.6804,1.0,24.2,21068,1
128518721,16,171,0.4327,0.4421,7.0,22.0,21069,1
128521536,80,613,0.5697,0.8542,1.0,28.89,21070,1
128521572,200,625,0.4243,0.4683,1.0,23.27,21071,1
128521579,455,6416,0.4,0.6809,1.0,21.87,21072,1
128521660,23,111,0.2941,0.5,1.0,19.48,21073,1
128523674,117,153,0.6531,0.6735,1.0,29.49,21074,1
128528263,11,134,0.5,0.8125,1.0,23.64,21075,1
128530120,143,535,0.5306,0.6275,1.0,26.61,21076,1
128531561,299,2096,0.6531,0.8889,1.0,30.96,21077,1
128534904,123,982,0.5532,0.5833,1.1429,26.37,21078,1
128535060,67,694,0.551,0.7021,1.0,26.4,21079,1
128535313,19,103,0.7292,0.8302,1.0,31.47,21080,1
128537575,164,3105,0.4021,0.5714,2.3229,22.48,21081,1
128537969,30,186,0.2948,0.3957,1.0,14.53,21082,1
128540097,659,2684,0.46,0.6667,1.0,23.45,21083,1
128541303,61,154,0.5306,0.5882,1.0,26.62,21084,1
128541636,43,318,0.5778,0.7021,1.0,28.44,21085,1
128542170,423,2891,0.4318,0.6122,1.0,24.91,21086,1
128542221,147,193,0.4889,0.5,1.0,24.59,21087,1
128542868,612,3592,0.3333,0.48,1.0,18.7,21088,1
128544526,34,151,0.5721,0.6508,1.0,28.97,21089,1
128549184,597,6162,0.4118,0.7143,1.0,22.81,21090,1
128550337,315,5873,0.5,0.7551,1.8095,26.23,21091,1
128550720,156,256,0.6464,0.66,1.0,31.75,21092,1
128551308,400,3419,0.5639,0.631,2.0,28.1,21093,1
128551497,118,282,0.3601,0.6567,1.0,22.03,21094,1
128551685,140,286,0.5,0.6078,1.0,26.64,21095,1
128555534,68,143,0.6234,0.6502,1.0,29.24,21096,1
128555752,185,2816,0.2245,0.76,0.8571,15.42,21097,1
128556502,68,238,0.6699,0.7429,1.0,30.07,21098,1
128563467,335,743,0.5319,0.5882,1.0,26.09,21099,1
128563827,80,448,0.532,0.5833,2.0,26.96,21100,1
128565132,189,1386,0.3333,0.5098,1.0,18.41,21101,1
128566164,463,8070,0.5098,0.6512,4.0,24.63,21102,1
128568207,237,1624,0.4583,0.68,1.0,23.77,21103,1
128574574,383,1278,0.451,0.7451,0.6667,23.25,21104,1
128582386,114,257,0.3854,0.4271,1.0,21.75,21105,1
128586122,14,200,0.4435,0.6601,1.0792,23.93,21106,1
128588904,472,3335,0.62,0.7835,1.0,30.94,21107,1
128591890,130,153,0.5752,0.5836,1.0,27.26,21108,1
128592838,135,283,0.4894,0.6122,1.0,25.21,21109,1
128593579,1243,3182,0.4043,0.5577,1.0,22.86,21110,1
128593729,551,4099,0.4808,0.6327,1.0,24.38,21111,1
128594062,82,1574,0.5707,0.8144,2.0,29.3,21112,1
128594660,10,136,0.7087,0.9144,1.2737,36.4,21113,1
128595326,29,496,0.5882,0.6604,2.1,27.28,21114,1
128596241,270,845,0.5521,0.64,1.0,27.76,21115,1
128597325,33,186,0.6327,0.7551,1.0,31.88,21116,1
128598261,116,458,0.5099,0.5981,1.0,25.39,21117,1
128598881,3620,9176,0.5185,0.6275,1.0,26.24,21118,1
128600389,12,161,0.4435,0.7493,2.0,24.5,21119,1
128601408,1884,11426,0.5686,0.6852,1.0,28.19,21120,1
128601732,143,280,0.2453,0.2745,1.0,14.9,21121,1
128602673,40,159,0.4399,0.5155,1.3333,22.9,21122,1
128607039,41,2645,0.18,0.7826,2.3333,12.59,21123,1
128607549,3,153,0.3269,0.5,5.5,19.67,21124,1
128607924,90,823,0.3699,0.6495,0.8571,20.81,21125,1
128608312,14,1319,0.4586,0.8975,5.4015,24.07,21126,1
128608675,54,199,0.5045,0.5782,2.0,27.26,21127,1
128609292,4,287,0.5568,0.9583,3.5,26.75,21128,1
128609775,83,522,0.2766,0.52,1.0,17.43,21129,1
128610718,295,3367,0.2727,0.551,1.0,16.32,21130,1
128611382,119,437,0.3958,0.52,1.0,22.5,21131,1
128613507,80,258,0.4519,0.6633,1.0,26.1,21132,1
128614252,105,682,0.449,0.5833,1.0,23.99,21133,1
128614530,453,3527,0.375,0.4792,1.0,21.38,21134,1
128616392,40,1003,0.3293,0.4612,6.0,20.83,21135,1
128618130,131,1074,0.5102,0.7755,1.0,27.06,21136,1
128621301,174,380,0.6236,0.6494,1.0,29.36,21137,1
128622055,341,370,0.5102,0.5217,1.0,25.21,21138,1
128630715,68,521,0.2364,0.5151,1.0,15.96,21139,1
128633823,2866,14603,0.3981,0.6939,0.9,21.29,21140,1
128637714,462,6713,0.38,0.5426,2.0,20.04,21141,1
128640796,1600,3006,0.2778,0.3261,1.0,13.71,21142,1
128643814,22,227,0.3571,0.6899,1.1154,22.91,21143,1
128644912,323,1249,0.5208,0.62,1.0,25.63,21144,1
128648699,57,109,0.6182,0.6226,1.0,29.47,21145,1
128648971,62,217,0.3712,0.4387,1.0,20.94,21146,1
128649203,971,4134,0.4231,0.75,0.5333,23.18,21147,1
128650382,40,136,0.7626,0.8501,1.0,37.67,21148,1
128652008,72,423,0.3763,0.4578,1.0,20.54,21149,1
128652431,103,240,0.617,0.66,1.0,29.13,21150,1
128655427,68,103,0.6311,0.7011,1.0,31.37,21151,1
128655582,2681,5284,0.42,0.5319,1.0,22.47,21152,1
128658123,124,145,0.5612,0.5835,1.0,27.49,21153,1
128658827,66,221,0.3671,0.4687,1.0,21.12,21154,1
128661822,80,588,0.6667,0.8672,1.0,32.15,21155,1
128662874,273,1950,0.5294,0.6735,1.0,25.37,21156,1
128664182,379,2395,0.5,0.6226,2.8,25.46,21157,1
128669580,60,234,0.51,0.6129,1.0,25.02,21158,1
128671264,26,281,0.3436,0.4688,1.0588,20.96,21159,1
128672571,149,463,0.5106,0.5833,1.0,25.83,21160,1
128672793,8,146,0.6855,0.8036,4.2143,34.0,21161,1
128682003,25,154,0.25,0.3509,1.0,14.6,21162,1
128684346,13,176,0.2745,0.4694,1.4,14.69,21163,1
128684822,534,1975,0.4681,0.5743,1.0,23.56,21164,1
128691891,358,2738,0.27,0.4537,1.0,16.58,21165,1
128693022,40,109,0.6733,0.7237,1.0,31.28,21166,1
128693078,226,676,0.3862,0.7083,0.6667,21.39,21167,1
128693162,104,158,0.5291,0.673,1.0,27.23,21168,1
128696474,813,6215,0.5,0.7083,1.0,26.14,21169,1
128696536,107,315,0.5625,0.5962,1.0,26.38,21170,1
128697213,32,218,0.7183,0.7449,1.7167,31.53,21171,1
128697604,1100,13430,0.4286,0.75,0.9091,21.87,21172,1
128699244,130,292,0.4368,0.4894,1.0,22.77,21173,1
128699915,17,111,0.62,0.6415,1.0,28.82,21174,1
128701668,54,336,0.6825,0.812,1.0,33.7,21175,1
128702116,36,614,0.7764,0.9111,2.25,37.11,21176,1
128703068,565,5740,0.449,0.6304,1.875,23.79,21177,1
128703145,417,1094,0.4898,0.6304,1.0,24.58,21178,1
128703583,48,165,0.3848,0.4743,1.0,19.06,21179,1
128705543,14,132,0.7424,0.8982,1.0,31.29,21180,1
128706556,68,680,0.3798,0.5581,1.0,19.71,21181,1
128706657,320,579,0.3131,0.4231,1.0,18.69,21182,1
128707152,608,1508,0.5745,0.6635,1.0,27.89,21183,1
128707419,15,135,0.5918,0.6327,1.0,28.67,21184,1
128707879,46,206,0.396,0.5994,1.0,22.96,21185,1
128710902,372,3828,0.3715,0.6,1.0,19.47,21186,1
128711155,39,603,0.5,0.9375,0.9762,24.62,21187,1
128712168,12,127,0.3197,0.5308,1.0,19.58,21188,1
128712827,830,3114,0.5,0.6,1.0,24.18,21189,1
128713703,58,384,0.5412,0.6939,1.0,26.24,21190,1
128713956,43,194,0.6875,0.7609,1.0,31.42,21191,1
128718544,58,147,0.3979,0.6081,1.0,22.21,21192,1
128720610,81,1614,0.551,0.64,4.75,27.32,21193,1
128720844,70,888,0.649,0.7885,1.8175,31.41,21194,1
128724068,45,114,0.4419,0.6304,1.0,21.49,21195,1
128724224,640,1523,0.6275,0.6531,1.0,30.02,21196,1
128725209,1000,3301,0.5437,0.6154,1.0,27.03,21197,1
128727922,2,100,0.3837,0.5969,4.2353,19.0,21198,1
128728349,1241,3756,0.4792,0.5849,1.0,24.01,21199,1
128729348,107,813,0.6226,0.7925,1.0,29.56,21200,1
128731394,173,1934,0.6383,0.9348,1.0,31.9,21201,1
128733430,1116,3413,0.4255,0.625,1.0,22.66,21202,1
128734377,315,579,0.617,0.6538,1.0,29.77,21203,1
128735856,805,5573,0.3958,0.4694,1.2,20.5,21204,1
128737448,142,1765,0.5962,0.7103,1.0,31.49,21205,1
128739024,1961,4218,0.5882,0.766,1.0,30.68,21206,1
128739538,123,493,0.6667,0.7347,1.0,29.88,21207,1
128740372,61,226,0.383,0.4902,1.0,21.18,21208,1
128740459,54,150,0.4578,0.698,1.0,23.54,21209,1
128740741,442,818,0.4151,0.4745,1.0,23.78,21210,1
128741550,183,581,0.3469,0.6471,0.6667,21.8,21211,1
128742156,580,1237,0.4456,0.5,1.0,24.64,21212,1
128748471,154,233,0.5684,0.5981,1.0,27.05,21213,1
128748997,169,751,0.0612,0.1961,1.0,8.92,21214,1
128750994,21,331,0.7059,0.88,1.9286,32.05,21215,1
128752499,66,2374,0.1895,0.5271,2.0294,12.02,21216,1
128753720,30,477,0.6985,0.8883,1.2346,32.53,21217,1
128754092,33,240,0.5,0.6957,1.3333,26.36,21218,1
128754340,108,457,0.2679,0.6447,0.3652,16.06,21219,1
128755514,4,155,0.0202,1.0,1.0,5.75,21220,1
128757384,1068,3164,0.56,0.7083,1.0,28.66,21221,1
128757568,236,442,0.52,0.594,1.0,25.95,21222,1
128759317,744,2881,0.5326,0.7129,1.0,28.05,21223,1
128760591,42,159,0.4134,0.4468,1.8333,22.26,21224,1
128761718,32,100,0.77,0.8469,1.0,37.56,21225,1
128762779,90,344,0.6363,0.7143,1.0,29.23,21226,1
128768638,7979,19585,0.3462,0.5,1.0,20.62,21227,1
128770215,317,572,0.5745,0.5957,1.0,27.47,21228,1
128773451,198,4258,0.4215,0.6211,2.4344,23.06,21229,1
128774899,274,980,0.32,0.4286,1.0,18.49,21230,1
128775653,21,140,0.62,0.6809,1.5,30.0,21231,1
128776253,126,1206,0.4489,0.6842,1.0,23.8,21232,1
128776728,133,182,0.5556,0.64,1.0,28.26,21233,1
128777268,388,2842,0.59,0.901,0.75,29.13,21234,1
128779727,20,100,0.5002,0.5504,1.0,24.65,21235,1
128780330,274,458,0.6021,0.6355,1.0,30.05,21236,1
128780692,55,226,0.54,0.54,2.0,26.35,21237,1
128781277,418,4825,0.4167,0.5,2.7454,22.16,21238,1
128781676,164,306,0.6122,0.684,1.0,32.23,21239,1
128781691,17,117,0.5556,0.6667,0.8889,24.88,21240,1
128781749,10,104,0.3565,0.6679,1.0,24.9,21241,1
128781944,7585,13643,0.44,0.5532,1.0,23.05,21242,1
128782377,61,308,0.6078,0.6981,1.0,29.49,21243,1
128782723,3679,27701,0.4468,0.8431,0.7568,24.0,21244,1
128782755,8,109,0.3571,0.8528,1.0,25.13,21245,1
128782818,27,186,0.5,0.7292,0.8571,25.11,21246,1
128783703,232,1088,0.4681,0.5858,1.0,24.14,21247,1
128783732,105,609,0.2182,0.434,0.6,12.51,21248,1
128784242,190,576,0.4522,0.5306,1.0,23.67,21249,1
128785083,448,2685,0.391,0.4564,2.0,22.24,21250,1
128785333,14,275,0.5728,0.64,4.95,26.14,21251,1
128785954,14,443,0.1964,0.6279,1.5778,12.79,21252,1
128787515,208,304,0.4223,0.4479,1.0,22.05,21253,1
128789029,31,116,0.4894,0.6735,1.0,24.42,21254,1
128789707,177,356,0.4151,0.5192,1.0,22.31,21255,1
128790797,362,10353,0.32,0.4375,4.0,17.24,21256,1
128791211,25,443,0.7447,0.84,2.0,32.2,21257,1
128791458,292,465,0.5401,0.5745,1.0,28.14,21258,1
128791558,16,115,0.4134,0.5045,1.0,21.94,21259,1
128792520,91,149,0.4364,0.551,1.0,24.2,21260,1
128795121,1836,3762,0.4958,0.6391,1.0,26.15,21261,1
128796362,83,591,0.5625,0.7,1.0,27.31,21262,1
128796593,746,5401,0.5294,0.7029,1.0,26.98,21263,1
128796953,4057,6453,0.3673,0.4375,1.0,21.19,21264,1
128797003,96,867,0.6262,0.7101,2.0,29.89,21265,1
128797079,32,140,0.5918,0.6599,1.8333,27.78,21266,1
128797752,114,755,0.7292,0.8248,1.2234,32.96,21267,1
128798116,71,279,0.2449,0.3571,1.0,14.39,21268,1
128798618,16,121,0.4509,0.6388,0.8918,23.44,21269,1
128798717,61,158,0.3725,0.6222,1.0,22.21,21270,1
128799178,8,144,0.5445,0.5724,2.1,22.38,21271,1
128799779,661,5172,0.5532,0.7907,1.0,27.05,21272,1
128801019,370,891,0.2708,0.3297,1.0,18.32,21273,1
128801554,7,119,0.4231,0.717,1.9259,24.14,21274,1
128802591,107,743,0.5435,0.5926,2.0,25.83,21275,1
128802785,138,952,0.4853,0.6365,1.0,23.8,21276,1
128804064,191,400,0.449,0.625,1.0,24.21,21277,1
128804786,230,433,0.5313,0.6177,1.0,27.3,21278,1
128807380,40,2049,0.5331,0.7763,5.2222,26.4,21279,1
128808085,8,499,0.7083,0.9555,5.5833,31.13,21280,1
128808313,237,446,0.3962,0.4681,1.0,23.24,21281,1
128808426,7,118,0.38,0.7333,1.0,19.43,21282,1
128810497,97,185,0.6087,0.6327,1.0,29.06,21283,1
128810878,76,483,0.3539,0.4891,0.9,17.3,21284,1
128811636,76,701,0.34,0.4758,2.8369,21.3,21285,1
128811879,33,399,0.48,0.6275,1.0,26.91,21286,1
128813285,100,237,0.6083,0.6441,1.0,28.1,21287,1
128813874,2,112,0.2555,0.8125,1.963,13.0,21288,1
128814034,1314,9268,0.5319,0.7708,0.8333,26.28,21289,1
128815502,16,688,0.2669,0.91,2.2835,18.63,21290,1
128815959,45,604,0.3,0.7255,0.9302,17.02,21291,1
128816172,79,244,0.5745,0.6078,1.0,26.54,21292,1
128816698,24,333,0.5985,0.9898,1.0,29.58,21293,1
128817707,67,113,0.3125,0.3265,1.0,16.01,21294,1
128818251,78,964,0.5147,0.6533,2.0,27.05,21295,1
128818958,40,194,0.5805,0.7118,1.0,28.55,21296,1
128819011,637,6126,0.463,0.6731,1.5,24.19,21297,1
128819639,24,208,0.6429,0.7475,1.1667,29.79,21298,1
128820677,107,411,0.48,0.6,1.0,25.2,21299,1
128820901,56,103,0.5098,0.5296,1.0,26.41,21300,1
128820971,17,110,0.6327,0.7708,1.0,30.18,21301,1
128823274,46,134,0.3502,0.5895,0.4083,20.26,21302,1
128823607,113,326,0.22,0.4074,1.0,16.89,21303,1
128824364,28,139,0.4833,0.4998,3.0,25.46,21304,1
128826073,166,641,0.3563,0.3979,1.0,19.62,21305,1
128826128,54,134,0.5253,0.5698,1.0,25.69,21306,1
128826270,287,881,0.5333,0.6604,1.0,27.13,21307,1
128833569,54,166,0.5167,0.7835,1.0,25.43,21308,1
128834103,128,352,0.4124,0.66,0.6667,23.23,21309,1
128834150,49,110,0.5417,0.6275,1.0,26.14,21310,1
128834816,40,107,0.5213,0.601,1.25,27.65,21311,1
128835920,76,146,0.6366,0.6667,1.0,33.63,21312,1
128836086,297,606,0.413,0.4655,1.0,22.34,21313,1
128836260,52,152,0.3579,0.4404,1.0,20.71,21314,1
128837136,67,140,0.5893,0.64,1.0,28.94,21315,1
128837168,64,371,0.6485,0.8599,0.873,32.88,21316,1
128838104,55,113,0.4808,0.5532,1.0,24.89,21317,1
128838786,2398,4619,0.58,0.7059,1.0,28.75,21318,1
128838869,237,1882,0.3125,0.5,1.0,16.22,21319,1
128839431,29,111,0.3333,0.4821,1.0,20.31,21320,1
128839548,13,110,0.1961,0.3125,1.0,12.92,21321,1
128840591,1699,3607,0.5319,0.62,1.0,26.93,21322,1
128840765,266,1457,0.4949,0.6804,1.0,24.64,21323,1
128842105,79,241,0.4375,0.5636,1.0,24.2,21324,1
128842157,708,17136,0.617,0.7843,3.25,29.92,21325,1
128842247,567,1884,0.4643,0.6122,1.0,24.8,21326,1
128842281,236,3310,0.57,0.8267,1.4,29.15,21327,1
128842549,113,358,0.4792,0.6275,1.0,23.87,21328,1
128844998,102,142,0.4769,0.6078,1.0,24.99,21329,1
128845847,1022,1177,0.5352,0.551,1.0,26.35,21330,1
128847476,36,130,0.5781,0.6333,1.0,29.25,21331,1
128848680,55,200,0.6863,0.7347,1.0,32.51,21332,1
128849640,74,139,0.5364,0.5581,1.0,25.57,21333,1
128850323,189,868,0.5227,0.6531,1.0,26.54,21334,1
128853297,314,15570,0.3469,0.617,3.722,19.14,21335,1
128855030,1502,2288,0.5532,0.6731,1.0,28.79,21336,1
128855266,22,150,0.4847,0.6763,1.0,25.45,21337,1
128856267,103,672,0.5098,0.6,1.0,25.33,21338,1
128856556,65,357,0.7647,0.8235,1.0,35.63,21339,1
128857386,114,135,0.5,0.5436,1.0,25.28,21340,1
128863245,200,477,0.3936,0.6346,1.0,21.92,21341,1
128864625,1142,2183,0.4792,0.551,1.0,25.37,21342,1
128864739,132,341,0.4482,0.5104,1.0,23.71,21343,1
128867564,9,196,0.5745,0.6735,7.0,30.0,21344,1
128870015,17,150,0.4808,0.6863,1.0,23.47,21345,1
128871155,91,105,0.6596,0.6667,1.0,31.4,21346,1
128876588,46,145,0.6058,0.625,1.0,28.33,21347,1
128876940,107,1349,0.5,0.7708,1.3333,25.73,21348,1
128877905,36,839,0.4545,0.6878,1.9091,22.75,21349,1
128878265,16,113,0.52,0.6697,1.0,24.75,21350,1
128880436,692,2428,0.4526,0.5385,1.0,24.18,21351,1
128883540,138,333,0.4444,0.5772,1.0,24.75,21352,1
128883756,41,196,0.5918,0.7059,1.0,30.8,21353,1
128888068,2681,37448,0.6667,1.0,1.0,32.72,21354,1
128888960,34,165,0.6152,0.7916,1.0,27.62,21355,1
128889602,4,114,0.3474,1.0,0.9868,20.25,21356,1
128890231,74,381,0.49,0.6563,1.0,25.19,21357,1
128890277,108,279,0.4764,0.5636,1.0,24.17,21358,1
128891301,115,166,0.5556,0.6087,1.0,28.91,21359,1
128893306,30,623,0.7071,0.745,2.2188,31.47,21360,1
128893824,45,999,0.5208,0.6471,4.75,27.44,21361,1
128894333,71,115,0.52,0.5714,1.0,24.87,21362,1
128894689,1252,4116,0.4902,0.6796,1.0,25.87,21363,1
128894699,33,100,0.6852,0.7925,1.0,32.64,21364,1
128895057,28,127,0.5096,0.6352,0.5357,22.32,21365,1
128900354,13,185,0.4615,0.587,2.0714,22.23,21366,1
128904333,54,347,0.3506,0.5264,1.0,20.22,21367,1
128906807,356,807,0.5401,0.5841,1.0,26.36,21368,1
128908989,108,295,0.6796,0.8218,1.0,34.81,21369,1
128909659,6,100,0.3742,0.5066,1.8532,17.67,21370,1
128910827,1090,5939,0.1489,0.2553,1.0,11.58,21371,1
128911836,45,149,0.7826,0.8,1.0,34.93,21372,1
128913521,2087,14202,0.4375,0.7451,1.0,23.18,21373,1
128915554,22,102,0.304,0.4071,1.2667,20.68,21374,1
128915576,448,16861,0.7447,1.0,3.5,35.69,21375,1
128915883,20,120,0.5053,0.6633,1.0,25.9,21376,1
128916750,26,287,0.3853,0.6773,1.0,20.46,21377,1
128917756,103,861,0.3878,0.6522,1.0,20.49,21378,1
128918377,2238,4832,0.3617,0.5106,1.0,20.23,21379,1
128920689,1353,5639,0.3529,0.5217,1.0,20.04,21380,1
128922243,184,2627,0.2609,0.5835,0.9286,14.4,21381,1
128923716,37,339,0.44,0.6327,3.0,24.51,21382,1
128924640,3180,7798,0.5106,0.6863,1.0,26.34,21383,1
128924710,16,155,0.4408,0.4914,3.0833,26.44,21384,1
128927168,28,109,0.5941,0.6349,1.0,28.71,21385,1
128928341,115,509,0.6875,0.82,1.0,33.75,21386,1
128931513,13,100,0.5625,0.7609,1.0,27.69,21387,1
128932551,27,311,0.54,0.617,2.0,24.93,21388,1
128934079,72,108,0.5826,0.5826,1.0,26.68,21389,1
128934382,102,382,0.6923,0.7959,1.0,34.12,21390,1
128934417,102,171,0.5329,0.6526,1.0,27.65,21391,1
128935627,18,318,0.5447,0.6559,2.1909,25.72,21392,1
128939735,9,133,0.4894,0.8,1.0,27.78,21393,1
128941155,630,1113,0.4904,0.5377,1.0,25.62,21394,1
128943123,23,265,0.2593,0.6531,0.8571,14.48,21395,1
128943149,146,559,0.6531,0.7745,1.0,32.18,21396,1
128943996,674,1122,0.1275,0.2,1.0,12.25,21397,1
128945941,224,273,0.4666,0.4815,1.0,24.12,21398,1
128945958,1,121,0.1489,0.8723,3.4571,7.0,21399,1
128948020,7,196,0.5745,0.9362,2.15,29.43,21400,1
128948219,97,485,0.5,0.6275,1.0,25.24,21401,1
128948623,302,5434,0.4953,0.6567,1.0,25.62,21402,1
128949531,59,173,0.4255,0.4898,1.0,23.39,21403,1
