table_id,table_flag,n_shoes,n_shoes_old,n_shoes_delta,avg_max_round,avg_max_round_old,avg_maxround_inflation,sd_max_round,min_max_round,ceiling_observed,ceiling_old,p50_max_round,p90_max_round,p99_max_round,collision_flag,n_stub_shoes,avg_gap,avg_n_bettors,avg_bets_per_round,round_at_pos080,corr_len_density,corr_density_lo95,corr_density_hi95,corr_density_verdict,corr_len_bettors,corr_bettors_lo95,corr_bettors_hi95,audit_rn,batch_id
900,正常,72,70,2,55.5556,56.3857,0.8302,6.5109,5,62,62,56.0,59.0,61.56,—,1,2.0278,158.9722,11.7433,44.44,0.185927,-0.047801,0.400351,CI 跨 0：方向不可读,0.315099,0.090001,0.50957,1,1
912,正常,3338,3236,102,51.5093,52.2648,0.7555,6.3156,1,110,110,52.0,56.0,59.0,碰撞可疑,13,3.0219,111.4862,8.3291,41.21,0.077431,0.043619,0.111065,CI > 0：低估假说得证,0.277026,0.245407,0.308057,2,1
910,正常,3376,3281,95,51.4449,52.224,0.7791,6.5355,1,62,62,52.0,56.0,59.0,—,14,2.8392,114.6179,8.5174,41.16,0.083922,0.05033,0.117324,CI > 0：低估假说得证,0.304894,0.273977,0.335181,3,1
903,正常,3366,3262,104,51.437,52.1453,0.7083,6.0414,1,62,62,52.0,56.0,59.0,—,7,2.3229,137.6889,10.6248,41.15,0.078773,0.045109,0.112259,CI > 0：低估假说得证,0.282097,0.250702,0.3129,4,1
908,正常,3377,3275,102,51.4347,52.189,0.7543,6.333,1,63,63,52.0,56.0,59.0,—,13,2.7335,119.9446,8.9459,41.15,0.091885,0.058337,0.125227,CI > 0：低估假说得证,0.294231,0.263113,0.324738,5,1
906,正常,3387,3285,102,51.4234,52.1132,0.6899,6.0527,1,64,64,52.0,56.0,59.0,—,6,2.6053,126.7089,9.5676,41.14,0.061358,0.027736,0.094842,CI > 0：低估假说得证,0.281741,0.250438,0.312456,6,1
911,正常,3349,3245,104,51.3362,52.1393,0.8031,6.6489,1,65,65,52.0,56.0,59.0,—,19,2.9689,112.3389,8.4083,41.07,0.104493,0.070873,0.137875,CI > 0：低估假说得证,0.31447,0.283621,0.344669,7,1
905,正常,3367,3260,107,51.3231,52.1739,0.8508,6.6779,1,62,62,52.0,56.0,59.0,—,18,2.4728,130.4859,9.8446,41.06,0.111635,0.078151,0.144869,CI > 0：低估假说得证,0.317243,0.286534,0.347301,8,1
909,正常,3370,3268,102,51.3208,52.0823,0.7615,6.2283,1,62,62,52.0,56.0,59.0,—,11,2.8591,117.5487,8.8864,41.06,0.075863,0.042206,0.109347,CI > 0：低估假说得证,0.280013,0.248599,0.310839,9,1
913,正常,3289,3193,96,51.1614,51.9258,0.7643,6.5245,1,64,64,52.0,56.0,59.0,—,17,2.9082,110.5564,8.4145,40.93,0.10166,0.067717,0.135367,CI > 0：低估假说得证,0.302043,0.27066,0.332786,10,1
