dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,audit_rn,batch_id
2026-06-17,905,1265176,5,1,5,0,5,12,残靴：截断／换荷官／开收台可疑,87.0,53,1
2026-06-18,910,1266037,5,2,4,1,8,19,残靴：截断／换荷官／开收台可疑,87.0,54,1
2026-06-19,906,1266796,5,1,5,0,24,35,残靴：截断／换荷官／开收台可疑,87.0,55,1
2026-06-22,902,1269061,5,1,5,0,7,14,残靴：截断／换荷官／开收台可疑,87.0,56,1
2026-06-22,906,1269059,5,2,4,1,8,22,残靴：截断／换荷官／开收台可疑,87.0,57,1
2026-06-22,908,1269060,5,1,5,0,5,12,残靴：截断／换荷官／开收台可疑,87.0,58,1
2026-06-23,901,1269872,5,1,5,0,14,30,残靴：截断／换荷官／开收台可疑,87.0,59,1
2026-06-24,909,1270751,5,1,4,1,9,18,残靴：截断／换荷官／开收台可疑,87.0,60,1
2026-06-25,33,114688850,5,1,5,0,10,24,残靴：截断／换荷官／开收台可疑,87.0,61,1
2026-06-26,116,114689979,5,1,5,0,43,86,残靴：截断／换荷官／开收台可疑,87.0,62,1
2026-06-26,31,114689977,5,1,5,0,14,28,残靴：截断／换荷官／开收台可疑,87.0,63,1
2026-06-30,115,114694390,5,1,5,0,35,55,残靴：截断／换荷官／开收台可疑,87.0,64,1
2026-07-02,32,114696751,5,3,3,2,14,21,残靴：截断／换荷官／开收台可疑,87.0,65,1
2026-07-05,909,1280277,5,1,4,1,4,6,残靴：截断／换荷官／开收台可疑,87.0,66,1
2026-07-07,32,114702491,5,1,5,0,22,35,残靴：截断／换荷官／开收台可疑,87.0,67,1
2026-07-11,112,114706975,5,1,5,0,51,97,残靴：截断／换荷官／开收台可疑,87.0,68,1
2026-07-12,33,114707948,5,1,5,0,8,18,残靴：截断／换荷官／开收台可疑,87.0,69,1
2026-07-12,909,1286692,5,1,5,0,5,9,残靴：截断／换荷官／开收台可疑,87.0,70,1
2026-07-16,912,1290404,5,1,5,0,8,14,残靴：截断／换荷官／开收台可疑,87.0,71,1
2026-07-18,913,1292138,5,1,5,0,6,8,残靴：截断／换荷官／开收台可疑,87.0,72,1
2026-07-20,913,1293803,5,3,3,2,10,16,残靴：截断／换荷官／开收台可疑,87.0,73,1
2026-07-21,36,114717966,5,1,5,0,10,17,残靴：截断／换荷官／开收台可疑,87.0,74,1
2026-07-22,36,114719074,5,1,5,0,11,20,残靴：截断／换荷官／开收台可疑,87.0,75,1
2026-07-22,909,1295535,5,1,5,0,8,17,残靴：截断／换荷官／开收台可疑,87.0,76,1
2026-07-24,8,114721357,5,1,5,0,17,29,残靴：截断／换荷官／开收台可疑,87.0,77,1
2026-07-24,902,1297314,5,3,3,2,4,6,残靴：截断／换荷官／开收台可疑,87.0,78,1
2026-07-26,31,114723466,5,1,5,0,8,21,残靴：截断／换荷官／开收台可疑,87.0,79,1
2026-07-29,35,114726858,5,1,5,0,18,49,残靴：截断／换荷官／开收台可疑,87.0,80,1
2026-07-29,901,12101402,5,1,5,0,9,12,残靴：截断／换荷官／开收台可疑,87.0,81,1
2026-07-29,905,12101404,5,1,5,0,3,8,残靴：截断／换荷官／开收台可疑,87.0,82,1
2026-07-30,32,114727985,5,1,5,0,21,33,残靴：截断／换荷官／开收台可疑,87.0,83,1
2026-08-03,912,12105288,5,2,3,2,4,5,残靴：截断／换荷官／开收台可疑,87.0,84,1
