uid,n_orders_all,n_orders_late,late_def,late_share,shoe_pos_p50,stake_late_avg,stake_early_avg,stake_ramp,roi_late,roi_early,stake_late,game_pnl_late,stake_all,game_pnl_all,audit_rn,batch_id
139849308,4398,4304,shoe_pos>=0.80,0.9786266,1.0,77.309005281138,42.890232572327,1.802485103124,0.003822460649,-0.082939135006,332737.9587300158,1271.8777536427,336769.6405918145,937.4935474069,1,1
136583726,1061,1013,shoe_pos>=0.80,0.9547597,1.0,81.034693507241,30.646842605638,2.644144930360,-0.076650297364,-0.012366909986,82088.1445228355,-6292.0806877085,83559.1929679061,-6310.2730114144,2,1
102110834,1084,1031,shoe_pos>=0.80,0.9511070,0.9591836929321289,9.993125365537,9.813197170326,1.018335328649,-0.288740029606,-0.019149271974,10302.9122518690,-2974.8631886354,10823.0117018963,-2984.8227144575,3,1
149089517,108,102,shoe_pos>=0.80,0.9444444,0.918367326259613,18.305204447056,17.014370599200,1.075867269984,-0.074505818029,0.275641025641,1867.1308535997,-139.1121116152,1969.2170771949,-110.9729602396,4,1
148908554,104,98,shoe_pos>=0.80,0.9423077,0.8878406882286072,17.949438171753,14.546834482333,1.233906812754,0.225023939455,-0.528985507246,1759.0449408318,395.8272222647,1846.3259477258,349.6568345599,5,1
144575854,113,106,shoe_pos>=0.80,0.9380531,0.924838125705719,5.827757714329,3.686441793729,1.580862533688,-0.219906223359,0.166326530613,617.7423177189,-135.8453800985,643.5474102750,-131.5533085815,6,1
147329143,114,104,shoe_pos>=0.80,0.9122807,0.8799999952316284,2.697513557912,2.200897966400,1.225642260156,-0.206883644013,-1.000000000000,280.5414100228,-58.0394292020,302.5503896868,-80.0484088660,7,1
148821841,180,163,shoe_pos>=0.80,0.9055556,0.9318181872367859,5.094690230807,4.700128106394,1.083947100054,-0.169966996699,0.050131926122,830.4345076215,-141.1464592157,910.3366854302,-137.1408091408,8,1
153622434,109,98,shoe_pos>=0.80,0.8990826,0.9056603908538818,7.679471757717,6.102383919745,1.258437990581,-0.037907375643,0.676923076923,752.5882322563,-28.5286448248,819.7144553735,16.9106446699,9,1
147390253,139,124,shoe_pos>=0.80,0.8920863,0.8888888955116272,10.224729209541,12.564458288620,0.813781937483,0.124098379344,0.583333333333,1267.8664219831,157.3401681925,1456.3332963124,267.2791782178,10,1
149880884,624,556,shoe_pos>=0.80,0.8910256,0.9166666865348816,23.257184610449,21.809374942057,1.066384739234,-0.134530036713,-0.101274787535,12930.9946434098,-1739.6071841087,14414.0321394697,-1889.8014914281,11,1
