mem,mark_day,标记日_注单数,标记日_洗码量,前30日均_注单数,前30日均_洗码量,前30日活跃日数,audit_rn,batch_id
150757399,2026-06-03,1665,4311092.0,218.0,432797.25,4,1,1
26979969,2026-03-24,528,2533600.0,1192.0,5454700.0,1,2,1
54161451,2026-03-25,265,1170152.0,139.0,387880.0,2,3,1
99956136,2026-04-01,792,1087178.0,59.0,7528.8,5,4,1
146554769,2026-03-25,2102,889352.0,3427.5,1295877.5,2,5,1
118364215,2026-04-09,716,470367.0,,,0,6,1
133715630,2026-07-16,170,460500.0,76.66666666666667,109090.0,6,7,1
125894801,2026-08-04,615,362070.0,1131.5,572807.5,4,8,1
131273794,2026-07-23,722,273096.5,284.6,91122.1,5,9,1
148859740,2026-04-29,4,200000.0,91.88888888888889,3274277.777777778,9,10,1
151965157,2026-07-21,181,179500.0,100.5,74896.25,8,11,1
137215692,2026-05-28,258,175200.0,208.0,45700.0,3,12,1
153237518,2026-07-22,415,168800.0,317.5,53736.5,2,13,1
148066898,2026-04-03,512,163600.0,338.0,93900.0,2,14,1
25915691,2026-05-31,133,160315.0,61.3,53423.1,30,15,1
135539725,2026-04-12,112,151708.0,11.25,14612.5,4,16,1
152728156,2026-07-10,919,146930.0,319.0,44537.5,2,17,1
151035848,2026-07-03,596,141220.0,98.4,19631.4,5,18,1
149136389,2026-05-10,192,132800.0,454.0,538450.0,5,19,1
145014743,2026-04-02,148,129602.0,,,0,20,1
153797184,2026-08-05,892,114900.0,610.0,65975.0,2,21,1
122357156,2026-04-04,247,111417.0,107.8,27689.2,5,22,1
143810375,2026-07-05,515,107574.0,157.5,14698.333333333334,30,23,1
29787939,2026-04-09,106,107083.0,53.6,33818.2,10,24,1
121664445,2026-04-02,230,106382.0,4.333333333333333,610.0,3,25,1
46270606,2026-03-25,85,102856.0,26.0,11563.0,2,26,1
152341062,2026-07-03,658,101925.0,614.0,75395.5,2,27,1
153697863,2026-08-05,332,97414.0,403.75,48610.25,4,28,1
81938363,2026-05-30,47,94700.0,52.13333333333333,140377.06666666668,30,29,1
147273190,2026-03-24,843,80720.0,471.0,42208.0,1,30,1
121660530,2026-05-30,207,78993.0,16.333333333333332,3075.3333333333335,3,31,1
132238613,2026-03-25,28,76959.0,44.0,237953.0,3,32,1
108879489,2026-06-24,70,76906.0,90.5,73206.25,4,33,1
146561555,2026-04-10,381,69600.0,140.0,34925.0,2,34,1
146490625,2026-04-10,379,68950.0,139.0,34025.0,2,35,1
147281826,2026-04-12,112,45112.0,62.0,49545.0,4,36,1
134896269,2026-05-02,904,40764.0,245.0,11121.42857142857,7,37,1
94959765,2026-07-11,95,40166.0,50.35294117647059,19645.41176470588,17,38,1
128748997,2026-06-16,142,39340.0,29.454545454545453,7174.909090909091,11,39,1
149271569,2026-07-14,766,38945.0,87.5,8521.25,4,40,1
82035894,2026-03-25,46,38320.0,21.5,16529.0,2,41,1
122885877,2026-05-01,389,34400.0,293.10526315789474,25912.63157894737,19,42,1
151674168,2026-07-09,206,34214.0,70.0,16916.333333333332,6,43,1
127954107,2026-05-06,272,34118.0,47.583333333333336,3388.0833333333335,12,44,1
119794081,2026-07-09,47,32200.0,29.208333333333332,33155.833333333336,24,45,1
117925742,2026-04-24,76,30817.0,21.217391304347824,8308.08695652174,23,46,1
134992043,2026-03-24,87,29380.0,35.0,6313.333333333333,3,47,1
111829744,2026-05-19,206,28730.0,68.5,12094.166666666666,18,48,1
146882725,2026-03-24,237,28000.0,136.0,21093.333333333332,3,49,1
149126116,2026-06-16,231,27059.0,160.25,13448.5,8,50,1
114981951,2026-03-24,90,26100.0,50.5,13700.0,2,51,1
118807103,2026-06-12,61,22980.0,41.5,8929.357142857143,14,52,1
152769773,2026-08-01,319,22235.0,95.92307692307692,10592.307692307691,13,53,1
145870516,2026-04-12,129,19987.0,96.5625,10822.3125,16,54,1
60851647,2026-07-29,273,19532.0,52.333333333333336,3462.777777777778,18,55,1
143826039,2026-04-26,398,18150.0,214.4,9800.0,5,56,1
146908761,2026-04-03,113,16597.0,57.375,4891.5,8,57,1
116279256,2026-03-25,86,16500.0,19.0,3600.0,1,58,1
129118209,2026-03-25,241,15637.0,74.0,8574.5,4,59,1
139387448,2026-07-01,52,15049.0,73.86363636363636,6226.727272727273,22,60,1
146975331,2026-05-11,207,14025.0,231.43333333333334,8532.0,30,61,1
151317638,2026-06-16,90,13273.0,449.3333333333333,89428.33333333333,3,62,1
3657903,2026-03-28,72,12933.0,36.0,4944.0,6,63,1
142696398,2026-05-10,49,12780.0,33.90909090909091,13071.818181818182,22,64,1
148591206,2026-04-28,147,12140.0,78.44444444444444,5361.444444444444,9,65,1
103320632,2026-07-10,19,11702.0,51.285714285714285,26827.571428571428,14,66,1
75324084,2026-03-31,246,10197.0,108.83333333333333,6108.333333333333,6,67,1
119978627,2026-08-03,534,9018.0,287.9259259259259,9711.703703703704,27,68,1
121760403,2026-03-24,159,8570.0,183.0,10525.0,2,69,1
149482404,2026-05-26,267,8527.0,131.3684210526316,9125.868421052632,19,70,1
122640657,2026-03-24,280,7607.0,133.0,2709.6666666666665,3,71,1
151885236,2026-06-29,1072,7475.0,713.8333333333334,9761.333333333334,6,72,1
52169523,2026-04-01,122,7433.0,59.5,4255.75,4,73,1
125555111,2026-05-01,56,7303.0,208.77777777777777,39441.74074074074,27,74,1
142590695,2026-03-28,375,6818.5,76.28571428571429,1554.2857142857142,7,75,1
147798144,2026-03-26,374,6475.0,,,0,76,1
80499351,2026-04-12,94,6350.0,471.77272727272725,52295.045454545456,22,77,1
119978329,2026-04-10,306,6259.0,138.61111111111111,8961.222222222223,18,78,1
153012236,2026-08-04,195,6209.0,460.2,27896.4,10,79,1
142411657,2026-05-05,73,5479.0,63.55555555555556,5937.333333333333,9,80,1
111767212,2026-08-03,258,5471.0,146.6,3060.0,5,81,1
147771170,2026-04-07,138,4730.0,187.0,12233.444444444445,9,82,1
145954679,2026-03-25,12,4550.0,28.5,6040.0,2,83,1
106593553,2026-04-26,250,4364.0,81.96296296296296,2718.1481481481483,27,84,1
42825065,2026-04-16,28,3800.0,91.33333333333333,9375.0,3,85,1
145958898,2026-03-26,187,3780.0,14.0,181.0,1,86,1
146804998,2026-03-24,79,3738.0,429.0,20798.0,2,87,1
117578673,2026-04-11,49,3584.0,195.65,17776.35,20,88,1
81775620,2026-03-25,130,3520.0,85.0,2944.0,3,89,1
83095108,2026-03-24,105,3468.0,281.5,8343.5,2,90,1
116388530,2026-03-26,143,3313.0,160.33333333333334,2375.0,3,91,1
146289614,2026-04-12,42,2305.0,108.9,4509.85,20,92,1
31852622,2026-03-24,130,2223.0,76.5,1342.0,2,93,1
135936074,2026-03-26,48,2210.0,17.333333333333332,1056.6666666666667,3,94,1
146120470,2026-04-22,84,1640.0,26.52173913043478,377.0869565217391,23,95,1
129120952,2026-03-25,172,1544.0,,,0,96,1
119052847,2026-04-12,98,1244.0,280.35714285714283,11796.0,14,97,1
108547958,2026-05-20,6,986.0,116.25,46498.25,4,98,1
124396429,2026-06-22,35,520.5,69.11111111111111,1573.0555555555557,18,99,1
119978108,2026-03-26,37,453.0,272.3333333333333,10946.666666666666,3,100,1
113331857,2026-07-14,6,416.0,79.16,9647.84,25,101,1
129271465,2026-04-11,2,200.0,91.0,59873.0,3,102,1
119978704,2026-05-27,17,193.0,187.07692307692307,7072.307692307692,13,103,1
151349025,2026-06-13,6,160.0,386.0,229813.5,2,104,1
24331720,2026-06-20,13,110.0,1.75,260.0,4,105,1
124408255,2026-06-05,0,0.0,272.0,230053.5,2,106,1
126420941,2026-05-30,0,0.0,306.2,6308.6,5,107,1
137711836,2026-03-25,0,0.0,86.5,9546.5,4,108,1
140243772,2026-05-24,0,0.0,24.142857142857142,6249.5,14,109,1
144709469,2026-04-17,0,0.0,77.25,6075000.0,4,110,1
144887581,2026-04-03,0,0.0,226.0,13048.0,1,111,1
146786885,2026-03-24,0,0.0,79.0,56800.0,1,112,1
147001485,2026-08-04,0,0.0,1042.0,91687.375,8,113,1
147739764,2026-03-25,0,0.0,88.0,14162.0,1,114,1
147763395,2026-03-26,0,0.0,231.0,11877.0,1,115,1
149760718,2026-06-12,0,0.0,75.2,37304.0,5,116,1
151254619,2026-07-09,0,0.0,152.77777777777777,15622.666666666666,9,117,1
