cohort,phase,n_members,n_bets,n_dates,sum_stake,sum_validbet,sum_revenue,hold_pct,roi,revenue_per_member,share_of_stake_pct,share_of_revenue_pct,audit_rn,batch_id
TREATED,POST,90,363348,138,283373030.80,256548910.82,4383861.68,1.708782,-0.015470,48709.57,2.109043,1.872221,1,1
TREATED,PRE,167,300211,138,160159514.63,141755210.25,-51921.35,-0.036627,0.000324,-310.91,1.192010,-0.022174,2,1
UNTREATED,NA,723256,124049984,139,12992560927.90,11703241043.57,229821016.77,1.963738,-0.017689,317.76,96.698947,98.149953,3,1
