member_id,treat_time,treat_field,n_treat_events,n_pre,n_post,d_pre,d_post,stake_pre,stake_post,d_stake,d_validbet,d_revenue,hold_pre_pct,hold_post_pct,d_hold_pct,roi_pre,roi_post,d_roi,d_bets_per_day,verdict_exposure,audit_rn,batch_id
148628640,2026-04-19 21:52:13,mem017,1,2325,0,5,0,1542089.53,0.00,-1542089.53,-1385441.03,-26382.90,1.904296,,,-0.017109,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,31,1
151524197,2026-07-13 12:47:33,mem017,1,4703,0,27,0,584834.56,0.00,-584834.56,-543812.69,-25638.25,4.714537,,,-0.043838,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,32,1
151130093,2026-06-15 16:09:21,mem016,2,3669,0,5,0,860461.92,0.00,-860461.92,-759827.32,-25038.85,3.295335,,,-0.029099,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,33,1
148885335,2026-05-20 22:28:16,mem015,1,258,136,4,4,235688.78,108620.65,-127068.14,-110494.25,-24456.17,10.117734,-3.603680,-13.721414,-0.088970,0.032101,0.121072,-30.5000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,34,1
88880754,2026-05-18 06:53:04,mem015,4,1106,765,11,4,441777.23,1373013.55,931236.31,796175.82,-24050.36,-14.089609,-6.759013,7.330596,0.129490,0.059181,-0.070309,90.7045,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,35,1
152681345,2026-07-08 23:54:23,mem016,3,197,0,2,0,168600.88,0.00,-168600.88,-157585.55,-21657.93,13.743602,,,-0.128457,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,36,1
151133045,2026-06-15 00:00:55,mem015,7,52,322,1,2,42964.95,117460.64,74495.69,64314.25,-21170.30,33.788436,-6.992689,-40.781124,-0.321520,0.062627,0.384147,109.0000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,37,1
151517928,2026-06-22 18:59:39,mem016,2,261,0,1,0,274675.36,0.00,-274675.36,-239448.28,-20721.33,8.653783,,,-0.075439,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,38,1
143813494,2026-05-20 22:27:35,mem015,1,669,0,14,0,309128.74,0.00,-309128.74,-286010.71,-19606.43,6.855139,,,-0.063425,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,39,1
149182677,2026-05-04 00:12:40,mem016,1,6687,0,8,0,1741865.37,0.00,-1741865.37,-1430458.32,-19474.91,1.361446,,,-0.011180,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,40,1
151944138,2026-07-06 19:48:40,mem016,2,5550,0,8,0,1554271.28,0.00,-1554271.28,-1347333.79,-19305.82,1.432891,,,-0.012421,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,41,1
153039458,2026-07-20 18:56:45,mem016,2,131,0,1,0,119026.25,0.00,-119026.25,-109756.56,-17325.87,15.785724,,,-0.145563,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,42,1
150535312,2026-06-01 15:02:44,mem016,2,1370,0,4,0,333126.75,0.00,-333126.75,-306590.43,-17281.34,5.636620,,,-0.051876,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,43,1
150867905,2026-06-08 00:01:56,mem017,1,2377,0,2,0,981669.83,0.00,-981669.83,-887903.64,-17268.17,1.944825,,,-0.017591,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,44,1
152272486,2026-07-13 19:45:01,mem016,2,8834,0,10,0,2362903.95,0.00,-2362903.95,-2069707.41,-16994.60,0.821111,,,-0.007192,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,45,1
150273180,2026-05-25 15:22:41,mem016,2,236,0,1,0,145460.89,0.00,-145460.89,-133676.68,-15712.29,11.753951,,,-0.108017,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,46,1
151665636,2026-06-22 18:59:55,mem016,2,3136,0,3,0,346782.94,0.00,-346782.94,-319412.88,-15109.65,4.730446,,,-0.043571,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,47,1
151371945,2026-06-15 21:01:50,mem016,2,197,0,1,0,227654.98,0.00,-227654.98,-208659.99,-13814.54,6.620598,,,-0.060682,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,48,1
148926718,2026-05-04 11:35:21,mem015,2,871,0,6,0,538835.63,0.00,-538835.63,-473854.54,-13121.54,2.769107,,,-0.024352,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,49,1
143748419,2026-05-21 00:02:42,mem015,1,215,0,24,0,156434.15,0.00,-156434.15,-142467.64,-12496.15,8.771218,,,-0.079881,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,50,1
