内容前40字,n,涉实体数,最早,最晚,其中层级7数,audit_rn,batch_id
mem015:2=>0;mem017:N=>Y;,18843,5647,2020-03-19 19:57:13,2026-08-22 20:40:45,18843,1,1
mem015:0=>1;mem017:Y=>N;,12880,9395,2020-03-19 23:21:33,2026-08-23 23:42:42,12880,2,1
mem015:1=>0;mem017:N=>Y;,9896,6242,2020-03-20 00:42:59,2026-08-22 01:13:39,9896,3,1
age016:Y=>N;,7810,7093,2017-10-11 15:33:01,2026-08-23 12:59:47,0,4,1
mem016:Y=>N;,7552,5581,2017-08-10 15:49:46,2026-08-18 22:44:43,7552,5,1
mem020 Y=>N;,6608,1,2020-03-20 16:31:31,2026-08-23 18:06:47,6608,6,1
age015:Y=>N;,5390,4997,2017-10-11 15:32:56,2026-08-23 22:21:48,0,7,1
mem016:N=>Y;,5251,3400,2017-08-10 15:50:17,2026-08-21 22:15:19,5251,8,1
age016:N=>Y;,2984,2566,2018-05-08 21:33:03,2026-08-23 12:16:40,0,9,1
age015:N=>Y;,2149,1931,2018-05-08 21:32:29,2026-08-23 12:16:54,0,10,1
mem017:N=>Y;,162,154,2017-08-10 15:47:33,2026-08-14 17:45:32,162,11,1
mem017:Y=>N;,17,17,2017-08-10 15:48:40,2026-04-01 11:12:17,17,12,1
chkLock Y=>N;,9,6,2020-08-25 17:19:54,2023-04-23 08:14:38,0,13,1
mem015:0=>1;mem017:Y=>N;cash:1836950.500,1,1,2021-07-22 04:21:43,2021-07-22 04:21:43,1,14,1
mem015:0=>1;mem017:Y=>N;cash:1904048.500,1,1,2021-01-04 01:48:16,2021-01-04 01:48:16,1,15,1
mem015:0=>1;mem017:Y=>N;cash:39309.5000=,1,1,2021-07-22 19:05:28,2021-07-22 19:05:28,1,16,1
mem015:0=>1;mem017:Y=>N;cash:644161.0000,1,1,2021-07-20 02:08:04,2021-07-20 02:08:04,1,17,1
mem015:1=>0;mem017:N=>Y;cash:32739.0000=,1,1,2021-01-08 04:19:15,2021-01-08 04:19:15,1,18,1
mem015:1=>0;mem017:N=>Y;cash:523476.0000,1,1,2021-01-06 22:18:32,2021-01-06 22:18:32,1,19,1
mem015:1=>0;mem017:N=>Y;cash:539134.0000,1,1,2021-01-08 22:35:17,2021-01-08 22:35:17,1,20,1
mem015:1=>0;mem017:N=>Y;cash:61976.0000=,1,1,2021-01-07 23:20:23,2021-01-07 23:20:23,1,21,1
mem015:1=>0;mem017:N=>Y;cash:928576.0000,1,1,2021-01-08 23:11:32,2021-01-08 23:11:32,1,22,1
mem015:1=>0;mem017:N=>Y;cash:972376.0000,1,1,2021-01-07 01:58:41,2021-01-07 01:58:41,1,23,1
mem015:2=>0;mem017:N=>Y;cash:10000.5000=,1,1,2021-07-16 00:30:46,2021-07-16 00:30:46,1,24,1
mem015:2=>0;mem017:N=>Y;cash:11000.0000=,1,1,2021-11-05 15:11:45,2021-11-05 15:11:45,1,25,1
mem015:2=>0;mem017:N=>Y;cash:11700.0000=,1,1,2021-05-25 21:10:11,2021-05-25 21:10:11,1,26,1
mem015:2=>0;mem017:N=>Y;cash:12400.0000=,1,1,2022-07-25 21:41:36,2022-07-25 21:41:36,1,27,1
mem015:2=>0;mem017:N=>Y;cash:12800.0000=,1,1,2021-11-17 21:27:35,2021-11-17 21:27:35,1,28,1
