dt,n_orders,n_members,stake_sum,validbet_sum,ggr_sum,late_stake_share,stake_ramp_day,hold_pct,audit_rn,batch_id
2026-05-03,823420,17639,82414823.2966,74632799.7599,1083186.4096,0.228326,0.979261,1.314310,44,1
2026-05-04,931538,19631,105167881.9438,95277468.0672,2618629.0231,0.219570,0.941685,2.489951,45,1
2026-05-05,1064901,24765,107701696.8593,97173325.7548,1056447.3440,0.226122,0.975563,0.980901,46,1
2026-05-06,992727,20916,106223512.8416,94855075.2703,2154927.5588,0.224180,0.962100,2.028673,47,1
2026-05-07,973558,19870,99177130.2834,89546231.1107,1571288.0006,0.223302,0.938082,1.584325,48,1
2026-05-08,1002713,21101,109901649.4214,99098450.0769,1018127.0585,0.227108,0.963391,0.926398,49,1
2026-05-09,1003920,21056,98468868.5096,88525756.3167,1248382.9824,0.220529,0.950993,1.267795,50,1
2026-05-10,919893,21003,93518559.6713,78775927.8916,1826051.8821,0.226896,0.976461,1.952609,51,1
2026-05-11,887513,19298,85494374.6278,77329236.3980,1342190.3830,0.213455,0.932890,1.569917,52,1
2026-05-12,963323,23981,95733171.0290,86696069.9760,2311698.3588,0.235881,1.038326,2.414731,53,1
2026-05-13,932672,20100,103105567.3899,93067594.5852,1473994.1552,0.223272,0.940012,1.429597,54,1
2026-05-14,910507,18347,85907654.5066,77484299.5623,1730066.3602,0.217753,0.952901,2.013868,55,1
2026-05-15,947896,19874,90990779.8798,81923160.4605,2264659.8013,0.220635,0.950905,2.488889,56,1
2026-05-16,936889,20446,110244959.4853,99224355.1017,1641851.9066,0.230965,1.005380,1.489276,57,1
2026-05-17,771906,17311,68136143.3793,61462539.9886,1405851.1331,0.218263,0.952838,2.063297,58,1
2026-05-18,815905,17994,85409097.9551,76738559.2382,1731894.7458,0.216270,0.918089,2.027764,59,1
2026-05-19,922853,21225,94058299.1348,85399215.0139,1252367.8293,0.223453,0.977920,1.331480,60,1
2026-05-20,882078,18130,98822176.3665,89116432.6930,1142169.1604,0.212803,0.950179,1.155782,61,1
2026-05-21,832651,17997,80913583.0678,73613557.8521,1824869.1727,0.218099,0.947959,2.255331,62,1
2026-05-22,809659,18000,93997539.8927,84715204.1579,1577812.1262,0.209454,0.936478,1.678567,63,1
2026-05-23,810688,19119,88458421.3522,79914242.1179,952425.4150,0.210725,0.916806,1.076693,64,1
2026-05-24,714054,16348,87894893.0311,79703486.0331,839513.0124,0.230854,1.040772,0.955133,65,1
2026-05-25,679608,16782,88122790.2977,78937341.8777,171306.8064,0.230969,0.974819,0.194396,66,1
2026-05-26,828878,18071,90165426.9852,81229509.7689,1405677.2200,0.222400,0.957188,1.558998,67,1
2026-05-27,818205,17896,85444974.2700,77079332.5923,872489.7809,0.208436,0.895308,1.021113,68,1
2026-05-28,824350,17357,92207188.2070,82847213.5925,1758241.2391,0.228235,1.003905,1.906837,69,1
2026-05-29,939103,18875,98078119.8306,88224088.4821,1289421.3175,0.218687,0.944932,1.314688,70,1
2026-05-30,893677,19018,84206194.9537,76145869.1648,2154867.1498,0.224774,0.972935,2.559036,71,1
2026-05-31,803912,16667,78078465.8712,70178655.1843,1301173.7962,0.246188,1.079047,1.666495,72,1
