risk,orders,n_rows,n_member,first_dt,last_dt,audit_rn,batch_id
0,0,15956651,1438616,2026-03-24,2026-08-24,1,1
1,0,1538,131,2026-03-24,2026-08-24,2,1
0,1,5,1,2026-06-20,2026-06-20,3,1
