ip,n_orders,n_member,first_dt,last_dt,audit_rn,batch_id
103.123.134.132,0,0,,,1,1
103.123.134.248,0,0,,,2,1
103.62.155.203,0,0,,,3,1
103.86.46.125,0,0,,,4,1
111.247.37.68,0,0,,,5,1
111.247.37.71,0,0,,,6,1
111.247.37.85,0,0,,,7,1
111.247.37.88,0,0,,,8,1
111.247.37.89,0,0,,,9,1
111.247.37.90,0,0,,,10,1
116.49.238.62,0,0,,,11,1
118.163.176.123,0,0,,,12,1
155.137.189.124,0,0,,,13,1
175.210.56.225,0,0,,,14,1
183.209.242.59,0,0,,,15,1
223.255.139.4,0,0,,,16,1
60.249.18.108,0,0,,,17,1
8.217.176.31,0,0,,,18,1
