member_id,bet_date,stake,game_pnl,net_pnl,rebate,validbet,n_rounds,n_tables,n_ip,late_def,late_share_d,hedge_rate_d,stake_cv_d,audit_rn,batch_id
100176927,2026-08-04,167.2894983374,-167.2894983374,-167.2894983374,0E-10,167.2894983374,2,1,1,shoe_pos>=0.80,0E-7,0E-7,1.3054279037292709,13,1
100188349,2026-08-05,138.7990948761,-40.3466946823,-40.3466946823,0E-10,138.7990948761,11,5,1,shoe_pos>=0.80,0.0909091,0E-7,0.3187374105179668,14,1
100192885,2026-08-06,3499.6767415542,-1818.1772264423,-1818.1772264423,0E-10,3439.0657830930,33,1,4,shoe_pos>=0.80,0.3939394,0E-7,1.9799657661105312,15,1
100193558,2026-08-04,1746.5902961496,674.2352246166,674.2352246166,0E-10,1361.3130249401,11,3,1,shoe_pos>=0.80,0.2727273,0E-7,0.40807167427994845,16,1
100193558,2026-08-05,653.1734004574,92.1711658489,92.1711658489,0E-10,627.4882490434,19,7,2,shoe_pos>=0.80,0E-7,0E-7,0.9800168570092508,17,1
100193558,2026-08-06,256.0809595973,24.9145968715,24.9145968715,0E-10,230.3958081833,7,2,3,shoe_pos>=0.80,0.5714286,0E-7,1.0736631098253253,18,1
100195412,2026-08-04,58.3885566510,-48.2867302408,-47.9004363989,0.3862938420,48.2867302408,3,3,2,shoe_pos>=0.80,0.3333333,0E-7,0.44652769289344274,19,1
100202389,2026-08-04,43.4378535639,-43.4378535639,-43.4378535639,0E-10,43.4378535639,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,20,1
100202389,2026-08-06,121.2219169226,-60.6109584613,-60.6109584613,0E-10,60.6109584613,2,2,1,shoe_pos>=0.80,0E-7,0E-7,0.0,21,1
100240847,2026-08-04,484.6788071816,165.2967919247,165.2967919247,0E-10,424.3187013588,11,3,1,shoe_pos>=0.80,0.0909091,0E-7,0.24848886935800374,22,1
100240847,2026-08-05,1980.0683225026,180.7464105001,180.7464105001,0E-10,1444.7897670356,28,12,1,shoe_pos>=0.80,0.2142857,0E-7,0.3743648055386716,23,1
100240847,2026-08-06,1347.1861916624,-163.0236560244,-163.0236560244,0E-10,1205.9178588856,21,10,2,shoe_pos>=0.80,0.1904762,0E-7,0.25607164720419706,24,1
100254920,2026-08-06,53.9388179694,-23.5019135438,-23.5019135438,0E-10,53.9388179694,7,3,2,shoe_pos>=0.80,0E-7,0E-7,0.0,25,1
100274098,2026-08-06,6345.6697434086,-928.4326281854,-928.4326281854,0E-10,6124.8509473127,22,12,6,shoe_pos>=0.80,0.2272727,0E-7,0.48814509184557386,26,1
100297360,2026-08-05,13320.0626717696,-1798.7696812474,-1798.7696812474,0E-10,12909.1002491461,55,6,1,shoe_pos>=0.80,0.0363636,0E-7,0.5400167494293588,27,1
100304048,2026-08-06,17.9226475392,-17.9226475392,-17.9226475392,0E-10,17.9226475392,3,2,2,shoe_pos>=0.80,0E-7,0E-7,0.253859309348443,28,1
100317003,2026-08-05,13.9405204461,-13.9405204461,-13.9405204461,0E-10,13.9405204461,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,29,1
100317003,2026-08-06,14.3445935025,-14.3445935025,-14.3445935025,0E-10,14.3445935025,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,30,1
100348175,2026-08-04,63.6991755067,-17.9796059898,-17.9796059898,0E-10,63.6991755067,10,6,1,shoe_pos>=0.80,0.2000000,0E-7,0.5879665855689522,31,1
100348175,2026-08-05,5.1370302828,-5.1370302828,-5.1370302828,0E-10,5.1370302828,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,32,1
100377236,2026-08-06,84.8553418457,-60.6109584611,-60.6109584611,0E-10,84.8553418457,4,1,1,shoe_pos>=0.80,0E-7,0E-7,0.12295185225991541,33,1
100394887,2026-08-05,1133.8289962822,-508.5259414902,-498.5033133988,10.0226280916,1113.6253434618,18,1,1,shoe_pos>=0.80,0.3333333,0E-7,1.1544712608436392,34,1
100394887,2026-08-06,2616.3730402445,215.1689025378,232.3521092617,17.1832067245,1909.2451915296,54,4,1,shoe_pos>=0.80,0.0555556,0E-7,1.4582673689911971,35,1
100417166,2026-08-05,1.5411090848,-1.5411090848,-1.5411090848,0E-10,1.5411090848,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,36,1
100417166,2026-08-06,1.5411090848,-1.5411090848,-1.5411090848,0E-10,1.5411090848,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,37,1
100426937,2026-08-06,803.0951996117,-202.0365282042,-202.0365282042,0E-10,803.0951996117,8,4,1,shoe_pos>=0.80,0.3750000,0E-7,0.017788849841153184,38,1
100429008,2026-08-04,20.0344181030,-10.1456348086,-10.1456348086,0E-10,15.1542393343,5,2,2,shoe_pos>=0.80,0E-7,0E-7,0.2548026527526076,39,1
100429008,2026-08-05,31.0790332109,-2.8895795341,-2.8895795341,0E-10,31.0790332109,6,1,1,shoe_pos>=0.80,0E-7,0E-7,0.24174083486767572,40,1
100433291,2026-08-05,20.9288210795,19.8823800255,19.8823800255,0E-10,20.9288210795,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,41,1
100448036,2026-08-05,17.4659029615,-17.4659029615,-17.4659029615,0E-10,17.4659029615,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,42,1
100456584,2026-08-05,31.7197349281,-8.0814611281,-8.0814611281,0E-10,31.7197349281,4,3,1,shoe_pos>=0.80,0E-7,0E-7,0.6847059694427619,43,1
100476123,2026-08-04,21895.7326133834,3961.8258303499,3961.8258303499,0E-10,20430.7151378177,104,7,1,shoe_pos>=0.80,0.4326923,0E-7,0.030741609766715056,44,1
100494577,2026-08-04,4189.5050471321,-809.8014537795,-809.8014537795,0E-10,3414.8408804868,12,5,2,shoe_pos>=0.80,0.2500000,0E-7,0.5673520433561003,45,1
100494577,2026-08-05,4743.0200601027,-111.6276680452,-111.6276680452,0E-10,3440.2691803864,40,6,1,shoe_pos>=0.80,0.1500000,0E-7,0.35321490416942,46,1
100494577,2026-08-06,619.7827036190,-274.1889913440,-274.1889913440,0E-10,619.7827036190,7,4,2,shoe_pos>=0.80,0.4285714,0E-7,0.6618449358467133,47,1
100510847,2026-08-06,1772.7891505937,-231.5644825737,-231.5644825737,0E-10,1590.1677240404,121,10,2,shoe_pos>=0.80,0.3305785,0.0082645,0.6974276961455275,48,1
100521770,2026-08-04,847.6172537201,-429.0408321299,-429.0408321299,0E-10,429.0408321299,3,3,1,shoe_pos>=0.80,0E-7,0E-7,0.54558962454285,49,1
100537555,2026-08-04,526.5456039862,-119.4359540749,-119.4359540749,0E-10,526.5456039862,6,1,1,shoe_pos>=0.80,0.5000000,0E-7,0.558531259959632,50,1
100540977,2026-08-04,445.1236740044,111.3451313796,111.3451313796,0E-10,424.5755528732,25,4,3,shoe_pos>=0.80,0E-7,0E-7,0.7261057908332548,51,1
100540977,2026-08-05,14.1268332777,-14.1268332777,-14.1268332777,0E-10,14.1268332777,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,52,1
100552967,2026-08-04,7.7055454242,-7.7055454242,-7.7055454242,0E-10,7.7055454242,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,53,1
100557069,2026-08-04,209.2882107951,198.8238002553,198.8238002553,0E-10,209.2882107951,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,54,1
100560458,2026-08-05,5.6507333110,-2.5685151414,-2.5685151414,0E-10,5.6507333110,7,4,1,shoe_pos>=0.80,0E-7,0E-7,0.6476275840740722,55,1
100560458,2026-08-06,2.3116636272,-0.2953792412,-0.2953792412,0E-10,1.7979605989,6,4,1,shoe_pos>=0.80,0.1666667,0E-7,0.36514837176488624,56,1
100630964,2026-08-06,97.6035753732,-34.7391672873,-34.7391672873,0E-10,97.6035753732,14,5,3,shoe_pos>=0.80,0E-7,0E-7,0.6560118805852448,57,1
100645984,2026-08-05,286.0096485183,271.7091660923,271.7091660923,0E-10,286.0096485183,3,1,1,shoe_pos>=0.80,0E-7,0E-7,0.633969961918146,58,1
100657622,2026-08-05,199.0599234583,-134.8470449233,-134.8470449233,0E-10,199.0599234583,3,1,1,shoe_pos>=0.80,0E-7,0E-7,0.5329906981242699,59,1
100657622,2026-08-06,100.1720905145,-100.1720905145,-100.1720905145,0E-10,100.1720905145,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,60,1
100681239,2026-08-04,1068.2454473080,95.8184573497,95.8184573497,0E-10,964.2205840813,34,11,1,shoe_pos>=0.80,0.1176471,0E-7,0.3492392298017299,61,1
100681239,2026-08-05,1202.5787892022,-527.7656486786,-527.7656486786,0E-10,1171.7566075054,28,17,1,shoe_pos>=0.80,0.1428571,0E-7,0.5472286342812984,62,1
100726558,2026-08-06,18.1832875380,1.7173104897,1.7173104897,0E-10,18.1832875380,9,1,1,shoe_pos>=0.80,0.8888889,0E-7,0.0,63,1
100742964,2026-08-04,21.5755271877,21.5755271877,21.5755271877,0E-10,21.5755271877,2,2,1,shoe_pos>=0.80,0E-7,0E-7,0.4714045207910317,64,1
100760180,2026-08-06,288.9122353317,174.2565055767,174.2565055767,0E-10,228.3012768703,22,7,1,shoe_pos>=0.80,0.3636364,0E-7,0.442208142963798,65,1
100794349,2026-08-05,4.0407305640,-4.0407305640,-4.0407305640,0E-10,4.0407305640,2,2,1,shoe_pos>=0.80,0E-7,0E-7,0.0,66,1
100794349,2026-08-06,627.3234200746,42.7307257158,42.7307257158,0E-10,576.8142880235,67,17,2,shoe_pos>=0.80,0.1940299,0E-7,0.4863536812847569,67,1
100806454,2026-08-06,214.1587198966,-76.7738807176,-76.7738807176,0E-10,214.1587198966,3,2,1,shoe_pos>=0.80,0.3333333,0E-7,0.1178301509127779,68,1
100811929,2026-08-05,222151.3300801942,-25415.1369328880,-25415.1369328880,0E-10,204360.7353531595,144,19,14,shoe_pos>=0.80,0.3055556,0.0138889,0.568427273500507,69,1
100834332,2026-08-05,886.3945752965,154.5860837849,154.5860837849,0E-10,773.8936121033,52,5,2,shoe_pos>=0.80,0.4038462,0E-7,0.7048516531358303,70,1
100838954,2026-08-06,154.1109084838,-154.1109084838,-154.1109084838,0E-10,154.1109084838,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.23570226039582176,71,1
100839406,2026-08-04,8398.1080345745,-2147.5063309682,-2147.5063309682,0E-10,6933.0905590089,15,13,1,shoe_pos>=0.80,0.2000000,0E-7,0.4779346624396422,72,1
100863141,2026-08-05,32939.6655793305,-785.0923381199,-785.0923381199,0E-10,30409.6781650546,216,14,4,shoe_pos>=0.80,0.4861111,0E-7,0.5041757376462396,73,1
100863141,2026-08-06,6870.2643002089,-321.0643926749,-321.0643926749,0E-10,5903.7320525013,88,9,3,shoe_pos>=0.80,0.3977273,0E-7,0.4760726562226138,74,1
100893169,2026-08-05,1294.0179282357,-1294.0179282357,-1294.0179282357,0E-10,1294.0179282357,2,2,1,shoe_pos>=0.80,0E-7,0E-7,0.010666954221940235,75,1
100893169,2026-08-06,4807.2329386382,-1301.2097706315,-1301.2097706315,0E-10,4421.9556674287,9,1,2,shoe_pos>=0.80,0E-7,0E-7,0.4105466267402522,76,1
100924080,2026-08-06,1181.5169650425,256.9799398966,256.9799398966,0E-10,1104.4615108006,14,7,1,shoe_pos>=0.80,0.1428571,0E-7,0.1901989957660126,77,1
100925155,2026-08-04,209269.7711453040,-13302.0445380553,-13302.0445380553,0E-10,191659.2607813455,386,26,4,shoe_pos>=0.80,0.2176166,0E-7,0.38803471231809644,78,1
100925155,2026-08-05,81776.3850717917,-5069.1572701838,-5069.1572701838,0E-10,76731.0507795462,281,21,2,shoe_pos>=0.80,0.2135231,0E-7,0.6843793578697512,79,1
100925155,2026-08-06,251.7144838570,-80.2018852902,-80.2018852902,0E-10,251.7144838570,8,5,2,shoe_pos>=0.80,0E-7,0E-7,0.375155111610435,80,1
100946717,2026-08-04,258.9063262529,-258.9063262529,-258.9063262529,0E-10,258.9063262529,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.5499719409223545,81,1
100961713,2026-08-05,82.4493360388,-82.4493360388,-82.4493360388,0E-10,82.4493360388,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,82,1
100963770,2026-08-05,1.6162922256,-1.6162922256,-1.6162922256,0E-10,1.6162922256,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,83,1
100977706,2026-08-04,25.6851514140,-25.6851514140,-25.6851514140,0E-10,25.6851514140,2,2,1,shoe_pos>=0.80,0.5000000,0E-7,0.0,84,1
101008528,2026-08-05,2.0203652820,-2.0203652820,-2.0203652820,0E-10,2.0203652820,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,85,1
101008528,2026-08-06,91.1184742200,32.4268627769,32.4268627769,0E-10,84.2492322610,13,5,1,shoe_pos>=0.80,0.3846154,0E-7,0.39212804412965546,86,1
101018655,2026-08-04,11399.3270490364,14.7175917586,14.7175917586,0E-10,10138.6998176384,302,17,2,shoe_pos>=0.80,0.3178808,0E-7,0.6126000980532603,87,1
101018655,2026-08-05,3766.4706033453,-215.5754758177,-215.5754758177,0E-10,3562.5305011182,130,14,2,shoe_pos>=0.80,0.1923077,0E-7,0.6787053910159396,88,1
101018655,2026-08-06,4878.8945110862,287.5324275025,287.5324275025,0E-10,4537.2819972802,205,14,2,shoe_pos>=0.80,0.2439024,0E-7,0.8002410431084259,89,1
101032279,2026-08-04,280.8307742039,-202.0365282042,-202.0365282042,0E-10,280.8307742039,4,1,1,shoe_pos>=0.80,0E-7,0E-7,0.449126805126672,90,1
101034014,2026-08-06,1214.3939588530,-234.4412195312,-234.4412195312,0E-10,1014.0497778240,33,4,1,shoe_pos>=0.80,0.0606061,0E-7,0.5519679131960631,91,1
101038107,2026-08-04,796.4279941816,-86.8757071273,-86.8757071273,0E-10,728.5437207049,26,10,1,shoe_pos>=0.80,0E-7,0E-7,0.2915962369134104,92,1
101039366,2026-08-04,267.3824262196,3.0822181696,3.0822181696,0E-10,228.0841445562,16,9,1,shoe_pos>=0.80,0.1250000,0E-7,0.6756080626547059,93,1
101043093,2026-08-04,123.2887267872,-46.8754013306,-46.8754013306,0E-10,123.2887267872,6,2,1,shoe_pos>=0.80,0.6666667,0E-7,0.39528470752104744,94,1
101043093,2026-08-05,1794.1078262669,-309.7629260533,-309.7629260533,0E-10,1755.5800991459,42,3,2,shoe_pos>=0.80,0E-7,0E-7,0.44237255129140635,95,1
