层级,日志行数,去重实体数,实体ID为0之脏行,命中注单会员数,命中去重实体数,最早,最晚,audit_rn,batch_id
0,1775,749,3,114,36,2020-08-25 17:19:54,2026-08-23 18:13:19,1,1
1,2824,880,6,0,0,2017-07-25 16:59:41,2026-08-18 11:47:32,2,1
2,5225,2098,21,0,0,2017-08-15 10:47:17,2026-08-21 15:18:52,3,1
3,14216,5870,41,0,0,2017-08-10 18:20:25,2026-08-24 03:14:02,4,1
4,25920,11556,103,0,0,2017-10-12 01:59:04,2026-08-23 22:31:10,5,1
5,97660,29612,14680,0,0,2017-10-11 15:32:56,2026-08-24 01:53:59,6,1
7,539440,118287,7951,15969,994,2017-08-10 15:47:33,2026-08-24 03:22:32,7,1
