member_id,seed_src,audit_rn,batch_id
103320632,manual_risk,1,1
106593553,manual_risk,2,1
108547958,manual_risk,3,1
108879489,manual_risk,4,1
111767212,manual_risk,5,1
111829744,manual_risk,6,1
113331857,manual_risk,7,1
114981951,manual_risk,8,1
116279256,manual_risk,9,1
116388530,manual_risk,10,1
117578673,manual_risk,11,1
117925742,manual_risk,12,1
118364215,manual_risk,13,1
118807103,manual_risk,14,1
119052847,manual_risk,15,1
119794081,manual_risk,16,1
119978108,manual_risk,17,1
119978329,manual_risk,18,1
119978627,manual_risk,19,1
119978704,manual_risk,20,1
121660530,manual_risk,21,1
121664445,manual_risk,22,1
121760403,manual_risk,23,1
122357156,manual_risk,24,1
122640657,manual_risk,25,1
122885877,manual_risk,26,1
124396429,manual_risk,27,1
124408255,manual_risk,28,1
125555111,manual_risk,29,1
125894801,manual_risk,30,1
126420941,manual_risk,31,1
127954107,manual_risk,32,1
128748997,manual_risk,33,1
129118209,manual_risk,34,1
129120952,manual_risk,35,1
129271465,manual_risk,36,1
131273794,manual_risk,37,1
132238613,manual_risk,38,1
133715630,manual_risk,39,1
134896269,manual_risk,40,1
134992043,manual_risk,41,1
135539725,manual_risk,42,1
135936074,manual_risk,43,1
137215692,manual_risk,44,1
137711836,manual_risk,45,1
139387448,manual_risk,46,1
140243772,manual_risk,47,1
142411657,manual_risk,48,1
142590695,manual_risk,49,1
142696398,manual_risk,50,1
143810375,manual_risk,51,1
143826039,manual_risk,52,1
144709469,manual_risk,53,1
144887581,manual_risk,54,1
145014743,manual_risk,55,1
145870516,manual_risk,56,1
145954679,manual_risk,57,1
145958898,manual_risk,58,1
146120470,manual_risk,59,1
146289614,manual_risk,60,1
146490625,manual_risk,61,1
146554769,manual_risk,62,1
146561555,manual_risk,63,1
146786885,manual_risk,64,1
146804998,manual_risk,65,1
146882725,manual_risk,66,1
146908761,manual_risk,67,1
146975331,manual_risk,68,1
147001485,manual_risk,69,1
147273190,manual_risk,70,1
147281826,manual_risk,71,1
147739764,manual_risk,72,1
147763395,manual_risk,73,1
147771170,manual_risk,74,1
147798144,manual_risk,75,1
148066898,manual_risk,76,1
148591206,manual_risk,77,1
148859740,manual_risk,78,1
149126116,manual_risk,79,1
149136389,manual_risk,80,1
149271569,manual_risk,81,1
149482404,manual_risk,82,1
149760718,manual_risk,83,1
150757399,manual_risk,84,1
151035848,manual_risk,85,1
151254619,manual_risk,86,1
151317638,manual_risk,87,1
151349025,manual_risk,88,1
151674168,manual_risk,89,1
151882655,manual_risk,90,1
151885236,manual_risk,91,1
151965157,manual_risk,92,1
152341062,manual_risk,93,1
152395461,manual_risk,94,1
152629484,manual_risk,95,1
152728156,manual_risk,96,1
152769773,manual_risk,97,1
153012236,manual_risk,98,1
153237518,manual_risk,99,1
153697863,manual_risk,100,1
153797184,manual_risk,101,1
24331720,manual_risk,102,1
25915691,manual_risk,103,1
26979969,manual_risk,104,1
29787939,manual_risk,105,1
31852622,manual_risk,106,1
3657903,manual_risk,107,1
42825065,manual_risk,108,1
46270606,manual_risk,109,1
46444109,manual_risk,110,1
52169523,manual_risk,111,1
54161451,manual_risk,112,1
60851647,manual_risk,113,1
75324084,manual_risk,114,1
78791553,manual_risk,115,1
78795288,manual_risk,116,1
78795292,manual_risk,117,1
80499351,manual_risk,118,1
81775620,manual_risk,119,1
81938363,manual_risk,120,1
82035894,manual_risk,121,1
82500093,manual_risk,122,1
83095108,manual_risk,123,1
94959765,manual_risk,124,1
99956136,manual_risk,125,1
