prev_outcome,n_pairs,n_members,n_negative_gap,gap_p10,gap_p50,gap_p90,gap_avg,ratio_p50,ratio_p90,ratio_avg,n_double_up,pct_double_up,audit_rn,batch_id
LOSS,72002426,511323,0,0.0,24.0,95.0,10120.4924,1.0,6.0,2.744944,20809956,28.901743,1,1
WIN,43426647,513910,0,1.0,38.9976,99.9996,3349.0099,1.0,2.0,1.219939,4903376,11.291169,2,1
PUSH,8561028,350305,0,2.0,39.0,85.0,2346.0111,1.0,1.5,1.033502,646838,7.555611,3,1
