subnet_24,n_ip,n_member,n_lv3_chain,member_per_ip,n_orders,valid_bet,game_pnl,audit_rn,batch_id
138.84.109.0/24,4,2145,1,536.2500000,4917,19849.2557860379,-1027.9738236998,1,1
104.28.166.0/24,28,1928,30,68.8571429,46347,10321876.2704565971,-284316.1150214042,2,1
104.28.158.0/24,30,1088,28,36.2666667,32540,13359811.6681440806,-298938.1329591968,3,1
104.28.160.0/24,17,908,31,53.4117647,23846,19578188.8686369010,-10518.5183835118,4,1
14.166.116.0/24,3,894,2,298.0000000,1935,89514.9384160691,271.6170616671,5,1
123.25.95.0/24,7,295,5,42.1428571,1333,608941.2482713461,-1334.9571791978,6,1
136.158.40.0/24,25,292,5,11.6800000,19299,130514.2537444234,-1629.9609762081,7,1
42.112.175.0/24,8,282,6,35.2500000,760,54259.8415719985,-3535.5910213722,8,1
14.249.176.0/24,10,261,4,26.1000000,3965,81862.4147523554,-3496.1587674269,9,1
103.218.237.0/24,6,254,1,42.3333333,408,13423.0362038890,191.0641554549,10,1
14.165.175.0/24,5,248,4,49.6000000,390,13566.0569798314,213.7966838253,11,1
112.199.97.0/24,1,242,3,242.0000000,3120,25852.9343733281,-524.3841327758,12,1
104.28.205.0/24,5,218,17,43.6000000,12890,435445.0077387293,-16003.1373130774,13,1
14.166.33.0/24,6,212,4,35.3333333,993,13374.4705900956,-604.7823029247,14,1
138.84.104.0/24,2,182,2,91.0000000,341,1540.0078564631,208.3894186255,15,1
104.28.161.0/24,12,179,16,14.9166667,2548,242163.5082906899,-24981.0709769842,16,1
136.158.62.0/24,17,168,5,9.8823529,2150,71744.4589781006,-3769.5099192072,17,1
14.239.237.0/24,25,165,8,6.6000000,4307,52351.2509104437,642.2020156244,18,1
113.181.125.0/24,6,163,3,27.1666667,776,9078.4280052880,-576.7349485673,19,1
14.235.168.0/24,11,163,5,14.8181818,1984,22037.5697427956,786.3589631329,20,1
14.188.66.0/24,30,149,6,4.9666667,2605,38612.1320176982,909.4363565632,21,1
103.25.77.0/24,5,144,8,28.8000000,1929,56524.2361791591,-3758.0539616922,22,1
103.86.50.0/24,10,144,9,14.4000000,1296,9275.9609938548,223.6420935685,23,1
103.247.21.0/24,3,141,7,47.0000000,5110,186205.6573478754,1869.6409215230,24,1
104.28.159.0/24,24,141,25,5.8750000,6055,597451.4860507385,-45362.7524164649,25,1
49.48.81.0/24,7,140,4,20.0000000,5802,321102.9430445169,-13278.3135119489,26,1
14.182.226.0/24,8,135,4,16.8750000,1938,30429.4383048583,2339.6348196630,27,1
136.158.41.0/24,28,134,7,4.7857143,13872,106282.3555531344,-4356.3252389338,28,1
58.136.234.0/24,6,131,8,21.8333333,7850,24867.1154221823,-3210.7253269190,29,1
222.254.103.0/24,26,130,6,5.0000000,5866,79141.9103662903,-4074.5376705803,30,1
123.16.86.0/24,5,128,5,25.6000000,402,12974.6307012230,19.5243038403,31,1
14.175.117.0/24,29,128,8,4.4137931,5705,57720.7451289014,-874.4821939237,32,1
122.155.14.0/24,11,124,12,11.2727273,1118,15521.7818670246,-2177.1742043253,33,1
138.199.62.0/24,26,124,37,4.7692308,18840,6788164.3344977892,-71725.2130138488,34,1
104.28.222.0/24,9,122,15,13.5555556,3410,296622.4818818376,-4770.2862150548,35,1
104.28.254.0/24,8,121,14,15.1250000,3259,349580.5043081962,-53890.3268456906,36,1
123.19.124.0/24,2,121,3,60.5000000,193,8853.6623631917,-913.0406892830,37,1
104.164.168.0/24,20,117,10,5.8500000,4262,452515.1018877288,-2178.7242850469,38,1
14.243.122.0/24,8,115,5,14.3750000,288,12671.9684628786,-10778.8018166403,39,1
112.47.145.0/24,2,113,2,56.5000000,310,2334.0000000000,-492.1500000000,40,1
14.249.5.0/24,29,110,9,3.7931034,1638,17596.6171682818,-4.8948619160,41,1
42.117.214.0/24,9,110,5,12.2222222,335,25342.9047141643,-1212.1721084001,42,1
