类别,层级,窗口内行数,涉实体数,audit_rn,batch_id
add,1,6,6,1,1
add,2,13,13,2,1
add,3,53,53,3,1
add,4,226,226,4,1
add,5,1474,769,5,1
changestatus,1,22,12,6,1
changestatus,2,29,23,7,1
changestatus,3,44,22,8,1
changestatus,4,214,87,9,1
changestatus,5,352,169,10,1
changestatus,7,1490,294,11,1
edit,0,137,54,12,1
edit,1,62,48,13,1
edit,2,30,19,14,1
edit,3,57,42,15,1
edit,4,265,207,16,1
edit,5,835,559,17,1
edit,7,3398,1084,18,1
