n,module,join,join_key,x_key,part,grain_code,grain,grain_src,action,classification
1,A_anchor.csv,LEFT,ip,ip,recent,G01,ip,GROUPBY,—,1:1 粒度一致（仅改名）
2,B01_bt_panel.csv,LEFT,member_id,member,recent,G02,member_id × bet_date,GROUPBY,P0-1,N:1 粒度错配（须按本件 grain 重聚合）
3,B01_bt_panel_delta.csv,LEFT,member_id,member,recent,G02,member_id × bet_date,GROUPBY,P0-1,N:1 粒度错配（须按本件 grain 重聚合）
4,B4_2b_funnel_and_mu0.csv,CROSS,,member,freecomm,G03,n_raw × n_g1 × n_g2,INFER,P0-0,A（疑有全窗基线语义 → 建议建 x_win 单行）
5,B4_5b_tip_nature.csv,LEFT,bet09_value,product,freecomm,G04,TRIMbet09,GROUPBY,P0-1?,1:1 但连接键与粒度键异名（须人工确认别名映射）
6,B_online_base.csv,LEFT,table_id,table,recent,G05,table_id × sec_elapsed,GROUPBY,P0-1,N:1 粒度错配（须按本件 grain 重聚合）
7,C01_ip_chain.csv,LEFT,bet_ip,ip,recent,G06,bet_ip,GROUPBY,—,1:1 粒度一致（仅改名）
8,C06_hedge_pairs.csv,LEFT,bet_ip,ip,hedge,G07,bet_ip × m_a × m_b,INFER,P0-1,N:1 粒度错配（须按本件 grain 重聚合）
9,C06d_hedge_pairs_dated.csv,LEFT,bet_ip,ip,hedge,G08,bet_ip × member_id × member_id,GROUPBY,P0-1,N:1 粒度错配（须按本件 grain 重聚合）
10,C08_subnet_all.csv,CROSS,,member,recent,G09,1,GROUPBY,P0-0,A（疑有全窗基线语义 → 建议建 x_win 单行）
11,C08_subnet_sparse.csv,CROSS,,member,recent,G09,1,GROUPBY,P0-0,A（疑有全窗基线语义 → 建议建 x_win 单行）
12,D03S_daily_roi_diff.csv,LEFT,bet_date,date,recent,G10,bet_date,GROUPBY,—,1:1 粒度一致（仅改名）
13,DICT_01a_bet41_tri.csv,CROSS,,member,hiturn,G11,scope × n_rows × sum_stake,INFER,P0-0,B（无商业语义 → 建议撤除六层后缀）
14,DICT_01b_roundkey_card.csv,CROSS,,member,recent,G12,scope × n_rows × nd_bet03,INFER,P0-0,B（无商业语义 → 建议撤除六层后缀）
15,DICT_01c_dimension.csv,CROSS,,member,recent,G13,scope × n_rows × avg_validbet,INFER,P0-0,B（无商业语义 → 建议撤除六层后缀）
16,DICT_01d_bet_latency.csv,LEFT,table_id,table,recent,G14,TRIMbet39,GROUPBY,P0-1?,1:1 但连接键与粒度键异名（须人工确认别名映射）
17,DX04_bet09_profile.csv,LEFT,bet_side,product,freecomm,G15,bet_side,GROUPBY,—,1:1 粒度一致（仅改名）
18,DX05_product_panorama.csv,LEFT,product_code,product,freecomm,G16,product_code,GROUPBY,—,1:1 粒度一致（仅改名）
19,E02_segment_econ.csv,CROSS,,member,hiturn,G17,rebate_rate_bkt × vb_q,GROUPBY,P0-0,A（疑有全窗基线语义 → 建议建 x_win 单行）
