axis,type_id,name_zh,category,tls,primary_deliverable,supporting_deliverables,sql_section,criterion_column,criterion_source,criterion_role,direction,threshold,threshold_status,threshold_note,phenomenon_status,label_validation_status,causal_status,admit_to_feature_scoring,admit_to_risk_decision,profile_display,profile_feature,lifecycle_state,blocker_state,evidence_tier,gate,severity,admit_to_scoring,admit_to_profile,blockers,standard_basis,verdict,ranking,scoring,trigger,enforcement,admit_to_control,identity_formula,external_standard_status,applicability_status,criterion_family,window_scope,null_model_status,multiplicity_control,incremental_info_status,leakage_status,data_availability_status,evidence_ladder,entity_type,domain_id,capability_facet,decision_object_scope,economic_path_status,admit_to_reward_decision,treatment_ids,capability_dim_ids
V,V,价值轴（复核优先级排序键）,价值轴,,R01_late_shoe.csv,,,stake_all,R01_late_shoe.csv,RANK,,,NO_THRESHOLD_BY_DESIGN,分位排名，非阈值,OBSERVED,NOT_APPLICABLE,NOT_APPLICABLE,TRUE,FALSE,TRUE,TRUE,SHADOW_MODEL,UNBLOCKED,OBSERVED,ADVISORY,S4,TRUE,TRUE,,无对口外部标准 · 本项目自订（方法论借鉴 SR 26-2 有效挑战原则）,高 AUC 部分反映「谁被复核得多」而非「谁更危险」（复核强度混杂）。 本轴定性为「排序效率证据」，不得作为因果证据或处置理由。,,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,MEASURED,E1,MEMBER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-01,同桌聚集,会员风险,T3·L3·S3,R02_same_table.csv,C06_hedge_pairs.csv；I_ip_player.csv,§R02,lift,R02_same_table.csv,STAT_DIRECTIONAL,high,,PENDING_INVERSE,待反解,INFERRED,NOT_TESTED,NOT_ESTABLISHED,FALSE,FALSE,TRUE,TRUE,PROFILE_CANDIDATE,BLOCKED(B-01),INFERRED,CONDITIONAL,S3,FALSE,TRUE,B-01,无对口外部标准 · 本项目自订,结构完备（20 列，含期望基线与 lift），但对外部 L1a 标签之判别力从未独立实测。,,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,MEASURED,E1,MEMBER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-01,同桌聚集,会员风险,T3·L3·S3,R02_same_table.csv,C06_hedge_pairs.csv；I_ip_player.csv,§R02,jaccard,R02_same_table.csv,STAT_DIRECTIONAL,high,,PENDING_INVERSE,待反解,INFERRED,NOT_TESTED,NOT_ESTABLISHED,FALSE,FALSE,TRUE,TRUE,PROFILE_CANDIDATE,BLOCKED(B-01),INFERRED,CONDITIONAL,S3,FALSE,TRUE,B-01,无对口外部标准 · 本项目自订,结构完备（20 列，含期望基线与 lift），但对外部 L1a 标签之判别力从未独立实测。,,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,MEASURED,E1,MEMBER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-01,同桌聚集,会员风险,T3·L3·S3,R02_same_table.csv,C06_hedge_pairs.csv；I_ip_player.csv,§R02,same_rate,R02_same_table.csv,STAT_DIRECTIONAL,high,,PENDING_INVERSE,待反解,INFERRED,NOT_TESTED,NOT_ESTABLISHED,FALSE,FALSE,TRUE,TRUE,PROFILE_CANDIDATE,BLOCKED(B-01),INFERRED,CONDITIONAL,S3,FALSE,TRUE,B-01,无对口外部标准 · 本项目自订,结构完备（20 列，含期望基线与 lift），但对外部 L1a 标签之判别力从未独立实测。,,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,MEASURED,E1,MEMBER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-01,同桌聚集,会员风险,T3·L3·S3,R02_same_table.csv,C06_hedge_pairs.csv；I_ip_player.csv,§R02,exp_same,R02_same_table.csv,REFERENCE,,,NO_THRESHOLD_BY_DESIGN,期望基线，非阈值,INFERRED,NOT_TESTED,NOT_ESTABLISHED,FALSE,FALSE,TRUE,TRUE,PROFILE_CANDIDATE,BLOCKED(B-01),INFERRED,CONDITIONAL,S3,FALSE,TRUE,B-01,无对口外部标准 · 本项目自订,结构完备（20 列，含期望基线与 lift），但对外部 L1a 标签之判别力从未独立实测。,,,,,,,,,REFERENCE_ONLY,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,MEASURED,E1,MEMBER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-01,同桌聚集,会员风险,T3·L3·S3,R02_same_table.csv,C06_hedge_pairs.csv；I_ip_player.csv,§R02,n_tables,R02_same_table.csv,STAT_DIRECTIONAL,low,,PENDING_INVERSE,待反解（锁桌行为）,INFERRED,NOT_TESTED,NOT_ESTABLISHED,FALSE,FALSE,TRUE,TRUE,PROFILE_CANDIDATE,BLOCKED(B-01),INFERRED,CONDITIONAL,S3,FALSE,TRUE,B-01,无对口外部标准 · 本项目自订,结构完备（20 列，含期望基线与 lift），但对外部 L1a 标签之判别力从未独立实测。,,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,MEASURED,E1,MEMBER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-02,荷官—玩家串谋,会员风险 · 内部关联,T2·L4·S2,R03b_player_dealer_daily.csv,R03_player_dealer.csv；S02_dealer_score.csv；R03inv_pair_census.csv,§R03b,delta_z,R03b_player_dealer_daily.csv,STAT_DIRECTIONAL,high,,PENDING_INVERSE,待反解,UNKNOWN,BLOCKED,NOT_ESTABLISHED,FALSE,FALSE,FALSE,FALSE,PROFILE_CANDIDATE,BLOCKED(B-02),UNKNOWN,BLOCK,S2,FALSE,FALSE,B-02,无对口外部标准 · 本项目自订,"交付件不完整：R03b 止于 6,143,388 行而非预期 18,139,550 行。 182 批次 Superset 查询历史全部 status=success，已排除查询层截断（分支 B）； 停止原因仍为 UNKNOWN，归因于导出／Artifact 层。 在文件补全前，任何基于本类的结论皆不可信。",,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,AWAITING_SOURCE,E1,DEALER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-02,荷官—玩家串谋,会员风险 · 内部关联,T2·L4·S2,R03b_player_dealer_daily.csv,R03_player_dealer.csv；S02_dealer_score.csv；R03inv_pair_census.csv,§R03b,delta_p,R03b_player_dealer_daily.csv,STAT_DIRECTIONAL,high,,PENDING_INVERSE,待反解,UNKNOWN,BLOCKED,NOT_ESTABLISHED,FALSE,FALSE,FALSE,FALSE,PROFILE_CANDIDATE,BLOCKED(B-02),UNKNOWN,BLOCK,S2,FALSE,FALSE,B-02,无对口外部标准 · 本项目自订,"交付件不完整：R03b 止于 6,143,388 行而非预期 18,139,550 行。 182 批次 Superset 查询历史全部 status=success，已排除查询层截断（分支 B）； 停止原因仍为 UNKNOWN，归因于导出／Artifact 层。 在文件补全前，任何基于本类的结论皆不可信。",,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,AWAITING_SOURCE,E1,DEALER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-02,荷官—玩家串谋,会员风险 · 内部关联,T2·L4·S2,R03b_player_dealer_daily.csv,R03_player_dealer.csv；S02_dealer_score.csv；R03inv_pair_census.csv,§R03b,z_score_w,R03b_player_dealer_daily.csv,STAT_DIRECTIONAL,high,,PENDING_INVERSE,待反解,UNKNOWN,BLOCKED,NOT_ESTABLISHED,FALSE,FALSE,FALSE,FALSE,PROFILE_CANDIDATE,BLOCKED(B-02),UNKNOWN,BLOCK,S2,FALSE,FALSE,B-02,无对口外部标准 · 本项目自订,"交付件不完整：R03b 止于 6,143,388 行而非预期 18,139,550 行。 182 批次 Superset 查询历史全部 status=success，已排除查询层截断（分支 B）； 停止原因仍为 UNKNOWN，归因于导出／Artifact 层。 在文件补全前，任何基于本类的结论皆不可信。",,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,AWAITING_SOURCE,E1,DEALER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-02,荷官—玩家串谋,会员风险 · 内部关联,T2·L4·S2,R03b_player_dealer_daily.csv,R03_player_dealer.csv；S02_dealer_score.csv；R03inv_pair_census.csv,§R03b,eligibility_status,R03b_player_dealer_daily.csv,FILTER,,,NO_THRESHOLD_BY_DESIGN,准入过滤器，非阈值,UNKNOWN,BLOCKED,NOT_ESTABLISHED,FALSE,FALSE,FALSE,FALSE,PROFILE_CANDIDATE,BLOCKED(B-02),UNKNOWN,BLOCK,S2,FALSE,FALSE,B-02,无对口外部标准 · 本项目自订,"交付件不完整：R03b 止于 6,143,388 行而非预期 18,139,550 行。 182 批次 Superset 查询历史全部 status=success，已排除查询层截断（分支 B）； 停止原因仍为 UNKNOWN，归因于导出／Artifact 层。 在文件补全前，任何基于本类的结论皆不可信。",,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,AWAITING_SOURCE,E1,DEALER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
R,T-02,荷官—玩家串谋,会员风险 · 内部关联,T2·L4·S2,R03b_player_dealer_daily.csv,R03_player_dealer.csv；S02_dealer_score.csv；R03inv_pair_census.csv,§R03b,特定玩家复现率,S02_dealer_score.csv,STAT_DIRECTIONAL,high,,PENDING_INVERSE,待反解,UNKNOWN,BLOCKED,NOT_ESTABLISHED,FALSE,FALSE,FALSE,FALSE,PROFILE_CANDIDATE,BLOCKED(B-02),UNKNOWN,BLOCK,S2,FALSE,FALSE,B-02,无对口外部标准 · 本项目自订,"交付件不完整：R03b 止于 6,143,388 行而非预期 18,139,550 行。 182 批次 Superset 查询历史全部 status=success，已排除查询层截断（分支 B）； 停止原因仍为 UNKNOWN，归因于导出／Artifact 层。 在文件补全前，任何基于本类的结论皆不可信。",,,,,,,,,STRUCTURAL,FULL_WINDOW,NONE,NONE,NOT_TESTED,NOT_TESTED,AWAITING_SOURCE,E1,DEALER,D08,F06,ACTIVE,NOT_ESTABLISHED,FALSE,,
