序号,交付件,M码,等级,实体,粒度,栏数,可信度,用法
001,A_anchor.csv,M06,C,IP,g.ip,68,OK,SCREENING
002,B01_bt_panel.csv,M15,B,会员,member_id × bet_date,77,WRONG_GRAIN,NOT_FOR_DECISION
003,B01_bt_panel_delta.csv,M15,B,会员,member_id × bet_date,77,WRONG_GRAIN,NOT_FOR_DECISION
004,B4_2b_funnel_and_mu0.csv,M14,C,全窗/元数据,n_raw × n_g1 × n_g2,89,INVALID,NOT_FOR_DECISION
005,B4_5b_tip_nature.csv,M14,C,IP,TRIM(bet09),79,OK,SCREENING
006,B_online_base.csv,Z00,F,桌台,table_id × sec_elapsed,70,WRONG_GRAIN,NOT_FOR_DECISION
007,C01_ip_chain.csv,M04,A,IP,bet_ip,71,OK,SCREENING
008,C06_hedge_pairs.csv,M02,A,IP,bet_ip × m_a × m_b,70,WRONG_GRAIN,SCREENING
009,C06d_hedge_pairs_dated.csv,M02,A,会员,a.bet_ip × a.member_id,72,WRONG_GRAIN,NOT_FOR_DECISION
010,C08_subnet_all.csv,M04,A,网段,1,71,INVALID,SCREENING
011,C08_subnet_sparse.csv,M04,A,网段,1,71,INVALID,SCREENING
012,D03S_daily_roi_diff.csv,M15,B,日期,bet_date,70,OK,REFERENCE
013,DICT_01a_bet41_tri.csv,M05,A,全窗/元数据,scope × n_rows × sum_s,77,INVALID,NOT_FOR_DECISION
014,DICT_01b_roundkey_card.csv,Z00,F,全窗/元数据,scope × n_rows × nd_be,77,INVALID,NOT_FOR_DECISION
015,DICT_01c_dimension.csv,Z00,F,全窗/元数据,scope × n_rows × avg_v,75,INVALID,NOT_FOR_DECISION
016,DICT_01d_bet_latency.csv,Z00,F,全窗/元数据,TRIM(bet39),77,OK,REFERENCE
017,DX04_bet09_profile.csv,M14,C,产品,bet_side,72,OK,SUPPORT
018,DX05_product_panorama.csv,M14,C,产品,product_code,77,OK,SUPPORT
019,E02_segment_econ.csv,M05,A,全窗/元数据,m.rebate_rate_bkt × m.,72,INVALID,NOT_FOR_DECISION
020,EV01_disposal_events.csv,M09,D,日期,event_id × event_time,76,WRONG_GRAIN,NOT_FOR_DECISION
021,EV02_member_disposal.csv,M09,D,会员,event_id × event_date,0,WRONG_GRAIN,NOT_FOR_DECISION
022,I_ip_agg.csv,M04,A,IP,bet_ip,77,OK,SCREENING
023,I_ip_player.csv,M04,A,会员,b.bet_ip × b.member_id,77,WRONG_GRAIN,NOT_FOR_DECISION
024,K01_risk_feature_matrix.csv,M11,A,会员,member_id × is_seed ×,78,WRONG_GRAIN,NOT_FOR_DECISION
025,K01b_seed_goldip.csv,M04,A,会员,member_id × seed_src,65,WRONG_GRAIN,NOT_FOR_DECISION
026,K01b_seed_manual.csv,M11,A,会员,member_id × seed_src,65,WRONG_GRAIN,NOT_FOR_DECISION
027,K01c_seed_dated.csv,M04,A,IP,seed_id × seed_ip × cr,69,WRONG_GRAIN,SCREENING
028,L_label_dist.csv,M11,A,全窗/元数据,risk × orders,69,INVALID,NOT_FOR_DECISION
029,P01A_crosstab.csv,M05,A,全窗/元数据,n_rows × bet16_null ×,76,INVALID,NOT_FOR_DECISION
030,P01B_diff_ratio.csv,M05,A,全窗/元数据,n × diff_min × diff_p5,74,INVALID,NOT_FOR_DECISION
031,P01C_split_by_dim.csv,M05,A,产品,"DATE_TRUNC('month', dt",77,INVALID,NOT_FOR_DECISION
032,P01D_vs_validbet.csv,M05,A,全窗/元数据,n × comparable_n × pla,72,INVALID,NOT_FOR_DECISION
033,P01E_identity_test.csv,M05,A,风控专员,hypothesis × n × exact,71,INVALID,NOT_FOR_DECISION
034,P02A_lmc_samples.csv,M09,D,全窗/元数据,类别 × 取样端 × 異動時間,72,INVALID,NOT_FOR_DECISION
035,P02B_changestatus_patterns.csv,M09,D,全窗/元数据,"SUBSTRING(TRIM(lmc05),",69,INVALID,NOT_FOR_DECISION
036,P02C_key_check.csv,M09,D,全窗/元数据,l.lmc03,71,INVALID,NOT_FOR_DECISION
037,P02D_events_in_window.csv,M09,D,全窗/元数据,lmc04 × lmc03,67,INVALID,NOT_FOR_DECISION
038,P0C02_标签口径.csv,Z00,F,全窗/元数据,产品口径 × 正例观测数_会员日 × 正例会,69,INVALID,NOT_FOR_DECISION
039,P0C03_标记次数分布.csv,Z00,F,全窗/元数据,标记次数,66,INVALID,NOT_FOR_DECISION
040,P0C04_同日泄漏检验.csv,M05,A,全窗/元数据,d0.mem × d0.mark_day,70,INVALID,NOT_FOR_DECISION
