"lv3","线下规模","真实流水","下线留存","新增会员质量","退水消耗比","赏","罚","综合分","处置建议"
45871,26.6519823788546,37.8854625550661,68.9024390243902,NA,0.662251655629139,44.479961319437,0.662251655629139,43.8177096638078,"✅ 仅监控"
21611,69.6035242290749,96.4757709251101,92.4390243902439,94.3529411764706,47.4613686534216,88.2178151802249,47.4613686534216,40.7564465268032,"✅ 仅监控"
24239,74.4493392070485,93.6123348017621,91.219512195122,90.5882352941177,47.4613686534216,87.4673553745126,47.4613686534216,40.0059867210909,"✅ 仅监控"
7485,80.6167400881057,97.3568281938326,83.4146341463415,88,47.4613686534216,87.3470506070699,47.4613686534216,39.8856819536483,"✅ 仅监控"
4316,90.4185022026432,96.9162995594714,80.7317073170732,79.0588235294118,47.4613686534216,86.7813331521499,47.4613686534216,39.3199644987282,"✅ 仅监控"
28153,85.2422907488987,95.5947136563877,84.390243902439,80,47.4613686534216,86.3068120769314,47.4613686534216,38.8454434235097,"✅ 仅监控"
21049,94.0528634361233,96.6960352422907,86.3414634146341,66.8235294117647,47.4613686534216,85.9784728762032,47.4613686534216,38.5171042227816,"✅ 仅监控"
266,74.8898678414097,88.7665198237885,90.9756097560976,86.8235294117647,47.4613686534216,85.3638817082651,47.4613686534216,37.9025130548435,"✅ 仅监控"
13623,82.5991189427313,95.8149779735683,71.9512195121951,90.1176470588235,47.4613686534216,85.1207408718296,47.4613686534216,37.6593722184079,"✅ 仅监控"
4659,78.6343612334802,97.5770925110132,80.9756097560976,81.6470588235294,47.4613686534216,84.7085305810301,47.4613686534216,37.2471619276085,"✅ 仅监控"
54377,75.7709251101322,81.057268722467,93.1707317073171,87.7647058823529,47.4613686534216,84.4409078555673,47.4613686534216,36.9795392021456,"✅ 仅监控"
45467,99.3392070484581,99.7797356828194,64.6341463414634,73.8823529411765,47.4613686534216,84.4088605034794,47.4613686534216,36.9474918500577,"✅ 仅监控"
12404,90.9691629955947,92.9515418502203,81.9512195121951,70.1176470588235,47.4613686534216,83.9973928542084,47.4613686534216,36.5360242007868,"✅ 仅监控"
50851,58.3700440528634,98.8986784140969,79.0243902439024,98.3529411764706,47.4613686534216,83.6615134718333,47.4613686534216,36.2001448184117,"✅ 仅监控"
10857,94.273127753304,98.2378854625551,75.8536585365854,61.4117647058824,47.4613686534216,82.4441091145817,47.4613686534216,34.9827404611601,"✅ 仅监控"
26556,44.0528634361233,89.8678414096916,97.0731707317073,97.1764705882353,47.4613686534216,82.0425865414394,47.4613686534216,34.5812178880178,"✅ 仅监控"
34412,83.7004405286344,91.8502202643172,77.8048780487805,74.1176470588235,47.4613686534216,81.8682964751389,47.4613686534216,34.4069278217173,"✅ 仅监控"
22960,98.4581497797357,98.0176211453744,70.4878048780488,56.2352941176471,47.4613686534216,80.7997174802015,47.4613686534216,33.3383488267799,"✅ 仅监控"
55636,46.2555066079295,83.0396475770925,96.5853658536585,95.7647058823529,47.4613686534216,80.4113064802584,47.4613686534216,32.9499378268367,"✅ 仅监控"
24226,92.0704845814978,92.7312775330396,65.8536585365854,70.5882352941177,47.4613686534216,80.3109139863101,47.4613686534216,32.8495453328885,"✅ 仅监控"
20907,91.4096916299559,93.3920704845815,62.9268292682927,72.4705882352941,47.4613686534216,80.0497949045311,47.4613686534216,32.5884262511094,"✅ 仅监控"
6151,68.1718061674009,77.0925110132159,91.4634146341463,82.5882352941177,47.4613686534216,79.8289917772202,47.4613686534216,32.3676231237985,"✅ 仅监控"
37278,60.0220264317181,79.295154185022,83.9024390243902,95.5294117647059,47.4613686534216,79.6872578514591,47.4613686534216,32.2258891980374,"✅ 仅监控"
4802,82.15859030837,88.3259911894273,77.0731707317073,71.0588235294118,47.4613686534216,79.6541439397291,47.4613686534216,32.1927752863075,"✅ 仅监控"
7591,93.3920704845815,84.1409691629956,80,60.7058823529412,47.4613686534216,79.5597305001296,47.4613686534216,32.0983618467079,"✅ 仅监控"
55893,34.1409691629956,85.9030837004405,98.6585365853659,98.5882352941177,47.4613686534216,79.3227061857299,47.4613686534216,31.8613375323083,"✅ 仅监控"
4330,92.511013215859,94.7136563876652,54.8780487804878,74.8235294117647,47.4613686534216,79.2315619489442,47.4613686534216,31.7701932955226,"✅ 仅监控"
34410,85.6828193832599,93.1718061674009,60.4878048780488,76.7058823529412,47.4613686534216,79.0120781954127,47.4613686534216,31.550709541991,"✅ 仅监控"
43525,85.9030837004405,90.5286343612335,56.8292682926829,81.8823529411765,47.4613686534216,78.7858348238833,47.4613686534216,31.3244661704617,"✅ 仅监控"
33850,73.7885462555066,73.1277533039648,93.4146341463415,74.3529411764706,47.4613686534216,78.6709687205709,47.4613686534216,31.2096000671492,"✅ 仅监控"
6397,98.8986784140969,99.5594713656388,61.219512195122,53.8823529411765,47.4613686534216,78.3900037290085,47.4613686534216,30.9286350755869,"✅ 仅监控"
13120,69.8237885462555,92.511013215859,56.0975609756098,95.0588235294118,47.4613686534216,78.372796566784,47.4613686534216,30.9114279133624,"✅ 仅监控"
488,75.9911894273128,82.5991189427313,72.4390243902439,82.3529411764706,47.4613686534216,78.3455684841896,47.4613686534216,30.884199830768,"✅ 仅监控"
14021,78.8546255506608,86.5638766519824,81.7073170731707,65.1764705882353,47.4613686534216,78.0755724660123,47.4613686534216,30.6142038125907,"✅ 仅监控"
