bet09_value,n_rows,n_members,n_days,n_b13_blank,n_b13_zero,n_b13_pos,n_b14_blank,n_b14_zero,n_b14_pos,n_both_pos,n_b13pos_b14zero,b13_sum,b14_sum,n_comm,verdict_nature,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_freecomm,roi_non_freecomm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_freecomm,avg_stake_non_freecomm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_freecomm,hold_rate,hold_rate_freecomm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_freecomm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_freecomm,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
Tip_1_,5564,521,139,0,0,5564,0,5564,0,0,5564,472187.40,0.00,1,⚠ 单向扣款（本金恒正・派彩恒零）—— UNKNOWN / SPECIAL_TRANSACTION，禁径判为小费,,,,,,,,,,,,NULL_DENOM,,,,,AG03-UNRESOLVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,1,1
Tie,9642347,151782,139,0,0,9642347,0,8728993,913354,913354,8728993,6315860341.00,5480095747.00,2,◐ 具赔付关系——形似投注，惟仍须上游确认其玩法定义,150118908.2369,150118908.2369,22608595.7156,9571012,3807782,-0.15060458,-0.15128776,-0.15052358,-0.15158178,-22608595.7156,150118908.2369,OK,146695.4530,941286.2050,4.0414,95.9586,AG03-UNRESOLVED,21667309.5105,143899311.3009,22461900.2626,21520614.0575,794590.7520,0.14962739,0.14335712,0.00529308,15.6847,39.4242,5.9375,162651.7677,183.4488,1079992.1456,27394.1151,34.5403,14.7313,2.5716,5.1431,12.8426,26.176,47.0951,175.4919,5.1431,-4.2165,9.156928,34.121767,3.049664,30,295,435471,1,0.10599579,0.15060458,0.15128776,0.00097720,0.048330,1.000000,0.048133,-0.00076417,2026-03-21,2026-08-06,139,123242,4007,139,1.000000,2.344687,1.048869,0.729366,2,1.0,0.5,0.5,E 常规,2,1
Banker,46822113,571172,139,0,0,46822113,0,20908151,25913962,25913962,20908151,330779501341.07,326319503009.67,8,◐ 具赔付关系——形似投注，惟仍须上游确认其玩法定义,7036215458.7323,6303633265.0840,82070853.1278,46475885,5757541,-0.01166406,-0.01202656,-0.01160700,-0.01236179,-82070853.1278,7036215458.7323,OK,4909346.8413,3345153.8399,3.9941,96.0059,AG03-UNRESOLVED,78725699.2879,6043697055.6267,77161506.2865,73816352.4465,-1564193.0014,0.01096634,0.01049092,-0.00022231,151.3950,1094.8482,14.2545,590437.7923,665.3602,50620255.0988,41421.1583,231.4561,143.5766,10.2844,25.9457,84.3473,258.1778,514.3107,2076.8904,21.0824,0.0,19.822562,80.047512,5.835065,30,297,1151686,1,0.13601460,0.01166406,0.01202656,0.00077881,0.039009,0.895884,0.088967,-0.00041956,2026-03-21,2026-08-06,139,123348,4007,139,1.000000,1.612074,1.063821,0.762322,3,0.5,1.0,1.0,D VIP 优质 · 加码留存，严禁误伤,3,1
