table_id,sec_elapsed,n_orders,n_player,n_rounds,valid_bet,game_pnl,stake,valid_bet_xagg,profit,n_bets,n_rounds_xagg,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
900,0,7,7,7,1385.5167996407,199.5215130222,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,1,1
900,1,301,104,252,23087.3043750918,7429.5603600487,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,2,1
900,2,1050,378,837,69117.7633872215,-9161.9909073836,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,3,1
900,3,1473,592,1074,131713.0617462750,-11892.6789269378,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,4,1
900,4,1640,725,1141,145590.2508906565,6571.3212225571,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,5,1
900,5,1630,817,1079,166131.7660826970,-17454.0016959391,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,6,1
900,6,1692,852,1107,160251.9440960840,-27210.0154067564,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,7,1
900,7,1900,970,1200,147972.7664637169,-26370.0744055621,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,8,1
900,8,1914,955,1178,158270.9202113084,-4067.3065537461,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,9,1
900,9,1981,1022,1216,162927.2945781655,2504.9963366503,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.9700598802395209,0.9700598802395209,0.0,A 平台净亏首位 · 立即处置,10,1
