no,file,n_out_cols,ROI,NetMargin,EconValue,Theo,ADT,NMPT,ESI,game_pnl,hold,residual_b,effect,expected_gain,MDD,Sharpe,Sortino,APUC,Wilcoxon,SignTest,stake,valid_bet,ngr,rebate,agent_cost,profit,PERCENT_RANK,vip_tier,action_priority,evidence
34,P02A_lmc_samples.csv,200,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
35,P02B_changestatus_patterns.csv,195,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
36,P02C_key_check.csv,198,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
37,P02D_events_in_window.csv,194,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
38,P0C02_标签口径.csv,189,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
39,P0C03_标记次数分布.csv,193,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
40,P0C04_同日泄漏检验.csv,197,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
41,P0C05_标记时点定位.csv,197,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
42,P0C06_LabelB骨架.csv,199,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
43,P0C09_安慰剂检验.csv,198,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
44,P11_阿泽尾段投注总帐.csv,223,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
45,P11_阿泽尾段投注模型会员名单.csv,200,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
46,P11_雷欧尾段投注总帐.csv,222,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
47,P12a_platform_daily.csv,204,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
48,P12b_member_events.csv,198,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
49,P12c_member_daily_pnl.csv,198,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
50,P13_personal_entry.csv,202,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
51,PH0_8r1_rg_case.csv,197,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
