"风险族","判定指标","计算口径","本次阈值","阈值来源","规模门槛","命中荷官数"
"异常 IP","归因注额占比（该族命中玩家注额 ÷ 该荷官在桌洗码量）","归因口径：其桌上的玩家行为汇总，**非荷官自身行为**","0.00","本窗口荷官分布 P99（现算）","在桌洗码量 ≥ 12,188,800（全体 P50，现算）","2"
"尾秒下注（画像）","归因注额占比（该族命中玩家注额 ÷ 该荷官在桌洗码量）","归因口径：其桌上的玩家行为汇总，**非荷官自身行为**","0.06","本窗口荷官分布 P99（现算）","在桌洗码量 ≥ 12,188,800（全体 P50，现算）","1"
"对打","归因注额占比（该族命中玩家注额 ÷ 该荷官在桌洗码量）","归因口径：其桌上的玩家行为汇总，**非荷官自身行为**","0.00","本窗口荷官分布 P99（现算）","在桌洗码量 ≥ 12,188,800（全体 P50，现算）","0"
"同桌率","归因注额占比（该族命中玩家注额 ÷ 该荷官在桌洗码量）","归因口径：其桌上的玩家行为汇总，**非荷官自身行为**","0.93","本窗口荷官分布 P99（现算）","在桌洗码量 ≥ 12,188,800（全体 P50，现算）","0"
