"风险族","命中线数","归因营业额","归因GGR","归因NGR₂","归因退水","NGR₂ 率","会计差额（若同于全体）"
"【基准】全体（玩家侧全量）","—","12,101,545,165","234,152,957","225,932,201","8,220,756","1.867%","0"
"异常 IP","4","341,893","-10,980","-13,985","3,006","-4.091%","20,368"
"尾秒下注（画像）（画像·不计入合计）","1","79,548","3,311","3,311","0","4.162%","-1,825"
"对打","2","478,208","10,917","10,917","0","2.283%","-1,989"
"同桌率","1","520,039","12,082","12,082","0","2.323%","-2,373"
