"member_id","n_rounds_all","n_rounds_tail","tail_share","tail_win","tail_lose","tail_winrate","norm_winrate","winrate_diff","tail_stake","tail_valid_bet","tail_game_pnl","tail_rebate","tail_net_pnl","tail_roi","norm_game_pnl","norm_roi","tail_profit_share","uid",".share",".n"
110934202,2992,2237,0.7476604,1024,1006,0.5044335,0.4919942,0.0124393,211047.5613,147433.3138,-1469.78384,0,-1469.78384,-0.009969143,-453.3485952,-0.019117154,0.864080027,110934202,0.7476604,2237
111645889,22561,15875,0.7036479,4204,11175,0.2733598,0.2669865,0.0063733,117945.0179,114349.8765,-11192.13661,0,-11192.13661,-0.097876246,-3093.376184,-0.080789509,0.737723873,111645889,0.7036479,15875
111675761,6606,5184,0.7847411,2335,2379,0.4953331,0.4806502,0.0146829,5404320,4870639,-294947.35,0,-294947.35,-0.060556192,129000.2,0.127116211,0.800187425,111675761,0.7847411,5184
111716399,1387,1123,0.8096611,583,526,0.5256988,0.513308,0.0123908,129294.2059,118353.7667,-6969.567364,0,-6969.567364,-0.058887584,-3928.302653,-0.131034495,0.825696045,111716399,0.8096611,1123
111862226,1201,825,0.6869276,380,428,0.470297,0.4,0.070297,63572.82128,60348.47995,-4841.108289,0,-4841.108289,-0.080219225,-2202.025964,-0.110351045,0.750429121,111862226,0.6869276,825
111887075,1105,881,0.7972851,420,432,0.4929577,0.5233645,-0.0304068,23322.02109,21569.37131,-1551.10694,0,-1551.10694,-0.071912478,312.6334349,0.058575447,0.788878562,111887075,0.7972851,881
112018138,271,185,0.6826568,95,85,0.5277778,0.4761905,0.0515873,6160.574628,5555.985905,202.9900904,0,202.9900904,0.036535386,-72.57901008,-0.029592708,0.695820139,112018138,0.6826568,185
112507214,339,236,0.6961652,102,110,0.4811321,0.5108696,-0.0297375,4617.929079,4174.394735,-265.5324998,0,-265.5324998,-0.063609821,-98.15207103,-0.064754327,0.733939524,112507214,0.6961652,236
113354056,9624,7129,0.7407523,2952,3341,0.4690926,0.41527,0.0538226,90318.91169,80342.78679,570.5882389,0,570.5882389,0.007101922,-535.5626034,-0.025617619,0.800951135,113354056,0.7407523,7129
113678600,533,416,0.7804878,183,216,0.4586466,0.5,-0.0413534,25370.03431,22213.5961,-1270.542748,0,-1270.542748,-0.057196626,229.2368053,0.042747247,0.782827033,113678600,0.7804878,416
113955984,1261,879,0.6970658,402,384,0.5114504,0.5297619,-0.0183115,3452244.146,3137733.689,-61241.51507,0,-61241.51507,-0.019517754,97104.22068,0.076843233,0.693625069,113955984,0.6970658,879
114000582,369,310,0.8401084,146,133,0.5232975,0.5,0.0232975,29099.63919,26664.73457,419.8324139,0,419.8324139,0.015744856,916.9971583,0.152582491,0.796273376,114000582,0.8401084,310
114015518,2026,1485,0.7329714,668,699,0.4886613,0.4879032,0.0007581,692749.1682,639101.3545,-15096.39209,0,-15096.39209,-0.02362128,-3527.984938,-0.022398076,0.802296447,114015518,0.7329714,1485
114046990,3538,2440,0.6896552,1142,1079,0.5141828,0.5194805,-0.0052977,2811699.791,2528201.592,-29093.84226,0,-29093.84226,-0.011507722,32151.77493,0.034515313,0.721740527,114046990,0.6896552,2440
114254699,1571,1129,0.7186505,529,514,0.5071908,0.4480198,0.059171,305778.6691,279229.6725,-843.1742399,0,-843.1742399,-0.003019644,-4678.829862,-0.059163546,0.77998189,114254699,0.7186505,1129
114507958,2581,1906,0.7384735,876,848,0.5081206,0.4950658,0.0130548,73121.1314,64093.07356,1253.339561,0,1253.339561,0.019554992,-752.3860569,-0.036954363,0.769493884,114507958,0.7384735,1906
114680858,7204,6348,0.8811771,2892,2841,0.5044479,0.5154639,-0.011016,4165728.556,3781108.739,363865.5618,0,363865.5618,0.096232504,24872.64441,0.054474152,0.896367276,114680858,0.8811771,6348
114908267,323,244,0.755418,113,127,0.4708333,0.4415584,0.0292749,7512.863661,6784.95473,-201.3402406,0,-201.3402406,-0.029674515,25.18441233,0.014708603,0.796445057,114908267,0.755418,244
115107143,2554,1896,0.7423649,1010,851,0.542719,0.5270479,0.0156711,201322.5979,162684.4062,-1764.911779,0,-1764.911779,-0.010848684,-1649.580556,-0.029608667,0.749153622,115107143,0.7423649,1896
115118046,1584,1104,0.6969697,599,492,0.5490376,0.4297694,0.1192682,103160.3821,95028.83845,-4299.762344,0,-4299.762344,-0.045246921,-5294.601676,-0.15863237,0.77085232,115118046,0.6969697,1104
115255281,2361,1734,0.7344346,899,817,0.5238928,0.4232633,0.1006295,278878.5997,227337.6756,-15566.31797,0,-15566.31797,-0.068472232,4126.040658,0.089997403,0.803947972,115255281,0.7344346,1734
115371406,325,229,0.7046154,78,136,0.364486,0.3258427,0.0386433,3793,3611.5,-145.85,0,-145.85,-0.040384882,-140.55,-0.096931034,0.735996914,115371406,0.7046154,229
116093919,270,189,0.7,89,79,0.5297619,0.5362319,-0.00647,6064.068752,5483.273046,-669.4487068,0,-669.4487068,-0.122089252,-393.1993842,-0.240991308,0.794526079,116093919,0.7,189
116391679,2017,1608,0.7972236,721,741,0.4931601,0.5220994,-0.0289393,196353.8783,178521.8918,-7875.459462,0,-7875.459462,-0.044114811,254.8179427,0.00574372,0.79232457,116391679,0.7972236,1608
116744234,351,273,0.7777778,122,116,0.512605,0.472973,0.039632,21140.83096,18219.15557,122.8592031,0,122.8592031,0.006743408,141.9383906,0.03092592,0.794924551,116744234,0.7777778,273
116758834,4051,2840,0.7010615,1214,1347,0.4740336,0.4808743,-0.0068407,255684,233002,-19080.5,0,-19080.5,-0.081889855,-7572.65,-0.144834082,0.827097641,116758834,0.7010615,2840
117073293,736,526,0.7146739,250,239,0.5112474,0.5074627,0.0037847,462043.4128,424741.7123,-10458.20023,0,-10458.20023,-0.024622494,-1203.445241,-0.00974951,0.767743186,117073293,0.7146739,526
117268789,555,435,0.7837838,181,228,0.4425428,0.3965517,0.0459911,69598.85077,63827.63912,-6993.838468,0,-6993.838468,-0.109573824,771.6454412,0.089195922,0.843541887,117268789,0.7837838,435
117574493,2111,1946,0.921838,1068,852,0.55625,0.5123457,0.0439043,95565.41937,86350.97597,221.8742817,0,221.8742817,0.002569447,-1174.890204,-0.167700998,0.936756995,117574493,0.921838,1946
117749780,745,531,0.7127517,283,243,0.5380228,0.5186916,0.0193312,72059.60928,66737.97753,646.259688,0,646.259688,0.009683537,-1018.74126,-0.041680522,0.742194978,117749780,0.7127517,531
117878476,787,580,0.7369759,274,269,0.5046041,0.5106383,-0.0060342,41127.39099,38275.1621,1354.810405,0,1354.810405,0.035396595,197.6819903,0.013834664,0.732653191,117878476,0.7369759,580
118084797,2116,1593,0.7528355,747,700,0.5162405,0.4752066,0.0410339,83703.09201,75029.62356,-4980.009035,0,-4980.009035,-0.066373904,-2588.84234,-0.179080829,0.856396698,118084797,0.7528355,1593
118156427,360,247,0.6861111,119,122,0.4937759,0.4074074,0.0863685,57202.15507,52103.43478,2635.013266,0,2635.013266,0.050572736,-4508.735115,-0.215940364,0.788564249,118156427,0.6861111,247
118308741,273,213,0.7802198,78,111,0.4126984,0.4117647,0.0009337,4537,3857,-208.25,0,-208.25,-0.05399274,35.5,0.042565947,0.811456128,118308741,0.7802198,213
118472819,820,628,0.7658537,289,285,0.5034843,0.4754098,0.0280745,224494.1822,204846.1618,2676.746196,0,2676.746196,0.013067104,-1051.450629,-0.021174891,0.81026751,118472819,0.7658537,628
118538694,290,201,0.6931034,112,89,0.5572139,0.5617978,-0.0045839,142001.8906,106394.2863,2557.609495,957.5485769,3515.158072,0.024038974,336.7293352,0.007202229,0.713369573,118538694,0.6931034,201
118840464,393,325,0.826972,139,154,0.4744027,0.453125,0.0212777,11297.05998,10194.3487,-231.9857316,0,-231.9857316,-0.022756307,-215.6071758,-0.131767601,0.875253656,118840464,0.826972,325
118849302,525,387,0.7371429,146,223,0.395664,0.4651163,-0.0694523,126660.0932,116310.5774,-12641.90705,0,-12641.90705,-0.108690949,3164.823909,0.093941839,0.756466145,118849302,0.7371429,387
119089625,810,638,0.7876543,332,292,0.5320513,0.5508982,-0.0188469,822717.7657,513371.6152,-31566.69021,0,-31566.69021,-0.061488967,16781.34323,0.161911167,0.797642261,119089625,0.7876543,638
119189462,451,342,0.7583149,168,145,0.5367412,0.407767,0.1289742,117644,108724,8854.3,0,8854.3,0.081438321,-9184.5,-0.328205403,0.862702656,119189462,0.7583149,342
119414968,2564,1890,0.7371295,1015,833,0.5492424,0.5614568,-0.0122144,36317.07163,33787.76235,-2073.875521,270.3020988,-1803.573422,-0.061379487,-417.3716783,-0.043131573,0.769839338,119414968,0.7371295,1890
119549902,364,256,0.7032967,97,130,0.4273128,0.4646465,-0.0373337,21267.45678,18862.8929,-3393.374494,0,-3393.374494,-0.179896822,-383.4642189,-0.052624642,0.690840786,119549902,0.7032967,256
120371840,857,589,0.6872812,310,260,0.5438596,0.4806202,0.0632394,38710.10412,35455.18763,963.2917618,0,963.2917618,0.027169276,-1534.724205,-0.131730167,0.781002578,120371840,0.6872812,589
12119864,7200,6286,0.8730556,2817,2870,0.4953402,0.5078597,-0.0125195,1105391.439,993679.6312,-33954.19079,0,-33954.19079,-0.034170159,-3982.093584,-0.047720115,0.923540756,12119864,0.8730556,6286
121315460,372,263,0.7069892,118,119,0.4978903,0.4795918,0.0182985,1602.69047,1450.50887,0.986515001,0,0.986515001,0.000680116,-14.16471111,-0.030388122,0.762771925,121315460,0.7069892,263
121599695,911,622,0.6827662,294,278,0.513986,0.5444015,-0.0304155,368314.1583,342242.3775,-8130.185713,0,-8130.185713,-0.023755637,11549.35112,0.072489293,0.661473208,121599695,0.6827662,622
121649071,257,203,0.7898833,84,98,0.4615385,0.5294118,-0.0678733,155310,137894,-9796.25,0,-9796.25,-0.071041887,-6720.9,-0.143535366,0.762641881,121649071,0.7898833,203
121672939,671,485,0.7228018,225,218,0.5079007,0.5384615,-0.0305608,42145.76827,35962.88735,-3.732772909,0,-3.732772909,-0.000103795,850.9615407,0.123016944,0.819607776,121672939,0.7228018,485
122100934,4268,3415,0.8001406,1696,1699,0.4995582,0.5322196,-0.0326614,94861.42288,86585.54463,-4631.482749,0,-4631.482749,-0.053490254,1130.272452,0.066041886,0.81326958,122100934,0.8001406,3415
122228417,233,172,0.7381974,75,86,0.4658385,0.4210526,0.0447859,417502.0638,394330.1536,-35477.84107,0,-35477.84107,-0.089969891,-37141.795,-0.38646996,0.860585218,122228417,0.7381974,172
122294469,1277,913,0.7149569,422,420,0.5011876,0.4970238,0.0041638,36556.62547,33526.42381,-549.9256934,0,-549.9256934,-0.016402754,-312.9086339,-0.027486449,0.750943521,122294469,0.7149569,913
122480015,562,391,0.6957295,186,185,0.5013477,0.4873418,0.0140059,47978.90551,43918.8613,-3019.657441,0,-3019.657441,-0.068755367,-304.2282779,-0.022017483,0.745779479,122480015,0.6957295,391
122538955,2090,1497,0.7162679,668,674,0.4977645,0.5233645,-0.0256,273305.4092,244190.6085,-2135.66839,0,-2135.66839,-0.008745907,3124.611216,0.034072003,0.718326673,122538955,0.7162679,1497
122557578,444,337,0.759009,162,150,0.5192308,0.5252525,-0.0060217,207687.4103,191840.2868,4959.942434,0,4959.942434,0.02585454,-2827.981483,-0.060552293,0.817587389,122557578,0.759009,337
122584750,6970,5534,0.7939742,2468,2541,0.4927131,0.5181467,-0.0254336,117527.1364,106347.5735,-5109.049311,0,-5109.049311,-0.048041052,-286.7802846,-0.01234249,0.81526722,122584750,0.7939742,5534
122605713,1115,818,0.7336323,394,397,0.4981037,0.554386,-0.0562823,99848.88479,78802.60551,-2635.546342,0,-2635.546342,-0.033444914,1840.581999,0.068435268,0.739968956,122605713,0.7336323,818
122614291,587,402,0.6848382,211,168,0.5567282,0.5028249,0.0539033,67128.55088,60269.0299,1274.74158,0,1274.74158,0.021150856,-3432.105257,-0.123300068,0.722833149,122614291,0.6848382,402
122678865,6464,5442,0.8418936,2459,2435,0.502452,0.4880435,0.0144085,305983.5795,275072.0903,-2211.853116,0,-2211.853116,-0.008040994,-1582.15127,-0.032712321,0.853653112,122678865,0.8418936,5442
122701053,1403,1008,0.7184604,519,481,0.519,0.4959569,0.0230431,198542.1804,184343.0293,-9973.926551,0,-9973.926551,-0.054105255,-2352.140469,-0.050859007,0.782624618,122701053,0.7184604,1008
122970674,2045,1430,0.6992665,648,778,0.454418,0.4737705,-0.0193525,141007.6395,129908.186,-13655.98035,0,-13655.98035,-0.105120245,-569.4246726,-0.011499034,0.6952129,122970674,0.6992665,1430
123326014,493,377,0.7647059,193,183,0.5132979,0.3245614,0.1887365,50600.17959,42818.27186,-4131.910748,0,-4131.910748,-0.096498774,-4.099085578,-0.000771969,0.871642982,123326014,0.7647059,377
123330972,6386,4587,0.71829,2146,2074,0.5085308,0.4823815,0.0261493,18932594.2,16275551.62,-522707.4889,0,-522707.4889,-0.032116115,-85779.22738,-0.0170737,0.759538806,123330972,0.71829,4587
123517797,1106,767,0.6934901,374,371,0.5020134,0.4447853,0.0572281,126013.9017,112431.8549,4578.504773,899.4548394,5477.959612,0.040722487,176.7439062,0.004594653,0.748935419,123517797,0.6934901,767
