"LV3 代理线","综合分","赏侧均值","罚侧均值","综合分分位","领域｜D01 获客","领域｜D06 收入","领域｜D05 留存","领域｜D08 风险","领域｜D11 网络","领域｜D07 盈利","维度｜线下规模","维度｜真实流水","维度｜下线留存","维度｜新增会员质量","维度｜对打渗透率","维度｜单链密度","维度｜退水消耗比"
"36260",-50.19,9.32,59.51,0,13.7,0.5,NA,51.9,69.1,0.5,4.7,0.5,NA,22.7,48.1,30.9,99.5
"33581",-46.14,18.8,64.93,0.3,32.2,7.9,2.8,51.9,0,53.3,27.5,7.9,2.8,37,48.1,100,46.7
"55148",-39.17,2.74,41.91,0.5,4.7,0.8,NA,51.9,69.1,53.3,4.7,0.8,NA,NA,48.1,30.9,46.7
"1644",-39.11,39.03,78.13,0.8,32.5,60.3,30.8,51.9,10,3.7,60.9,60.3,30.8,4.1,48.1,90,96.3
"15233",-37.92,34.57,72.49,1.1,37.3,37.8,25.8,51.9,30.4,0.3,59.6,37.8,25.8,15.1,48.1,69.6,99.7
"45340",-37.69,21.56,59.24,1.3,2.9,58.9,NA,51.9,69.1,1.3,4.7,58.9,NA,1.1,48.1,30.9,98.7
"43152",-37.24,4.67,41.91,1.7,4.7,NA,NA,51.9,69.1,53.3,4.7,NA,NA,NA,48.1,30.9,46.7
"53245",-37.24,4.67,41.91,1.7,4.7,NA,NA,51.9,69.1,53.3,4.7,NA,NA,NA,48.1,30.9,46.7
"53971",-36.25,5.67,41.91,2.1,7,3,NA,51.9,69.1,53.3,4.7,3,NA,9.3,48.1,30.9,46.7
"28119",-35.06,6.85,41.91,2.4,6.9,NA,NA,51.9,69.1,53.3,4.7,NA,NA,9,48.1,30.9,46.7
"50263",-33.72,29.88,63.6,2.7,44.2,17,14.1,51.9,4,53.3,56.1,17,14.1,32.3,48.1,96,46.7
"25577",-33.3,8.61,41.91,2.9,12.2,1.4,NA,51.9,69.1,53.3,12.4,1.4,NA,12.1,48.1,30.9,46.7
"22017",-32.98,26.22,59.2,3.2,26.6,15.9,35.8,0,69.1,53.3,27.5,15.9,35.8,25.8,100,30.9,46.7
"5374",-32.43,9.48,41.91,3.5,7.2,20.8,2.8,51.9,69.1,53.3,12.4,20.8,2.8,1.9,48.1,30.9,46.7
"45799",-32.3,9.62,41.91,3.7,12.5,10.7,2.8,51.9,69.1,53.3,17.9,10.7,2.8,7.1,48.1,30.9,46.7
"30822",-32.29,9.62,41.91,4,14.1,7.4,2.8,51.9,69.1,53.3,12.4,7.4,2.8,15.9,48.1,30.9,46.7
"32974",-31.81,10.1,41.91,4.3,17.4,2.7,2.8,51.9,69.1,53.3,21.7,2.7,2.8,13.2,48.1,30.9,46.7
"46518",-31.5,10.41,41.91,4.5,15.6,0,NA,51.9,69.1,53.3,4.7,0,NA,26.6,48.1,30.9,46.7
"39725",-31.41,10.51,41.91,4.8,10.3,18.6,2.8,51.9,69.1,53.3,17.9,18.6,2.8,2.7,48.1,30.9,46.7
"38863",-31.36,10.55,41.91,5.1,10.6,NA,NA,51.9,69.1,53.3,4.7,NA,NA,16.4,48.1,30.9,46.7
"49861",-30.86,11.05,41.91,5.3,15.3,2.5,NA,51.9,69.1,53.3,4.7,2.5,NA,26,48.1,30.9,46.7
"46707",-30.78,11.13,41.91,5.6,11.1,NA,NA,51.9,69.1,53.3,12.4,NA,NA,9.9,48.1,30.9,46.7
