"bet_ip","m_a","m_b","n_same_round","n_opposite_round","opposite_rate","hedge_coverage",".or",".ns"
"49.150.111.16",150435964,150780288,2590,2590,1,0.9586873,1,2590
"119.111.228.230",150435964,150780288,1960,1960,1,0.9632653,1,1960
"119.111.224.229",151442090,151587260,1924,1924,1,0.8232848,1,1924
"119.111.224.229",150435964,150780288,1626,1626,1,0.8659287,1,1626
"171.251.175.11",151548232,151718449,1253,1253,1,0.8723065,1,1253
"14.249.186.132",149280754,151881574,1234,1234,1,0.9773096,1,1234
"116.103.65.10",149280754,151361138,1228,1228,1,0.970684,1,1228
"171.235.137.113",149280754,151572319,1224,1224,1,0.9673203,1,1224
"14.169.128.35",118585876,151104426,1214,1214,1,0.9983526,1,1214
"115.72.38.60",151548232,152593006,1185,1185,1,1,1,1185
"117.0.84.28",151548054,151548232,1174,1174,1,0.9770017,1,1174
"27.66.207.109",149280754,151934775,1170,1170,1,0.9769231,1,1170
"117.7.145.89",149280754,151361138,1161,1161,1,0.9707149,1,1161
"171.238.153.211",149280754,151742247,1132,1132,1,0.9266784,1,1132
"171.235.135.55",151548232,151742247,1099,1099,1,0.989081,1,1099
"42.116.142.172",151548232,151791280,1090,1090,1,0.9779817,1,1090
"116.102.151.68",149280754,151572319,972,972,1,0.968107,1,972
"119.111.224.229",150435964,151445534,858,858,1,0.8916084,1,858
"49.228.187.120",153520079,153520469,829,829,1,0.9939686,1,829
"113.177.70.59",148404969,148404976,754,754,1,0.9933687,1,754
"119.111.224.84",150435964,151445534,748,748,1,0.8582888,1,748
"119.111.224.229",150862800,151576015,734,734,1,0.8950954,1,734
"14.255.56.226",148404969,148408234,635,635,1,0.9952756,1,635
"113.177.70.59",148404969,148408234,625,625,1,0.9936,1,625
"151.242.10.152",153167139,153167153,548,548,1,0.9817518,1,548
"14.255.56.226",148404976,148408234,507,507,1,1,1,507
"203.160.80.89",153167139,153167153,492,492,1,1,1,492
"119.111.227.138",150435964,150780288,370,370,1,0.9675676,1,370
"119.111.224.229",150435964,151576015,342,342,1,0.8216374,1,342
"123.26.221.28",148404976,148408234,333,333,1,0.996997,1,333
"123.17.180.59",146039692,146039696,313,313,1,1,1,313
"119.111.224.229",151445534,151576015,312,312,1,0.8237179,1,312
"123.26.221.28",148404969,148404976,306,306,1,1,1,306
"117.183.89.97",141584193,141586189,305,305,1,1,1,305
"14.188.72.77",148404976,148408234,304,304,1,1,1,304
"117.182.20.101",141584193,141588870,299,299,1,1,1,299
"14.182.22.192",148404969,148408234,294,294,1,1,1,294
"117.182.20.101",141588870,144837544,292,292,1,1,1,292
"119.111.224.84",150435964,150780288,266,266,1,0.9210526,1,266
"119.111.229.172",150435964,150780288,263,263,1,0.9695817,1,263
"117.183.89.173",141584193,141621502,261,261,1,1,1,261
"123.17.180.59",146039696,146505880,256,256,1,0.9960938,1,256
"117.182.20.101",141584193,141621502,256,256,1,1,1,256
"49.47.128.4",146765426,146765429,252,252,1,1,1,252
"117.183.88.121",141584193,141588870,243,243,1,1,1,243
"61.238.8.124",141873121,149216885,242,242,1,0.9421488,1,242
"113.191.76.86",148404969,148408234,240,240,1,0.9916667,1,240
"117.183.88.46",141584193,141588116,232,232,1,1,1,232
"120.235.45.42",150935191,150935194,232,232,1,1,1,232
"119.111.227.138",150862345,150862800,228,228,1,0.995614,1,228
"119.111.224.229",151812997,151812999,221,221,1,0.8371041,1,221
"117.182.20.101",141620628,144837544,221,221,1,1,1,221
"119.111.224.84",151445534,151576015,219,219,1,0.9269406,1,219
"49.47.128.248",146765426,148816838,215,215,1,1,1,215
"14.255.56.226",146513235,148404976,212,212,1,0.995283,1,212
"203.160.80.76",153167139,153167153,211,211,1,0.985782,1,211
"14.181.122.228",148404969,148408234,210,210,1,0.9952381,1,210
"113.191.76.86",148404976,148408234,210,210,1,1,1,210
"123.27.199.21",148404976,148408234,208,208,1,1,1,208
"14.182.22.192",148404976,148408234,206,206,1,1,1,206
"116.101.178.242",149280754,151572319,204,204,1,0.9705882,1,204
"223.185.30.208",149644265,149644269,202,202,1,0.990099,1,202
"117.183.88.151",141584193,141588870,193,193,1,1,1,193
"220.134.69.226",142751124,142751137,189,189,1,0.2486772,1,189
"119.111.224.229",150862800,151445534,189,189,1,0.8835979,1,189
"117.183.88.46",141584193,141588870,187,187,1,1,1,187
"202.165.87.2",149492715,149847884,187,187,1,0.9839572,1,187
"119.111.224.229",151576015,151904197,187,187,1,0.9251337,1,187
"49.47.128.170",146765426,147225523,187,187,1,1,1,187
"202.165.87.144",149634119,149723066,185,185,1,0.9945946,1,185
"116.96.44.195",151531691,151531739,184,184,1,1,1,184
"123.27.199.21",146513235,148404969,180,180,1,0.9944444,1,180
"202.165.86.248",149492715,149847884,179,179,1,0.9944134,1,179
"14.188.72.77",148404969,148404976,178,178,1,1,1,178
"14.182.22.192",148404969,148404976,177,177,1,1,1,177
"14.181.193.102",153190558,153199286,177,177,1,1,1,177
"14.244.141.200",148404969,148404976,176,176,1,1,1,176
"14.169.128.35",118585876,151153389,175,175,1,0.3142857,1,175
"202.165.86.171",149531262,149835432,173,173,1,1,1,173
"117.183.89.68",141584193,141621502,171,171,1,1,1,171
"119.111.229.27",150435964,151445534,169,169,1,0.8757396,1,169
