"荷官工号","综合分","赏侧均值","罚侧均值","综合分分位","在桌洗码量（原值）","桌面盈亏·平台视角（原值）","领域｜D06 收入","领域｜D04 活跃","领域｜D09 效率","领域｜D08 风险","领域｜D11 网络","维度｜在桌洗码量","维度｜客群广度","维度｜当值时长","维度｜节奏稳定度","维度｜对打局占比","维度｜异常对关联","维度｜風險單密度","维度｜特定玩家复现率"
"1221",-20.21,56.96,77.18,19.5,25462098.29,120958.02,57.1,64.8,53,8.6,65.5,57.1,64.8,66.4,39.5,92.3,94.8,87.1,34.5
"1108",-20.04,14.54,34.58,19.9,63722.21,3854.48,12.5,19,13.3,77,30.7,12.5,19,20.3,6.3,25.8,25.8,17.4,69.3
"2068",-19.6,17.42,37.02,20.2,126309.99,-25499.02,18.5,16.4,NA,77,20.9,18.5,16.4,NA,NA,25.8,25.8,17.4,79.1
"1956",-18.71,14.48,33.19,20.6,88602.83,1313.49,16,29.1,6.4,77,36.2,16,29.1,11.5,1.3,25.8,25.8,17.4,63.8
"2164",-18.46,39.99,58.45,20.9,174962.73,-18367.68,24.4,19.9,57.8,50.6,14.3,24.4,19.9,20.3,95.4,25.8,25.8,96.5,85.7
"1964",-18.02,49.57,67.6,21.3,214718.43,5031.48,27.2,42.2,64.5,27.8,46.3,27.2,42.2,36.5,92.4,99.7,99.7,17.4,53.7
"1703",-17.59,15.43,33.01,21.6,56540.76,-1224.03,10.8,23.9,13.5,77,36.9,10.8,23.9,20.3,6.7,25.8,25.8,17.4,63.1
"2162",-17.46,39.59,57.06,22,95432.5,5.48,16.7,19,61.3,49.8,22.3,16.7,19,36.5,86.1,25.8,25.8,99,77.7
"1353",-17.38,54.83,72.21,22.3,32724898.87,530757.09,68.6,70.4,40.2,17.4,58.9,68.6,70.4,57.6,22.7,94.8,92.3,60.6,41.1
"2069",-17.17,21.33,38.5,22.6,133799.01,8043.52,20.9,17.2,23.6,77,15,20.9,17.2,29.1,18.1,25.8,25.8,17.4,85
"1300",-16.93,17.73,34.67,23,59423.88,-5361.58,11.5,18.1,20.7,77,30.3,11.5,18.1,20.3,21,25.8,25.8,17.4,69.7
"1680",-16.81,20.3,37.11,23.3,226521.32,-12405.8,28.6,23.9,14.4,77,20.6,28.6,23.9,11.5,17.2,25.8,25.8,17.4,79.4
"2240",-16.72,18.82,35.54,23.7,117736.95,-9903.92,17.8,19.9,NA,77,26.8,17.8,19.9,NA,NA,25.8,25.8,17.4,73.2
"1965",-16.71,37.74,54.44,24,41521.71,-1612.74,9.4,21.3,60.1,49.7,33.1,9.4,21.3,29.1,91.2,25.8,25.8,99.3,66.9
"1148",-16.64,21.42,38.07,24.4,126967.81,-339,18.8,23.9,21.5,77,16.7,18.8,23.9,39.6,3.4,25.8,25.8,17.4,83.3
"598",-16.58,21.32,37.89,24.7,305771.24,-18577.2,34.8,25.8,3.3,77,17.4,34.8,25.8,3.3,NA,25.8,25.8,17.4,82.6
"1508",-15.44,21.14,36.59,25.1,82018.53,-2593.59,15,25.8,21.9,77,22.6,15,25.8,29.1,14.7,25.8,25.8,17.4,77.4
"2110",-15.21,19.11,34.32,25.4,172325.64,-1215.87,24,30,3.3,77,31.7,24,30,3.3,NA,25.8,25.8,17.4,68.3
"1087",-14.97,20.75,35.71,25.8,131359.31,3867.44,20.2,22.5,20.2,77,26.1,20.2,22.5,36.5,3.8,25.8,25.8,17.4,73.9
"1506",-14.52,24.24,38.76,26.1,247771.84,-6485.57,28.9,28.4,19.8,77,13.9,28.9,28.4,20.3,19.3,25.8,25.8,17.4,86.1
"2090",-14.26,25.12,39.37,26.5,442834.17,30464.33,40.1,22.5,19,77,11.5,40.1,22.5,29.1,8.8,25.8,25.8,17.4,88.5
"2092",-14.07,21.12,35.19,26.8,272470.93,-15294.7,32.1,30.8,10.8,77,28.2,32.1,30.8,11.5,10.1,25.8,25.8,17.4,71.8
"1940",-13.99,59.01,73,27.2,18124481.14,-241299.76,51.6,54,65.2,15.6,61.3,51.6,54,47.3,83.2,86.4,97.6,69.3,38.7
"1256",-13.41,28.31,41.72,27.5,681.68,-34.62,1.4,2.4,54.7,77,2.1,1.4,2.4,11.5,97.9,25.8,25.8,17.4,97.9
"1952",-13.26,27.42,40.68,27.9,349407.21,-15513.61,37.3,31.5,20.4,70.3,26.5,37.3,31.5,29.1,11.8,25.8,25.8,37.6,73.5
"2230",-12.72,24.48,37.2,28.2,129768,1083.85,19.9,29.1,NA,77,20.2,19.9,29.1,NA,NA,25.8,25.8,17.4,79.8
"1984",-12.68,37.23,49.91,28.6,470910.24,17427.46,42.2,43.6,31.6,51.6,45.6,42.2,43.6,41.8,21.4,25.8,25.8,93.7,54.4
"2140",-12.59,26.61,39.2,28.9,43128.86,1651.48,9.8,9.6,43.5,77,12.2,9.8,9.6,29.1,58,25.8,25.8,17.4,87.8
"1991",-12.57,37.86,50.44,29.3,911179.2,29626.2,45.6,46.3,29.7,51.3,44.3,45.6,46.3,44.3,15.1,25.8,25.8,94.4,55.7
"1114",-11.91,36.44,48.34,29.6,192711.18,4118.03,25.4,27.7,46.3,56.1,38.3,25.4,27.7,11.5,81.1,25.8,25.8,80.1,61.7
"2257",-11.59,24.3,35.89,30,185773.71,6911.06,24.7,23.9,NA,77,25.4,24.7,23.9,NA,NA,25.8,25.8,17.4,74.6
"2077",-11.23,23.53,34.76,30.3,152476.1,7144.75,22.3,21.3,25.3,77,30,22.3,21.3,20.3,30.3,25.8,25.8,17.4,70
"2253",-10.02,27.7,37.72,30.7,255695.51,-22145.59,29.6,25.8,NA,77,18.1,29.6,25.8,NA,NA,25.8,25.8,17.4,81.9
"1354",-10,40.61,50.61,31,1094146.91,-18932.19,46.7,45.8,35,51.8,42.2,46.7,45.8,41.8,28.2,25.8,25.8,93,57.8
"2078",-9.55,26.52,36.06,31.4,197944.41,-21594.66,25.8,38.2,21.1,70.7,43.6,25.8,38.2,29.1,13,25.8,25.8,36.2,56.4
"2191",-8.48,30.46,38.94,31.7,13515.1,-842.46,4.2,7,55.3,77,13.2,4.2,7,11.5,99.2,25.8,25.8,17.4,86.8
"2122",-8.37,31,39.37,32.1,258378.48,5590.96,30,39,27.5,67.2,40.8,30,39,36.5,18.5,25.8,25.8,46.7,59.2
"2173",-8.32,27.48,35.8,32.4,267995.58,5620.08,30.7,37.3,21,77,25.8,30.7,37.3,36.5,5.5,25.8,25.8,17.4,74.2
"1105",-8.23,47.78,56.01,32.8,346463.15,3753.56,36.9,41.5,56.4,49.6,27.2,36.9,41.5,29.1,83.6,25.8,25.8,99.7,72.8
"2189",-7.84,29.62,37.46,33.1,425271.05,6219.37,39,38.2,20.6,77,19.2,39,38.2,29.1,12.2,25.8,25.8,17.4,80.8
"2080",-7.83,29.45,37.28,33.4,127745.24,-7959.77,19.2,23.9,37.4,77,19.9,19.2,23.9,36.5,38.2,25.8,25.8,17.4,80.1
"1993",-7.8,32.09,39.9,33.8,16793.02,-12.11,4.9,7,58.3,77,9.4,4.9,7,20.3,96.2,25.8,25.8,17.4,90.6
"1220",-7.12,24.41,31.53,34.1,142252.31,-11045.37,22,32.8,21.5,77,42.9,22,32.8,40.4,2.5,25.8,25.8,17.4,57.1
"2072",-6.8,31,37.8,34.5,447674.04,-20348.99,40.4,30,26.8,77,17.8,40.4,30,41,12.6,25.8,25.8,17.4,82.2
"2271",-6.8,55.57,62.37,34.8,26997681.58,168314.84,59.2,66.2,48.4,25.7,73.5,59.2,66.2,44.3,52.5,81.5,97.9,43.6,26.5
"2243",-6.1,32.23,38.33,35.2,302637.56,65026.14,34.5,30,NA,77,15.7,34.5,30,NA,NA,25.8,25.8,17.4,84.3
"1702",-6.08,55.77,61.85,35.5,18768135.23,137410.29,51.9,55.4,57.9,26.6,72.8,51.9,55.4,72.1,43.7,63.8,86.8,69.7,27.2
"1258",-6.03,34.39,40.42,35.9,107717.6,2917.92,17.4,7,56.6,77,7.3,17.4,7,20.3,92.9,25.8,25.8,17.4,92.7
"987",-5.98,55.43,61.41,36.2,27269915.56,197050.08,59.6,65.5,48.3,25.9,76.7,59.6,65.5,60.9,35.7,66.6,89.9,65.9,23.3
"2083",-5.75,33.89,39.63,36.9,60853.41,-10101.34,12.2,8.5,57.4,77,10.5,12.2,8.5,29.1,85.7,25.8,25.8,17.4,89.5
"2171",-5.75,64.28,70.03,36.6,50309464.87,192276.59,88.5,82.6,43,18.9,63.1,88.5,82.6,48.2,37.8,99,91.6,52.6,36.9
"2208",-5.66,28.4,34.06,37.3,298658.6,7398.15,34.1,34,22.7,77,32.8,34.1,34,29.1,16.4,25.8,25.8,17.4,67.2
"2089",-5.61,30.63,36.24,37.6,492683.15,6814.52,42.9,35,22.3,77,24,42.9,35,29.1,15.5,25.8,25.8,17.4,76
"1215",-5.46,32.78,38.24,38,78614.13,4060.82,14.3,15,50.9,77,16,14.3,15,11.5,90.3,25.8,25.8,17.4,84
"471",-5.43,48.06,53.48,38.3,20384881,-387936.04,53.3,56.1,41.4,39.7,66.9,53.3,56.1,52.1,30.7,63.4,73.5,43.9,33.1
"993",-5.4,27.87,33.28,38.7,208526.63,6577.54,26.5,30.8,27.1,77,35.9,26.5,30.8,36.5,17.6,25.8,25.8,17.4,64.1
"2235",-5.37,65.54,70.91,39,53715442.89,277416.67,90.2,88.7,41.6,13.7,75.3,90.2,88.7,52.1,31.1,96.9,86.4,75.6,24.7
"801",-4.56,26.54,31.1,39.4,332856.54,4152.83,35.9,40.4,3.3,77,44.6,35.9,40.4,3.3,NA,25.8,25.8,17.4,55.4
"2261",-4.47,51.28,55.75,39.7,25271332.44,156621.51,56.8,63.8,42.3,34.8,72.5,56.8,63.8,45.9,38.7,71.8,81.9,41.8,27.5
"2118",-4.44,27.18,31.62,40.1,192066.06,-12541.9,25.1,39.4,22.1,77,42.5,25.1,39.4,20.3,23.9,25.8,25.8,17.4,57.5
"1110",-4.4,28.35,32.75,40.4,471739.01,10878.76,42.5,40.1,15.4,77,38,42.5,40.1,20.3,10.5,25.8,25.8,17.4,62
"1750",-4.32,53.26,57.58,40.8,22402121.54,186251.39,54.7,53.7,52.3,38.6,54,54.7,53.7,57.6,47.1,60.6,61,62.7,46
"1004",-3.87,63.99,67.86,41.1,25194069.44,-398490.13,56.4,65.2,67.2,20.9,65.9,56.4,65.2,79.3,55,78,96.2,63.1,34.1
"1711",-3.84,46.25,50.09,41.5,630022.48,12073.65,43.6,45.3,48.1,50.8,47.4,43.6,45.3,42.8,53.4,25.8,25.8,96.2,52.6
"2187",-3.74,30.76,34.49,41.8,275605.99,-28482.75,33.1,36.4,26.8,77,31,33.1,36.4,39.6,13.9,25.8,25.8,17.4,69
"1990",-3.56,65.34,68.9,42.2,22478666.47,-138341.47,55.1,57.1,74.6,20.2,63.8,55.1,57.1,66.4,82.8,75.3,95.5,68.6,36.2
"2104",-3.54,33.83,37.37,42.5,39704.29,2445.5,9.1,11,57.6,77,19.5,9.1,11,20.3,95,25.8,25.8,17.4,80.5
"1060",-3.38,36.34,39.72,42.9,67493.35,-2225.83,13.2,18.1,57,70.6,29.3,13.2,18.1,20.3,93.7,25.8,25.8,36.6,70.7
"1078",-3.21,58.63,61.85,43.2,19867267.93,78820.46,52.6,55.7,63.1,25.7,75.6,52.6,55.7,84.6,41.6,70.7,94.1,58.2,24.4
"2081",-2.65,33.67,36.32,43.6,54082.2,7210.29,10.1,13.1,55.8,77,23.7,10.1,13.1,11.5,100,25.8,25.8,17.4,76.3
"994",-2.59,65.44,68.03,43.9,55098451.68,-415463.77,91.3,91.3,39.6,11.4,93.7,91.3,91.3,47.3,31.9,95.5,88.2,82.2,6.3
"595",-2.41,58.92,61.32,44.3,33443626.96,83333.45,70.7,73.2,45.9,25.2,79.1,70.7,73.2,69.9,21.8,81.2,93,50.2,20.9
"2210",-2.38,30.55,32.93,44.6,876769.07,-85543.83,45.3,43,3.3,77,37.3,45.3,43,3.3,NA,25.8,25.8,17.4,62.7
"1947",-2.37,58,60.37,44.9,25135112.58,103027.66,56.1,64.1,55.9,33.9,56.8,56.1,64.1,60.9,50.8,69.7,86.1,42.5,43.2
"2262",-2.26,35.63,37.89,45.3,343372.01,-1319.83,36.2,35,NA,71,35.5,36.2,35,NA,NA,25.8,25.8,35.5,64.5
"1291",-2.08,44.7,46.78,45.6,5094316.91,-192378.18,48.8,49.1,40.4,54.9,48.1,48.8,49.1,47.3,33.6,25.8,25.8,83.6,51.9
"2100",-2.07,36.35,38.41,46,170081.6,17792.14,23.3,17.2,52.4,77,15.3,23.3,17.2,11.5,93.3,25.8,25.8,17.4,84.7
"1151",-1.82,65.95,67.77,46.3,30232262.97,161635.28,63.4,69.7,65.3,10.6,97.2,63.4,69.7,66.4,64.3,83.3,96.5,88.5,2.8
"2250",-1.68,50.93,52.61,46.7,25623896.5,-11697.56,57.5,53.3,46.5,44.1,57.1,57.5,53.3,63.1,29.8,58.2,58.2,51.2,42.9
"2278",-1.66,49.48,51.13,47,6737527.98,-27888.23,49.5,49.5,NA,48.3,50.5,49.5,49.5,NA,NA,58.5,59.6,36.9,49.5
"626",-1.58,35.35,36.93,47.4,77484.99,-1622.06,13.9,16.4,55.6,77,21.3,13.9,16.4,11.5,99.6,25.8,25.8,17.4,78.7
"2064",-1.36,30.95,32.32,47.7,380024.42,22227.95,38,40.8,22.5,77,39.7,38,40.8,29.1,16,25.8,25.8,17.4,60.3
"2221",-1.22,35.54,36.76,48.1,398436.81,-42410.88,38.3,32.8,NA,77,22,38.3,32.8,NA,NA,25.8,25.8,17.4,78
"1267",-1.18,39.15,40.33,48.4,325737.7,-30626.62,35.2,12,54.7,77,7.7,35.2,12,20.3,89.1,25.8,25.8,17.4,92.3
"1714",-0.69,65.16,65.85,48.8,26683944.68,90309.05,58.9,67.2,67.3,22.8,68.3,58.9,67.2,63.1,71.4,65.2,80.8,85.7,31.7
"2059",-0.31,37.84,38.15,49.1,263165.64,31635.38,30.3,25.1,48,77,16.4,30.3,25.1,11.5,84.5,25.8,25.8,17.4,83.6
"2241",-0.3,54.06,54.36,49.5,28115677.67,574558.06,60.3,55.1,50.4,40.8,60.3,60.3,55.1,57.6,43.3,55.1,57.5,65.2,39.7
"627",0.02,39.48,39.46,49.8,277636.64,9343.98,33.8,14.3,54.9,77,11.1,33.8,14.3,11.5,98.3,25.8,25.8,17.4,88.9
"2287",0.26,50.52,50.26,50.2,12823023.44,-202037.08,50.5,50.5,NA,49.2,51.2,50.5,50.5,NA,NA,56.4,57.1,38.7,48.8
"2267",0.3,57.01,56.71,50.5,32099321.53,5768.81,67.9,69.3,45.4,26.8,92.7,67.9,69.3,50,40.8,82.9,89.5,47,7.3
"2280",1.05,51.05,50,50.9,16595015.86,224576.78,51.2,50.9,NA,49,53,51.2,50.9,NA,NA,55.7,55.1,42.2,47
"1490",1.15,66.65,65.51,51.2,43507283.46,96968.53,85,84.3,48.6,24.4,64.8,85,84.3,72.1,25.2,88.5,83.6,54.7,35.2
"1150",1.17,37.32,36.15,51.6,470204.81,40418.17,41.5,36.4,35.7,77,24.4,41.5,36.4,36.5,34.9,25.8,25.8,17.4,75.6
"1323",1.4,71.95,70.56,51.9,36086583.17,239146.77,74.9,74.6,69.2,14.6,73.9,74.9,74.6,82,56.3,73.9,92,90.2,26.1
"1623",1.67,72.23,70.56,52.3,31987897.21,-147361.58,67.2,71.1,75.3,16.7,67.6,67.2,71.1,92.2,58.4,88.9,77.7,83.3,32.4
"2216",1.89,57.38,55.49,52.6,26273865.94,502261.18,58.2,58.5,56.4,36.2,69.3,58.2,58.5,92.2,20.6,53.3,54,84,30.7
"989",2.23,43.86,41.64,53,206486.18,-8600.76,26.1,31.5,58.9,67,32.4,26.1,31.5,20.3,97.5,25.8,25.8,47.4,67.6
"1645",2.56,67.19,64.63,53.3,35493785.65,179863.12,74.2,76,59.3,17.7,88.5,74.2,76,82,36.6,73.2,87.5,86.4,11.5
"1302",2.65,64.41,61.76,53.7,23876831.34,-280464.15,55.4,53,74.6,34.4,49.8,55.4,53,82,67.2,59.9,60.6,76.3,50.2
"2178",2.66,33.59,30.92,54,702807.22,-1158.47,43.9,45.8,22.3,77,45.3,43.9,45.8,40.4,4.2,25.8,25.8,17.4,54.7
"2264",2.68,50.68,48,54.4,1275880.41,-9119.7,47,47.7,54,53.4,47.7,47,47.7,44.9,63,25.8,25.8,88.2,52.3
"2129",2.77,71.33,68.55,54.7,30949475.7,355872.87,64.8,68.6,75.9,18.2,71.1,64.8,68.6,92.2,59.7,91.6,81.2,72.5,28.9
"1941",3.11,70.36,67.25,55.1,31256134.27,140495.56,65.9,70,72.8,20.8,68.6,65.9,70,69.9,75.6,70,89.2,78.4,31.4
"752",3.18,65.37,62.2,55.4,30939434.04,-219793.74,64.5,69,64,28.9,64.5,64.5,69,79.3,48.7,84,85,44.3,35.5
"1491",3.34,54.64,51.31,55.7,1436132.7,50182.19,47.4,47,62.1,51.2,41.1,47.4,47,41.8,82.4,25.8,25.8,94.8,58.9
"2186",3.47,39.97,36.5,56.1,136866.13,8683.66,21.3,21.3,58.7,77,23,21.3,21.3,20.3,97.1,25.8,25.8,17.4,77
"1306",3.53,68.08,64.55,56.4,54436276.43,673203.42,90.6,92.3,44.7,22.3,74.9,90.6,92.3,54.1,35.3,84.3,77,71.8,25.1
"1283",3.67,37.55,33.89,56.8,172231.82,-1109.32,23.7,27.2,49.7,77,33.4,23.7,27.2,11.5,87.8,25.8,25.8,17.4,66.6
"925",4.05,62.32,58.28,57.1,31717025.2,-304671.99,66.9,71.8,55.3,28.2,82.2,66.9,71.8,84.6,26.1,67.2,77.4,70.7,17.8
"2134",4.13,74.95,70.82,57.5,42311236.63,-82561.27,83.6,81.2,67.5,14.9,72.1,83.6,81.2,84.6,50.4,76.7,93.4,85.4,27.9
"2141",4.48,69.82,65.33,57.8,55460241.01,-87865.41,92.3,94.8,46.1,19.4,80.5,92.3,94.8,51,41.2,96.2,75.3,70.4,19.5
"1942",4.61,70.55,65.94,58.2,34354531.74,-131020.95,72.1,73.5,68.3,23,67.2,72.1,73.5,75.2,61.3,67.9,75.6,87.5,32.8
"1505",4.63,65.17,60.54,58.5,48800390.47,771068.36,87.8,86.4,43.2,29.6,69,87.8,86.4,54.1,32.4,96.5,63.8,50.9,31
"529",4.65,68.5,63.85,58.9,38077342.84,-832418.19,79.8,77,58.6,26.5,65.2,79.8,77,75.2,42,81.9,90.9,47.7,34.8
"1951",4.97,71.52,66.55,59.2,34228883.51,295525.26,71.8,72.8,70.7,24.7,59.6,71.8,72.8,79.3,62.2,91.3,85.4,49.1,40.4
"970",4.99,64.14,59.15,59.6,46621159.27,206379.88,86.8,87.1,41.3,28,79.4,86.8,87.1,48.2,34.5,73.5,69.3,73.2,20.6
"2142",5.08,61.61,56.53,59.9,51141970.09,396863.95,88.9,89.2,34.2,28.6,88.2,88.9,89.2,54.1,14.3,82.2,71.8,60.3,11.8
"2066",5.26,42.11,36.85,60.3,449684.22,48394.7,40.8,26.7,50.5,77,21.6,40.8,26.7,11.5,89.5,25.8,25.8,17.4,78.4
"2153",5.79,80.18,74.39,60.6,43368120.58,640003.17,84.7,85.4,75.3,10.7,70.4,84.7,85.4,88.1,62.6,86.8,90.2,90.9,29.6
"2115",6.36,58.97,52.61,61,33079628.8,569014.99,69.7,72.5,46.9,31.4,95.5,69.7,72.5,66.4,27.3,67.6,76.7,61.7,4.5
"2234",6.43,49.63,43.21,61.3,26540220.19,-498688.41,58.5,56.8,41.6,56.4,57.8,58.5,56.8,60.9,22.3,25.8,25.8,79.1,42.2
"1257",6.44,41.81,35.37,61.7,268565.89,373.64,31.4,32.8,51.6,77,27.5,31.4,32.8,11.5,91.6,25.8,25.8,17.4,72.5
"2075",6.66,39.15,32.49,62,268462.47,-7606.27,31,36.4,44.6,77,39,31,36.4,29.1,60.1,25.8,25.8,17.4,61
"2107",6.75,37.24,30.49,62.4,1004954.04,70830.95,46,46.7,28.1,77,47,46,46.7,36.5,19.7,25.8,25.8,17.4,53
"1949",6.76,56.32,49.56,62.7,1628671.36,-19991.62,47.7,47.4,65.1,51.7,46.7,47.7,47.4,42.8,87.4,25.8,25.8,93.4,53.3
"2071",6.78,39.89,33.1,63.1,128378.34,-6756.41,19.5,27.7,56.2,77,36.6,19.5,27.7,20.3,92,25.8,25.8,17.4,63.4
"2233",7.05,70.03,62.98,63.8,56119152.67,1260463.26,92.7,90.6,48.4,22.8,79.8,92.7,90.6,72.1,24.8,78.7,62.4,90.6,20.2
"2251",7.05,74.12,67.07,63.4,51356788.59,465817.39,89.2,89.5,58.9,19.2,74.2,89.2,89.5,45.9,71.8,93.4,90.6,58.5,25.8
"2108",7.24,69.96,62.72,64.1,41809723.8,260333.93,83.3,80.1,58.2,27.1,67.9,83.3,80.1,66.4,50,64.5,84.3,70,32.1
"1966",7.42,58.64,51.22,64.5,29631573.26,-157055.5,62.4,59.6,56.3,44.1,62.7,62.4,59.6,75.2,37.4,55.4,56.4,55.7,37.3
"2177",7.44,69.64,62.2,64.8,58178165.16,636983.87,94.1,95.1,44.7,21.6,86.4,94.1,95.1,49,40.3,83.6,69.7,81.9,13.6
"2232",7.78,56.3,48.52,65.2,2155444.01,47454.75,48.1,48.1,64.5,52.1,49.5,48.1,48.1,43.8,85.3,25.8,25.8,92,50.5
"2149",7.84,44.6,36.76,65.9,803278.09,16123.55,44.6,44.6,NA,70.8,40.4,44.6,44.6,NA,NA,25.8,25.8,35.9,59.6
"2288",7.84,50.52,42.68,65.5,14754417.86,187121.1,50.9,50.2,NA,60.2,48.8,50.9,50.2,NA,NA,25.8,25.8,67.9,51.2
"1646",7.86,77.98,70.12,66.2,33194196.47,393888.35,70.4,76.7,82.4,11.3,85.7,70.4,76.7,92.2,72.7,85,95.1,86.1,14.3
"1374",7.9,67.57,59.67,66.6,38048318.06,-225319.17,79.1,72.1,59.5,25.1,86.1,79.1,72.1,51,68.1,77.7,65.5,81.5,13.9
"1346",8.07,40.3,32.23,66.9,139290.58,358.46,21.6,34,52.8,77,40.1,21.6,34,11.5,94.1,25.8,25.8,17.4,59.9
