"荷官工号","综合分","赏侧均值","罚侧均值","综合分分位","在桌洗码量（原值）","桌面盈亏·平台视角（原值）","领域｜D06 收入","领域｜D04 活跃","领域｜D09 效率","领域｜D08 风险","领域｜D11 网络","维度｜在桌洗码量","维度｜客群广度","维度｜当值时长","维度｜节奏稳定度","维度｜对打局占比","维度｜异常对关联","维度｜風險單密度","维度｜特定玩家复现率"
"526",15.48,80.37,64.9,80.1,37711366.4,-116503.48,78,80.7,81.4,22.4,73.2,78,80.7,92.2,70.6,65.9,79.1,87.8,26.8
"1205",15.78,77.1,61.32,80.5,36783474.16,70979.18,76.7,79.8,76,19.9,95.1,76.7,79.8,88.1,63.9,74.9,88.5,77,4.9
"1485",16.05,75.54,59.49,80.8,37061170.34,-537540.07,77.4,77.4,73.7,22.9,93.4,77.4,77.4,75.2,72.3,75.6,78,77.7,6.6
"2252",16.24,75.39,59.15,81.2,60476203.59,1087580.03,96.5,96.2,54.4,21.1,100,96.5,96.2,57.6,51.3,89.5,72.8,74.2,0
"2145",16.27,68.79,52.53,81.5,59893167.47,1164036.77,96.2,95.8,41.6,35.1,84.7,96.2,95.8,50,33.2,78.4,64.5,51.9,15.3
"1384",16.92,73.45,56.53,81.9,55452101.54,-423813.12,92,92,54.9,26.6,94.1,92,92,69.9,39.9,97.2,66.9,56.1,5.9
"2201",17.07,63.59,46.52,82.2,24988963.55,328271.3,55.7,57.5,70.6,50.5,62.4,55.7,57.5,95.3,45.8,54,54.4,40.1,37.6
"2088",17.19,79.04,61.85,82.6,57781269.18,844270.07,93.7,93,64.7,21.7,87.5,93.7,93,75.2,54.2,98.6,83.3,53,12.5
"1094",17.27,79.64,62.37,82.9,32236129.5,383261.86,68.3,75.6,87.3,18.1,96.2,68.3,75.6,88.1,86.6,87.5,96.9,61.3,3.8
"1704",17.36,77.29,59.93,83.3,38071594.28,668983.84,79.4,80.7,74.5,30.2,69.7,79.4,80.7,79.3,69.7,80.1,84,45.3,30.3
"1185",17.5,48.94,31.45,83.6,274336.25,16862.65,32.4,37.6,62.9,77,43.2,32.4,37.6,29.1,96.6,25.8,25.8,17.4,56.8
"2196",17.59,72.65,55.05,84,55367629.99,515704.52,91.6,97.2,50.9,28.5,94.4,91.6,97.2,57.6,44.1,77,68.6,69,5.6
"919",17.87,71.52,53.66,84.3,43223255.67,217017.43,84.3,85.7,58,32.1,89.2,84.3,85.7,82,34,76,88.9,39,10.8
"1383",18.24,79.39,61.15,84.7,42616040.59,102152.52,84,82.2,75.7,26,77.4,84,82.2,84.6,66.8,74.6,64.8,82.6,22.6
"1507",18.25,73.48,55.23,85,39517517.94,1167557.49,81.2,67.6,72.6,40.3,58.2,81.2,67.6,92.2,52.9,52.6,51.9,74.6,41.8
"1330",18.26,81.07,62.8,85.4,59653548.37,-471809.73,95.8,94.4,67,19.4,90.6,95.8,94.4,75.2,58.8,90.6,68.3,82.9,9.4
"1115",18.28,78.56,60.28,85.7,35518436.75,-179382.82,74.6,66.6,86.6,34.3,56.1,74.6,66.6,97.1,76.1,61,60.3,76,43.9
"1710",18.39,75.19,56.79,86.1,40950062.5,-255666.45,82.2,83.6,67.4,30.3,81.9,82.2,83.6,66.4,68.5,90.2,80.5,38.3,18.1
"1363",18.58,71.62,53.05,86.4,30982864.6,11705.69,65.5,71.4,74.8,34.5,84.3,65.5,71.4,75.2,74.4,61.3,61.7,73.5,15.7
