序号,锚行,段起,段止,段行数,交付件,族,FACT-C·bet02,FACT-C·rn,FACT-C·age022,FACT-C·category,FACT-C·bet38,反证·bet02,反证·rn,反证·age022,反证·category,反证·bet38,FACT-C 摘要,事实层状态(机器),▸闸门声明(人工·必填),▸豁免理由(人工·须点名Gate),治理裁定(PASS/WAIVER_DECLARED/FAIL·人工),复核人,日期
1,602,602,654,53,Z07_probe_bet02.csv,§Z 前置章,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,0/5 FOUND,PARSE_UNKNOWN,,,,,
2,655,655,712,58,Z08_roundkey_integrity.csv,§Z 前置章,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
3,713,713,766,54,Z09_time_axis_recon.csv,§Z 前置章,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
4,778,778,829,52,Z11_sentinel_impact.csv,§Z 前置章,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
5,836,836,1028,193,Z14_zero_month_diagnosis.csv,§Z 前置章,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
6,1359,1359,1446,88,V_recon.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
7,1447,1447,1520,74,I_ip_player.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
8,1521,1521,1600,80,C01_ip_chain.csv,C 关联族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
9,1617,1617,1686,70,C08_subnet_all.csv,C 关联族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
10,1687,1687,1756,70,C08_subnet_sparse.csv,C 关联族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
11,1772,1772,1848,77,S_second_dist.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
12,1849,1849,1928,80,D03S_daily_roi_diff.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
13,1929,1929,2055,127,S_player_tail.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
14,2056,2056,2186,131,S01_player_score.csv,S 评分族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
15,2187,2187,2324,138,S02_dealer_score.csv,S 评分族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
