uid,总投注笔数,晚注笔数,晚注比例,总投注额,平均赔率,涉及桌台数,涉及荷官数
105410288,2257,1979,0.8768276,348568.3299999999,3.883845547186527,1,104
142282770,2870,2497,0.8700348,4344469.760000002,3.873299930313583,1,117
110487696,9457,7840,0.8290155,3651556.139999999,3.858448958443464,1,114
125106826,1986,1636,0.8237664,882392.4400000001,3.873299999999999,1,82
123414047,8387,6753,0.8051747,23681958.098999985,3.876270776201244,1,111
34782907,15708,12359,0.7867965,163873943.02999997,3.8524968869365774,2,127
127684170,45303,34640,0.7646293,119042875.82000008,3.856061759706967,1,127
148768188,15160,11503,0.7587731,53487272.590000026,3.853708819261204,1,105
7257294,623,472,0.7576244,6245421.200000001,3.873300000000001,2,93
142010197,15385,11410,0.7416315,28906934.559999984,3.837955437114069,2,115
125045188,1764,1299,0.7363946,3265149.56,3.85664744897959,1,72
145901276,1989,1456,0.7320261,4149304.42,1.0,2,114
147734662,2353,1722,0.7318317,1802915.96,3.830457288567783,1,113
122512049,293,213,0.7269625,201697.4,1.0,1,90
148526758,2065,1501,0.7268765,602932.5499999998,3.864273317191282,1,102
105304420,4789,3480,0.7266653,14131080.639999997,3.862512340780941,1,113
144423994,2533,1839,0.7260166,28158879.36,3.8571126727200897,1,113
142946460,4801,3466,0.7219329,38436111818.20009,3857.567045344721,2,116
125596988,9238,6627,0.7173631,5058432.509999998,3.854501948473689,2,106
149991934,1915,1372,0.7164491,3201690.24,3.8719244908616175,2,130
146293885,1436,1026,0.7144847,179548.76,3.8529031337047366,1,113
144406526,1371,967,0.7053246,55677225.943,3.850161196207148,1,90
147633478,5856,4122,0.7038934,10101787.2,3.850686594945342,1,123
146548399,1311,919,0.7009916,31596486.520000007,3.803220518688026,2,108
