表名,分类
ods_a168_bet_partner.csv,三方合作类
ods_a168_partner_transation.csv,三方合作类
ods_a168_partner_transation_log.csv,三方合作类
ods_a168_member_partner_account.csv,三方合作类
ods_a168_partner_setting.csv,三方合作类
ods_a168_member_partner_gamelist.csv,三方合作类
ods_a168_partner_gamelist.csv,三方合作类
ods_a168_partner_bng_token.csv,三方合作类
ods_a168_partner_reportTime.csv,三方合作类
ods_a168_partner_type.csv,三方合作类
ods_a168_agent_dtl.csv,代理体系类
ods_a168_agent.csv,代理体系类
ods_a168_agent_bak20250610.csv,代理体系类
ods_a168_age_login.csv,代理体系类
ods_a168_agents_LoginPass.csv,代理体系类
ods_a168_agent_sub.csv,代理体系类
ods_a168_age_sub_login.csv,代理体系类
ods_a168_agent_dtl_test.csv,代理体系类
ods_a168_agent_partner_gamelist.csv,代理体系类
ods_a168_agent_test.csv,代理体系类
ods_a168_agent_permissionrole.csv,代理体系类
ods_a168_subagent_permissionrole.csv,代理体系类
ods_a168_agent_elec.csv,代理体系类
ods_a168_member.csv,会员身份与账户类
ods_a168_member_dtl.csv,会员身份与账户类
ods_a168_member_click_counter.csv,会员身份与账户类
ods_a168_member_explosion_setting.csv,会员身份与账户类
ods_a168_member_url.csv,会员身份与账户类
ods_a168_member_odds.csv,会员身份与账户类
ods_a168_bet01.csv,投注行为类
ods_a168_bet02.csv,投注行为类
ods_a168_betchange_log.csv,投注行为类
ods_a168_ban_bet_area.csv,投注行为类
ods_a168_log_realtimebet.csv,投注行为类
ods_a168_realtimebet.csv,投注行为类
ods_a168_bet_limit_default.csv,投注行为类
ods_a168_bet.csv,投注行为类
ods_a168_bet_No.csv,投注行为类
ods_a168_dailyreport_member.csv,报表汇总类
ods_a168_dailyreport_table.csv,报表汇总类
ods_a168_dailyreport_usercount.csv,报表汇总类
ods_a168_func_counter.csv,报表汇总类
ods_a168_aggregate_setting.csv,报表汇总类
ods_a168_aggregate_token.csv,报表汇总类
ods_a168_dailyreport.csv,报表汇总类
ods_a168_dailyreport2.csv,报表汇总类
ods_a168_employee.csv,权限与员工管理类
ods_a168_permissionrole.csv,权限与员工管理类
ods_a168_control_login.csv,权限与员工管理类
ods_a168_control.csv,权限与员工管理类
ods_a168_permissions.csv,权限与员工管理类
ods_a168_permissionsPageRoles.csv,权限与员工管理类
ods_a168_roles.csv,权限与员工管理类
ods_a168_emp_login.csv,权限与员工管理类
ods_a168_permissionsgroup.csv,权限与员工管理类
ods_a168_permissionsPage.csv,权限与员工管理类
ods_a168_game_info.csv,游戏系统配置类
ods_a168_game_log.csv,游戏系统配置类
ods_a168_game_No.csv,游戏系统配置类
ods_a168_game_statistics.csv,游戏系统配置类
ods_a168_game_callwebapi.csv,游戏系统配置类
ods_a168_tablelimit.csv,游戏系统配置类
ods_a168_game_transfer.csv,游戏系统配置类
ods_a168_game_info_verify.csv,游戏系统配置类
ods_a168_tablelimit_third.csv,游戏系统配置类
ods_a168_game_tip.csv,游戏系统配置类
ods_a168_symbol.csv,游戏系统配置类
ods_a168_shuffle_gid.csv,游戏系统配置类
ods_a168_game_type.csv,游戏系统配置类
ods_a168_game_demoipsetting.csv,游戏系统配置类
ods_a168_play_set.csv,游戏系统配置类
ods_a168_odds_default.csv,游戏系统配置类
ods_a168_game_parame.csv,游戏系统配置类
ods_a168_category.csv,游戏系统配置类
ods_a168_categoryLevel.csv,游戏系统配置类
ods_a168_game_result.csv,游戏系统配置类
ods_a168_member_category.csv,游戏系统配置类
ods_a168_opengame_log.csv,游戏系统配置类
ods_a168_shuffle_info.csv,游戏系统配置类
ods_a168_alarmMessage.csv,系统技术日志类
ods_a168_SMR_log.csv,系统技术日志类
ods_a168_realtimelog.csv,系统技术日志类
ods_a168_change_log.csv,系统技术日志类
ods_a168_alertMessage.csv,系统技术日志类
sync_checkpoint.csv,系统技术日志类
ods_a168_keyserver_command.csv,系统技术日志类
ods_a168_stream.csv,系统技术日志类
ods_a168_log_mem_change.csv,系统配置/其它类
ods_a168_mem_login.csv,系统配置/其它类
ods_a168_realtimelobby.csv,系统配置/其它类
ods_a168_conversion.csv,系统配置/其它类
ods_a168_orderslist.csv,系统配置/其它类
ods_a168_urllist.csv,系统配置/其它类
ods_a168_currency.csv,系统配置/其它类
ods_a168_apiurl.csv,系统配置/其它类
ods_a168_tip.csv,系统配置/其它类
ods_a168_news.csv,系统配置/其它类
ods_a168_aisetting.csv,系统配置/其它类
ods_a168_ctl_rto.csv,系统配置/其它类
ods_a168_wechat_url.csv,系统配置/其它类
ods_a168_site.csv,系统配置/其它类
ods_a168_sms_setting.csv,系统配置/其它类
ods_a168_RedPacketSetup_setting.csv,红包活动类
ods_a168_RedPacket_No.csv,红包活动类
ods_a168_RedPacket_Order.csv,红包活动类
ods_a168_RedPacketSetup.csv,红包活动类
ods_a168_iphistory.csv,网络设备与风控名单类
ods_a168_risklist.csv,网络设备与风控名单类
ods_a168_white_list.csv,网络设备与风控名单类
ods_a168_temp_id_list.csv,网络设备与风控名单类
ods_a168_close_tip_list.csv,网络设备与风控名单类
ods_a168_ipblacklist.csv,网络设备与风控名单类
ods_a168_alert_ip_setting.csv,网络设备与风控名单类
ods_a168_passiplist.csv,网络设备与风控名单类
ods_a168_wallet_dtl.csv,资金流水类
ods_a168_in_out_m.csv,资金流水类
ods_a168_in_out_m_chip.csv,资金流水类
ods_a168_log_age_cash_change.csv,资金流水类
ods_a168_wallet_feedbackerr.csv,资金流水类
ods_a168_wallet_reporter.csv,资金流水类
ods_a168_wallet_reporter_copy.csv,资金流水类
ods_a168_payment_bank.csv,资金流水类
ods_a168_aggregate_transaction.csv,资金流水类
ods_a168_payment_setting.csv,资金流水类
ods_a168_payment_type.csv,资金流水类
ods_a168_payment_platform.csv,资金流水类
ods_a168_jackpot.csv,资金流水类
ods_a168_payment_method.csv,资金流水类
ods_a168_payment_order.csv,资金流水类
