"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(3); "
"page","VARCHAR(65533)","source_type=varchar(50); 頁面 url"
"pageName","VARCHAR(65533)","source_type=varchar(12); 頁面名稱"
"element","VARCHAR(65533)","source_type=varchar(32); 綁定的 element name"
"elementName","VARCHAR(65533)","source_type=varchar(12); 顯示名稱 (吃語系)"
"status","VARCHAR(65533)","source_type=enum(''Y'',''N''); 預設開關"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
